Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
麺房 昭和呈,愛知県常滑市苅屋柳田136,食べログ ラーメン 百名店 EAST 2017 百名店 2017,https://tabelog.com/tokyo/A1303/A130302/23001357/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E6%88%BF%20%E6%98%AD%E5%92%8C%E5%91%88%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%B8%B8%E6%BB%91%E5%B8%82%E8%8B%85%E5%B1%8B%E6%9F%B3%E7%94%B0136,34.8555596,136.8661069,2017,ラーメン 百名店 EAST 2017,ramen_east,
味処 むさし野,千葉県松戸市松戸新田133-4,食べログ ラーメン 百名店 EAST 2017 百名店 2017,https://tabelog.com/tokyo/A1303/A130302/12000080/,https://www.google.com/maps/search/?api=1&query=%E5%91%B3%E5%87%A6%20%E3%82%80%E3%81%95%E3%81%97%E9%87%8E%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%9D%BE%E6%88%B8%E5%B8%82%E6%9D%BE%E6%88%B8%E6%96%B0%E7%94%B0133-4,35.7826700,139.9180845,2017,ラーメン 百名店 EAST 2017,ramen_east,
麺饗 松韻,秋田県由利本荘市石脇田頭100-5,食べログ ラーメン 百名店 EAST 2017 百名店 2017,https://tabelog.com/tokyo/A1303/A130302/5005568/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E9%A5%97%20%E6%9D%BE%E9%9F%BB%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%94%B1%E5%88%A9%E6%9C%AC%E8%8D%98%E5%B8%82%E7%9F%B3%E8%84%87%E7%94%B0%E9%A0%AD100-5,39.3906156,140.0301275,2017,ラーメン 百名店 EAST 2017,ramen_east,
和風楽麺 四代目 ひのでや,埼玉県蓮田市本町2-21 田中電機ビル 1F・2F,食べログ ラーメン 百名店 EAST 2017 百名店 2017,https://tabelog.com/tokyo/A1303/A130302/11030891/,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E9%A2%A8%E6%A5%BD%E9%BA%BA%20%E5%9B%9B%E4%BB%A3%E7%9B%AE%20%E3%81%B2%E3%81%AE%E3%81%A7%E3%82%84%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E8%93%AE%E7%94%B0%E5%B8%82%E6%9C%AC%E7%94%BA2-21%20%E7%94%B0%E4%B8%AD%E9%9B%BB%E6%A9%9F%E3%83%93%E3%83%AB%201F%E3%83%BB2F,35.9812999,139.6520376,2017,ラーメン 百名店 EAST 2017,ramen_east,
飯田商店,神奈川県足柄下郡湯河原町土肥2-12-14,食べログ ラーメン 百名店 EAST 2017 百名店 2017,https://tabelog.com/tokyo/A1303/A130302/14038776/,https://www.google.com/maps/search/?api=1&query=%E9%A3%AF%E7%94%B0%E5%95%86%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E6%B9%AF%E6%B2%B3%E5%8E%9F%E7%94%BA%E5%9C%9F%E8%82%A52-12-14,35.1446247,139.1097637,2017,ラーメン 百名店 EAST 2017,ramen_east,
中華そば 四つ葉,埼玉県比企郡川島町伊草298-20,食べログ ラーメン 百名店 EAST 2017 百名店 2017,https://tabelog.com/tokyo/A1303/A130302/11034264/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0%20%E5%9B%9B%E3%81%A4%E8%91%89%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E6%AF%94%E4%BC%81%E9%83%A1%E5%B7%9D%E5%B3%B6%E7%94%BA%E4%BC%8A%E8%8D%89298-20,35.9682778,139.4689540,2017,ラーメン 百名店 EAST 2017,ramen_east,
喜元門 研究学園店,茨城県つくば市研究学園5-6-6 D12ビル 1F,食べログ ラーメン 百名店 EAST 2017 百名店 2017,https://tabelog.com/tokyo/A1303/A130302/8013639/,https://www.google.com/maps/search/?api=1&query=%E5%96%9C%E5%85%83%E9%96%80%20%E7%A0%94%E7%A9%B6%E5%AD%A6%E5%9C%92%E5%BA%97%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E3%81%A4%E3%81%8F%E3%81%B0%E5%B8%82%E7%A0%94%E7%A9%B6%E5%AD%A6%E5%9C%925-6-6%20D12%E3%83%93%E3%83%AB%201F,36.0836900,140.0812518,2017,ラーメン 百名店 EAST 2017,ramen_east,
らーめん佳,北海道札幌市豊平区月寒西1条7丁目8-19,食べログ ラーメン 百名店 EAST 2017 百名店 2017,https://tabelog.com/tokyo/A1303/A130302/1007919/,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%E4%BD%B3%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E8%B1%8A%E5%B9%B3%E5%8C%BA%E6%9C%88%E5%AF%92%E8%A5%BF1%E6%9D%A17%E4%B8%81%E7%9B%AE8-19,43.0296687,141.3954971,2017,ラーメン 百名店 EAST 2017,ramen_east,
啜磨専科,神奈川県横浜市港南区上大岡西2-14-15,食べログ ラーメン 百名店 EAST 2017 百名店 2017,https://tabelog.com/tokyo/A1303/A130302/14043755/,https://www.google.com/maps/search/?api=1&query=%E5%95%9C%E7%A3%A8%E5%B0%82%E7%A7%91%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%B8%AF%E5%8D%97%E5%8C%BA%E4%B8%8A%E5%A4%A7%E5%B2%A1%E8%A5%BF2-14-15,35.4042784,139.5937334,2017,ラーメン 百名店 EAST 2017,ramen_east,
らぁめん夢,神奈川県横浜市神奈川区二ツ谷町1-21,食べログ ラーメン 百名店 EAST 2017 百名店 2017,https://tabelog.com/tokyo/A1303/A130302/14053385/,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%81%81%E3%82%81%E3%82%93%E5%A4%A2%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E7%A5%9E%E5%A5%88%E5%B7%9D%E5%8C%BA%E4%BA%8C%E3%83%84%E8%B0%B7%E7%94%BA1-21,35.4761140,139.6307746,2017,ラーメン 百名店 EAST 2017,ramen_east,
