Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
タンタン,東京都八王子市子安町1-30-6,食べログ ラーメン 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13046007/,,https://www.google.com/maps/search/?api=1&query=%E3%82%BF%E3%83%B3%E3%82%BF%E3%83%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B8%82%E5%AD%90%E5%AE%89%E7%94%BA1-30-6,35.6519184,139.3403234,2018,ラーメン 百名店 TOKYO 2018,ramen_tokyo,
新橋 纏,東京都港区新橋3-13-2 IKENO-5 1F,食べログ ラーメン 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13156937/,,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%A9%8B%20%E7%BA%8F%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%96%B0%E6%A9%8B3-13-2%20IKENO-5%201F,35.6657812,139.7562819,2018,ラーメン 百名店 TOKYO 2018,ramen_tokyo,
らーめん改,東京都台東区蔵前4-20-10 宮内ビル 1F,食べログ ラーメン 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13191776/,,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%E6%94%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E8%94%B5%E5%89%8D4-20-10%20%E5%AE%AE%E5%86%85%E3%83%93%E3%83%AB%201F,35.7044486,139.7901650,2018,ラーメン 百名店 TOKYO 2018,ramen_tokyo,
ラーメン巌哲,東京都新宿区西早稲田1-10-4,食べログ ラーメン 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13167439/,,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E5%B7%8C%E5%93%B2%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E6%97%A9%E7%A8%B2%E7%94%B01-10-4,35.7111747,139.7218960,2018,ラーメン 百名店 TOKYO 2018,ramen_tokyo,
八雲,東京都目黒区東山3-6-15 エビヤビル 1F,食べログ ラーメン 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13204333/,,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E9%9B%B2%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E6%9D%B1%E5%B1%B13-6-15%20%E3%82%A8%E3%83%93%E3%83%A4%E3%83%93%E3%83%AB%201F,35.6501395,139.6868547,2018,ラーメン 百名店 TOKYO 2018,ramen_tokyo,
BASSOドリルマン,東京都豊島区西池袋2-9-7 プエルト西池袋　１Ｆ,食べログ ラーメン 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13057282/,,https://www.google.com/maps/search/?api=1&query=BASSO%E3%83%89%E3%83%AA%E3%83%AB%E3%83%9E%E3%83%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E8%A5%BF%E6%B1%A0%E8%A2%8B2-9-7%20%E3%83%97%E3%82%A8%E3%83%AB%E3%83%88%E8%A5%BF%E6%B1%A0%E8%A2%8B%E3%80%80%EF%BC%91%EF%BC%A6,35.7266792,139.7027456,2018,ラーメン 百名店 TOKYO 2018,ramen_tokyo,
支那そば たんたん亭,東京都杉並区浜田山3-31-4,食べログ ラーメン 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13000705/,,https://www.google.com/maps/search/?api=1&query=%E6%94%AF%E9%82%A3%E3%81%9D%E3%81%B0%20%E3%81%9F%E3%82%93%E3%81%9F%E3%82%93%E4%BA%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E6%B5%9C%E7%94%B0%E5%B1%B13-31-4,35.6818251,139.6274185,2018,ラーメン 百名店 TOKYO 2018,ramen_tokyo,
MENSHO,東京都文京区音羽1-17-16 中銀音羽マンシオン１F,食べログ ラーメン 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13203848/,,https://www.google.com/maps/search/?api=1&query=MENSHO%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E9%9F%B3%E7%BE%BD1-17-16%20%E4%B8%AD%E9%8A%80%E9%9F%B3%E7%BE%BD%E3%83%9E%E3%83%B3%E3%82%B7%E3%82%AA%E3%83%B3%EF%BC%91F,35.7163380,139.7286885,2018,ラーメン 百名店 TOKYO 2018,ramen_tokyo,
竹末東京Premium,東京都墨田区業平5-14-7 フラーリシ押上 1F,食べログ ラーメン 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13167920/,,https://www.google.com/maps/search/?api=1&query=%E7%AB%B9%E6%9C%AB%E6%9D%B1%E4%BA%ACPremium%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E6%A5%AD%E5%B9%B35-14-7%20%E3%83%95%E3%83%A9%E3%83%BC%E3%83%AA%E3%82%B7%E6%8A%BC%E4%B8%8A%201F,35.7081521,139.8176486,2018,ラーメン 百名店 TOKYO 2018,ramen_tokyo,
麺や 七彩,東京都中央区八丁堀2-13-2 ドミノビル 1F,食べログ ラーメン 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13184399/,,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E3%82%84%20%E4%B8%83%E5%BD%A9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%85%AB%E4%B8%81%E5%A0%802-13-2%20%E3%83%89%E3%83%9F%E3%83%8E%E3%83%93%E3%83%AB%201F,35.6771854,139.7763382,2018,ラーメン 百名店 TOKYO 2018,ramen_tokyo,
