Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ピエール・エルメ・パリ 伊勢丹新宿,東京都新宿区新宿3-14-1 伊勢丹新宿店 本館 B1F,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13025129/,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%82%A8%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%A8%E3%83%AB%E3%83%A1%E3%83%BB%E3%83%91%E3%83%AA%20%E4%BC%8A%E5%8B%A2%E4%B8%B9%E6%96%B0%E5%AE%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF3-14-1%20%E4%BC%8A%E5%8B%A2%E4%B8%B9%E6%96%B0%E5%AE%BF%E5%BA%97%20%E6%9C%AC%E9%A4%A8%20B1F,35.6916209,139.7047082,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
パティスリー カーヴァンソン,東京都新宿区筑土八幡町1-2 第３ＮＫビル 1Ｆ,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13035194/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%20%E3%82%AB%E3%83%BC%E3%83%B4%E3%82%A1%E3%83%B3%E3%82%BD%E3%83%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%AD%91%E5%9C%9F%E5%85%AB%E5%B9%A1%E7%94%BA1-2%20%E7%AC%AC%EF%BC%93%EF%BC%AE%EF%BC%AB%E3%83%93%E3%83%AB%201%EF%BC%A6,35.7038914,139.7411914,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
フルーツカフェ　フルータス,東京都江東区富岡1-24-6,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13056677/,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84%E3%82%AB%E3%83%95%E3%82%A7%E3%80%80%E3%83%95%E3%83%AB%E3%83%BC%E3%82%BF%E3%82%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E5%AF%8C%E5%B2%A11-24-6,35.6704064,139.7989271,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
チリムーロ,東京都渋谷区猿楽町1-3,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13164533/,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%8C%BF%E6%A5%BD%E7%94%BA1-3,35.6536720,139.7051687,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
イデミスギノ,東京都中央区京橋3-6-17 京橋大栄ビル　１Ｆ,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13002285/,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%83%87%E3%83%9F%E3%82%B9%E3%82%AE%E3%83%8E%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%BA%AC%E6%A9%8B3-6-17%20%E4%BA%AC%E6%A9%8B%E5%A4%A7%E6%A0%84%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.6751379,139.7698943,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
パティスリー・パリセヴェイユ,東京都目黒区自由が丘2-14-5 館山ビル 1F,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13005198/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%91%E3%83%AA%E3%82%BB%E3%83%B4%E3%82%A7%E3%82%A4%E3%83%A6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E8%87%AA%E7%94%B1%E3%81%8C%E4%B8%982-14-5%20%E9%A4%A8%E5%B1%B1%E3%83%93%E3%83%AB%201F,35.6069715,139.6665823,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
い志い,東京都葛飾区柴又7-6-20 柴又帝釈天参道,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13098265/,https://www.google.com/maps/search/?api=1&query=%E3%81%84%E5%BF%97%E3%81%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%91%9B%E9%A3%BE%E5%8C%BA%E6%9F%B4%E5%8F%887-6-20%20%E6%9F%B4%E5%8F%88%E5%B8%9D%E9%87%88%E5%A4%A9%E5%8F%82%E9%81%93,35.7578525,139.8766863,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
ラ・ローズ・ジャポネ,東京都葛飾区金町6-4-5,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13138026/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BB%E3%83%AD%E3%83%BC%E3%82%BA%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%9D%E3%83%8D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%91%9B%E9%A3%BE%E5%8C%BA%E9%87%91%E7%94%BA6-4-5,35.7693296,139.8743002,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
空也,東京都中央区銀座6-7-19,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13002591/,https://www.google.com/maps/search/?api=1&query=%E7%A9%BA%E4%B9%9F%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A76-7-19,35.6708601,139.7627782,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
ラトリエ モトゾー,東京都目黒区東山3-1-4 ニューリバー東山　1Ｆ,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13199223/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%88%E3%83%AA%E3%82%A8%20%E3%83%A2%E3%83%88%E3%82%BE%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E6%9D%B1%E5%B1%B13-1-4%20%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%AA%E3%83%90%E3%83%BC%E6%9D%B1%E5%B1%B1%E3%80%801%EF%BC%A6,35.6507646,139.6863384,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
ユーゴ アンド ヴィクトール 伊勢丹新宿店,東京都新宿区新宿3-14-1 伊勢丹新宿店本館 B1F,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13187714/,https://www.google.com/maps/search/?api=1&query=%E3%83%A6%E3%83%BC%E3%82%B4%20%E3%82%A2%E3%83%B3%E3%83%89%20%E3%83%B4%E3%82%A3%E3%82%AF%E3%83%88%E3%83%BC%E3%83%AB%20%E4%BC%8A%E5%8B%A2%E4%B8%B9%E6%96%B0%E5%AE%BF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF3-14-1%20%E4%BC%8A%E5%8B%A2%E4%B8%B9%E6%96%B0%E5%AE%BF%E5%BA%97%E6%9C%AC%E9%A4%A8%20B1F,35.6916355,139.7046151,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
ツッカベッカライ カヤヌマ,東京都港区赤坂1-4-5 栢沼ビル 1F,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13002756/,https://www.google.com/maps/search/?api=1&query=%E3%83%84%E3%83%83%E3%82%AB%E3%83%99%E3%83%83%E3%82%AB%E3%83%A9%E3%82%A4%20%E3%82%AB%E3%83%A4%E3%83%8C%E3%83%9E%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%821-4-5%20%E6%A0%A2%E6%B2%BC%E3%83%93%E3%83%AB%201F,35.6702939,139.7439283,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
エーグルドゥース,東京都新宿区下落合3-22-13,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13005641/,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%83%BC%E3%82%B0%E3%83%AB%E3%83%89%E3%82%A5%E3%83%BC%E3%82%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E4%B8%8B%E8%90%BD%E5%90%883-22-13,35.7224758,139.7006397,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
茶香,東京都足立区千住1-24-8,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13110615/,https://www.google.com/maps/search/?api=1&query=%E8%8C%B6%E9%A6%99%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B6%B3%E7%AB%8B%E5%8C%BA%E5%8D%83%E4%BD%8F1-24-8,35.7475062,139.8016547,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
パティシエ・ヒロ ヤマモト,東京都江戸川区篠崎町1-7-23-1 ピラトゥス篠崎1号室,食べログ スイーツ 百名店 TOKYO 2018 百名店 2018,https://tabelog.com/tokyo/A1303/A130302/13121679/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B7%E3%82%A8%E3%83%BB%E3%83%92%E3%83%AD%20%E3%83%A4%E3%83%9E%E3%83%A2%E3%83%88%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA%E7%AF%A0%E5%B4%8E%E7%94%BA1-7-23-1%20%E3%83%94%E3%83%A9%E3%83%88%E3%82%A5%E3%82%B9%E7%AF%A0%E5%B4%8E1%E5%8F%B7%E5%AE%A4,35.7086171,139.9040820,2018,スイーツ 百名店 TOKYO 2018,sweets_tokyo,
