Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ボナボナ,大阪府大阪市西区新町1-22-12 TTビル2号館新町 101号,食べログ カレー 百名店 WEST 2019 百名店 2019,https://tabelog.com/osaka/A2701/A270201/27005018/,https://www.google.com/maps/search/?api=1&query=%E3%83%9C%E3%83%8A%E3%83%9C%E3%83%8A%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E6%96%B0%E7%94%BA1-22-12%20TT%E3%83%93%E3%83%AB2%E5%8F%B7%E9%A4%A8%E6%96%B0%E7%94%BA%20101%E5%8F%B7,34.6764007,135.4944666,2019,カレー 百名店 WEST 2019,curry_west,
curry bar nidomi,大阪府大阪市中央区常盤町2-4-9 エクセル第6ビル 2F,食べログ カレー 百名店 WEST 2019 百名店 2019,https://tabelog.com/osaka/A2701/A270104/27062194/,https://www.google.com/maps/search/?api=1&query=curry%20bar%20nidomi%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%B8%B8%E7%9B%A4%E7%94%BA2-4-9%20%E3%82%A8%E3%82%AF%E3%82%BB%E3%83%AB%E7%AC%AC6%E3%83%93%E3%83%AB%202F,34.6825354,135.5122114,2019,カレー 百名店 WEST 2019,curry_west,
スパイスれすとらん cardamom,徳島県徳島市幸町3-62-5 みつはまビル 1Ｆ,食べログ カレー 百名店 WEST 2019 百名店 2019,https://tabelog.com/tokushima/A3601/A360101/36000907/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%E3%82%8C%E3%81%99%E3%81%A8%E3%82%89%E3%82%93%20cardamom%20%E5%BE%B3%E5%B3%B6%E7%9C%8C%E5%BE%B3%E5%B3%B6%E5%B8%82%E5%B9%B8%E7%94%BA3-62-5%20%E3%81%BF%E3%81%A4%E3%81%AF%E3%81%BE%E3%83%93%E3%83%AB%201%EF%BC%A6,34.0689761,134.5548622,2019,カレー 百名店 WEST 2019,curry_west,
ラサ ボジュン,大阪府大阪市中央区内平野町3-3-2 恵美須ビルB1F,食べログ カレー 百名店 WEST 2019 百名店 2019,https://tabelog.com/osaka/A2701/A270102/27090304/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%82%B5%20%E3%83%9C%E3%82%B8%E3%83%A5%E3%83%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%86%85%E5%B9%B3%E9%87%8E%E7%94%BA3-3-2%20%E6%81%B5%E7%BE%8E%E9%A0%88%E3%83%93%E3%83%ABB1F,34.6873815,135.5100869,2019,カレー 百名店 WEST 2019,curry_west,
nandi,広島県広島市中区小町6-20,食べログ カレー 百名店 WEST 2019 百名店 2019,https://tabelog.com/hiroshima/A3401/A340101/34014601/,https://www.google.com/maps/search/?api=1&query=nandi%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B0%8F%E7%94%BA6-20,34.3877492,132.4568989,2019,カレー 百名店 WEST 2019,curry_west,
スパイスカリー バビルの塔,大阪府大阪市中央区徳井町2-4-5 エクセル内本町ハイツ 1F,食べログ カレー 百名店 WEST 2019 百名店 2019,https://tabelog.com/osaka/A2701/A270104/27064588/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%E3%82%AB%E3%83%AA%E3%83%BC%20%E3%83%90%E3%83%93%E3%83%AB%E3%81%AE%E5%A1%94%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%BE%B3%E4%BA%95%E7%94%BA2-4-5%20%E3%82%A8%E3%82%AF%E3%82%BB%E3%83%AB%E5%86%85%E6%9C%AC%E7%94%BA%E3%83%8F%E3%82%A4%E3%83%84%201F,34.6842509,135.5127390,2019,カレー 百名店 WEST 2019,curry_west,
Spice&Dining KALA,福岡県中間市東中間1-3-7 Kタウン 1F,食べログ カレー 百名店 WEST 2019 百名店 2019,https://tabelog.com/fukuoka/A4006/A400603/40035804/,https://www.google.com/maps/search/?api=1&query=Spice%26Dining%20KALA%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E4%B8%AD%E9%96%93%E5%B8%82%E6%9D%B1%E4%B8%AD%E9%96%931-3-7%20K%E3%82%BF%E3%82%A6%E3%83%B3%201F,33.8174940,130.7152699,2019,カレー 百名店 WEST 2019,curry_west,
カレー コンドル,大阪府大阪市西区北堀江1-16-16,食べログ カレー 百名店 WEST 2019 百名店 2019,https://tabelog.com/osaka/A2701/A270201/27059870/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AC%E3%83%BC%20%E3%82%B3%E3%83%B3%E3%83%89%E3%83%AB%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%8C%97%E5%A0%80%E6%B1%9F1-16-16,34.6738318,135.4943197,2019,カレー 百名店 WEST 2019,curry_west,
アンナプルナ,大阪府大阪市北区与力町2-10 東寺町ビル1F,食べログ カレー 百名店 WEST 2019 百名店 2019,https://tabelog.com/osaka/A2701/A270103/27042046/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%B3%E3%83%8A%E3%83%97%E3%83%AB%E3%83%8A%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E4%B8%8E%E5%8A%9B%E7%94%BA2-10%20%E6%9D%B1%E5%AF%BA%E7%94%BA%E3%83%93%E3%83%AB1F,34.6999505,135.5127755,2019,カレー 百名店 WEST 2019,curry_west,
アリーズ キッチン,大阪府大阪市中央区心斎橋筋1-10-12 トレスビル B1F,食べログ カレー 百名店 WEST 2019 百名店 2019,https://tabelog.com/osaka/A2701/A270201/27045608/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%AA%E3%83%BC%E3%82%BA%20%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%BF%83%E6%96%8E%E6%A9%8B%E7%AD%8B1-10-12%20%E3%83%88%E3%83%AC%E3%82%B9%E3%83%93%E3%83%AB%20B1F,34.6748084,135.5009484,2019,カレー 百名店 WEST 2019,curry_west,
