Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
東亭,東京都豊島区東池袋2-50-13,食べログ 餃子 百名店 2019,https://tabelog.com/tokyo/A1305/A130501/13008958/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E6%9D%B1%E6%B1%A0%E8%A2%8B2-50-13,2019,餃子,gyoza,
和の中,栃木県宇都宮市駒生町1296-33,食べログ 餃子 百名店 2019,https://tabelog.com/tochigi/A0901/A090101/9000118/,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E3%81%AE%E4%B8%AD%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E9%A7%92%E7%94%9F%E7%94%BA1296-33,2019,餃子,gyoza,
淡水軒,兵庫県神戸市中央区元町高架通2-138,食べログ 餃子 百名店 2019,https://tabelog.com/hyogo/A2801/A280102/28000846/,https://www.google.com/maps/search/?api=1&query=%E6%B7%A1%E6%B0%B4%E8%BB%92%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%85%83%E7%94%BA%E9%AB%98%E6%9E%B6%E9%80%9A2-138,2019,餃子,gyoza,
喜慕里,静岡県浜松市中央区増楽町563-3,食べログ 餃子 百名店 2019,https://tabelog.com/shizuoka/A2202/A220201/22002540/,https://www.google.com/maps/search/?api=1&query=%E5%96%9C%E6%85%95%E9%87%8C%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%A2%97%E6%A5%BD%E7%94%BA563-3,2019,餃子,gyoza,
亀戸ぎょうざ 両国支店,東京都墨田区両国4-34-10,食べログ 餃子 百名店 2019,https://tabelog.com/tokyo/A1312/A131201/13039735/,https://www.google.com/maps/search/?api=1&query=%E4%BA%80%E6%88%B8%E3%81%8E%E3%82%87%E3%81%86%E3%81%96%20%E4%B8%A1%E5%9B%BD%E6%94%AF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E4%B8%A1%E5%9B%BD4-34-10,2019,餃子,gyoza,
餃子荘 ムロ,東京都新宿区高田馬場1-33-2,食べログ 餃子 百名店 2019,https://tabelog.com/tokyo/A1305/A130503/13019237/,https://www.google.com/maps/search/?api=1&query=%E9%A4%83%E5%AD%90%E8%8D%98%20%E3%83%A0%E3%83%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B41-33-2,2019,餃子,gyoza,
正嗣 宮島本店,栃木県宇都宮市馬場通り4-3-1,食べログ 餃子 百名店 2019,https://tabelog.com/tochigi/A0901/A090101/9000046/,https://www.google.com/maps/search/?api=1&query=%E6%AD%A3%E5%97%A3%20%E5%AE%AE%E5%B3%B6%E6%9C%AC%E5%BA%97%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E9%A6%AC%E5%A0%B4%E9%80%9A%E3%82%8A4-3-1,2019,餃子,gyoza,
宇都宮みんみん 本店,栃木県宇都宮市馬場通り4-2-3,食べログ 餃子 百名店 2019,https://tabelog.com/tochigi/A0901/A090101/9000045/,https://www.google.com/maps/search/?api=1&query=%E5%AE%87%E9%83%BD%E5%AE%AE%E3%81%BF%E3%82%93%E3%81%BF%E3%82%93%20%E6%9C%AC%E5%BA%97%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E9%A6%AC%E5%A0%B4%E9%80%9A%E3%82%8A4-2-3,2019,餃子,gyoza,
天平 北新地本店,大阪府大阪市北区曽根崎新地1-8-12,食べログ 餃子 百名店 2019,https://tabelog.com/osaka/A2701/A270101/27000184/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E5%B9%B3%20%E5%8C%97%E6%96%B0%E5%9C%B0%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E%E6%96%B0%E5%9C%B01-8-12,2019,餃子,gyoza,
ひろめで安兵衛,高知県高知市帯屋町2-3-1 ひろめ市場,食べログ 餃子 百名店 2019,https://tabelog.com/kochi/A3901/A390101/39000464/,https://www.google.com/maps/search/?api=1&query=%E3%81%B2%E3%82%8D%E3%82%81%E3%81%A7%E5%AE%89%E5%85%B5%E8%A1%9B%20%E9%AB%98%E7%9F%A5%E7%9C%8C%E9%AB%98%E7%9F%A5%E5%B8%82%E5%B8%AF%E5%B1%8B%E7%94%BA2-3-1%20%E3%81%B2%E3%82%8D%E3%82%81%E5%B8%82%E5%A0%B4,2019,餃子,gyoza,
清ちゃん,広島県広島市中区銀山町13-11,食べログ 餃子 百名店 2019,https://tabelog.com/hiroshima/A3401/A340101/34004387/,https://www.google.com/maps/search/?api=1&query=%E6%B8%85%E3%81%A1%E3%82%83%E3%82%93%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%8C%BA%E9%8A%80%E5%B1%B1%E7%94%BA13-11,2019,餃子,gyoza,
壇太,東京都港区高輪3-7-14,食べログ 餃子 百名店 2019,https://tabelog.com/tokyo/A1316/A131603/13020500/,https://www.google.com/maps/search/?api=1&query=%E5%A3%87%E5%A4%AA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E9%AB%98%E8%BC%AA3-7-14,2019,餃子,gyoza,
餃子の福包 新宿店,東京都新宿区新宿2-8-6 KDX新宿286ビル 1F,食べログ 餃子 百名店 2019,https://tabelog.com/tokyo/A1304/A130402/13050544/,https://www.google.com/maps/search/?api=1&query=%E9%A4%83%E5%AD%90%E3%81%AE%E7%A6%8F%E5%8C%85%20%E6%96%B0%E5%AE%BF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF2-8-6%20KDX%E6%96%B0%E5%AE%BF286%E3%83%93%E3%83%AB%201F,2019,餃子,gyoza,
山東 1号店,神奈川県横浜市中区山下町150,食べログ 餃子 百名店 2019,https://tabelog.com/kanagawa/A1401/A140105/14042276/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E6%9D%B1%201%E5%8F%B7%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA150,2019,餃子,gyoza,
ぎょうざ専門店 赤萬 三宮店,兵庫県神戸市中央区北長狭通2-2-1,食べログ 餃子 百名店 2019,https://tabelog.com/hyogo/A2801/A280101/28004179/,https://www.google.com/maps/search/?api=1&query=%E3%81%8E%E3%82%87%E3%81%86%E3%81%96%E5%B0%82%E9%96%80%E5%BA%97%20%E8%B5%A4%E8%90%AC%20%E4%B8%89%E5%AE%AE%E5%BA%97%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%97%E9%95%B7%E7%8B%AD%E9%80%9A2-2-1,2019,餃子,gyoza,
