Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
カレーの店 マボロシ,神奈川県相模原市中央区中央3-7-1,食べログ カレー 百名店 EAST 2019 百名店 2019,https://tabelog.com/kanagawa/A1407/A140701/14040492/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AC%E3%83%BC%E3%81%AE%E5%BA%97%20%E3%83%9E%E3%83%9C%E3%83%AD%E3%82%B7%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E7%9B%B8%E6%A8%A1%E5%8E%9F%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%AD%E5%A4%AE3-7-1,35.5715777,139.3711076,2019,カレー 百名店 EAST 2019,curry_east,
コスギカレー,神奈川県川崎市中原区新丸子東2-897-11 ラポール新丸子102,食べログ カレー 百名店 EAST 2019 百名店 2019,https://tabelog.com/kanagawa/A1405/A140504/14042207/,https://tabelog.com/kanagawa/A1405/A140504/14042207/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%B3%E3%82%B9%E3%82%AE%E3%82%AB%E3%83%AC%E3%83%BC%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E4%B8%AD%E5%8E%9F%E5%8C%BA%E6%96%B0%E4%B8%B8%E5%AD%90%E6%9D%B12-897-11%20%E3%83%A9%E3%83%9D%E3%83%BC%E3%83%AB%E6%96%B0%E4%B8%B8%E5%AD%90102,35.5782948,139.6626544,2019,カレー 百名店 EAST 2019,curry_east,
Handi レストラン,千葉県野田市目吹1508-1,食べログ カレー 百名店 EAST 2019 百名店 2019,https://tabelog.com/chiba/A1203/A120305/12026828/,,https://www.google.com/maps/search/?api=1&query=Handi%20%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E5%8D%83%E8%91%89%E7%9C%8C%E9%87%8E%E7%94%B0%E5%B8%82%E7%9B%AE%E5%90%B91508-1,35.9649470,139.8824353,2019,カレー 百名店 EAST 2019,curry_east,
Bay&Leaf 横浜,神奈川県横浜市戸塚区戸塚町120 斉藤ビル 2F,食べログ カレー 百名店 EAST 2019 百名店 2019,https://tabelog.com/kanagawa/A1401/A140305/14000620/,,https://www.google.com/maps/search/?api=1&query=Bay%26Leaf%20%E6%A8%AA%E6%B5%9C%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%88%B8%E5%A1%9A%E5%8C%BA%E6%88%B8%E5%A1%9A%E7%94%BA120%20%E6%96%89%E8%97%A4%E3%83%93%E3%83%AB%202F,35.3978525,139.5316472,2019,カレー 百名店 EAST 2019,curry_east,
アルペンジロー 本店,神奈川県横浜市中区弥生町3-26,食べログ カレー 百名店 EAST 2019 百名店 2019,https://tabelog.com/kanagawa/A1401/A140104/14000553/,https://tabelog.com/kanagawa/A1401/A140306/14000553/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%AB%E3%83%9A%E3%83%B3%E3%82%B8%E3%83%AD%E3%83%BC%20%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%BC%A5%E7%94%9F%E7%94%BA3-26,35.4395926,139.6286672,2019,カレー 百名店 EAST 2019,curry_east,
アルカラム,埼玉県八潮市中央1-8-10,食べログ カレー 百名店 EAST 2019 百名店 2019,https://tabelog.com/saitama/A1102/A110205/11021841/,,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%A9%E3%83%A0%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%85%AB%E6%BD%AE%E5%B8%82%E4%B8%AD%E5%A4%AE1-8-10,35.8209018,139.8383798,2019,カレー 百名店 EAST 2019,curry_east,
印度料理シタール,千葉県千葉市花見川区検見川町1-106-16,食べログ カレー 百名店 EAST 2019 百名店 2019,https://tabelog.com/chiba/A1201/A120104/12000109/,,https://www.google.com/maps/search/?api=1&query=%E5%8D%B0%E5%BA%A6%E6%96%99%E7%90%86%E3%82%B7%E3%82%BF%E3%83%BC%E3%83%AB%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%8D%83%E8%91%89%E5%B8%82%E8%8A%B1%E8%A6%8B%E5%B7%9D%E5%8C%BA%E6%A4%9C%E8%A6%8B%E5%B7%9D%E7%94%BA1-106-16,35.6519675,140.0653893,2019,カレー 百名店 EAST 2019,curry_east,
Kikuya Curry,神奈川県横浜市中区野毛町4-173 天悦ビル　１０１,食べログ カレー 百名店 EAST 2019 百名店 2019,https://tabelog.com/kanagawa/A1401/A140102/14004143/,,https://www.google.com/maps/search/?api=1&query=Kikuya%20Curry%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E9%87%8E%E6%AF%9B%E7%94%BA4-173%20%E5%A4%A9%E6%82%A6%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%90%EF%BC%91,35.4484749,139.6270283,2019,カレー 百名店 EAST 2019,curry_east,
オクシモロン コマチ,神奈川県鎌倉市雪ノ下1-5-38 2Ｆ,食べログ カレー 百名店 EAST 2019 百名店 2019,https://tabelog.com/kanagawa/A1404/A140402/14014612/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AA%E3%82%AF%E3%82%B7%E3%83%A2%E3%83%AD%E3%83%B3%20%E3%82%B3%E3%83%9E%E3%83%81%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E9%9B%AA%E3%83%8E%E4%B8%8B1-5-38%202%EF%BC%A6,35.3227527,139.5526054,2019,カレー 百名店 EAST 2019,curry_east,
カラチの空,埼玉県八潮市中央1-7-11 三木ビル,食べログ カレー 百名店 EAST 2019 百名店 2019,https://tabelog.com/saitama/A1102/A110205/11020803/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%A9%E3%83%81%E3%81%AE%E7%A9%BA%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%85%AB%E6%BD%AE%E5%B8%82%E4%B8%AD%E5%A4%AE1-7-11%20%E4%B8%89%E6%9C%A8%E3%83%93%E3%83%AB,35.8207774,139.8388286,2019,カレー 百名店 EAST 2019,curry_east,
