Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
ベーカリー&スイーツ ピコット,神奈川県足柄下郡箱根町宮ノ下359 富士屋ホテル,食べログ パン EAST 百名店 2020,https://tabelog.com/kanagawa/A1410/A141001/14007490/,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC%26%E3%82%B9%E3%82%A4%E3%83%BC%E3%83%84%20%E3%83%94%E3%82%B3%E3%83%83%E3%83%88%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E7%AE%B1%E6%A0%B9%E7%94%BA%E5%AE%AE%E3%83%8E%E4%B8%8B359%20%E5%AF%8C%E5%A3%AB%E5%B1%8B%E3%83%9B%E3%83%86%E3%83%AB,2020,パン EAST,bread_east,
前田パン,神奈川県横浜市青葉区黒須田33-5 タウンコートあざみ野　１F,食べログ パン EAST 百名店 2020,https://tabelog.com/kanagawa/A1401/A140201/14041192/,https://www.google.com/maps/search/?api=1&query=%E5%89%8D%E7%94%B0%E3%83%91%E3%83%B3%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E9%BB%92%E9%A0%88%E7%94%B033-5%20%E3%82%BF%E3%82%A6%E3%83%B3%E3%82%B3%E3%83%BC%E3%83%88%E3%81%82%E3%81%96%E3%81%BF%E9%87%8E%E3%80%80%EF%BC%91F,2020,パン EAST,bread_east,
KIBIYA ベーカリー 本店,神奈川県鎌倉市御成町5-34,食べログ パン EAST 百名店 2020,https://tabelog.com/kanagawa/A1404/A140402/14014244/,https://www.google.com/maps/search/?api=1&query=KIBIYA%20%E3%83%99%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC%20%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E5%BE%A1%E6%88%90%E7%94%BA5-34,2020,パン EAST,bread_east,
ブランジェリー ラ・フォンティヌ・ドゥ・ルルド,北海道札幌市中央区宮の森4条12丁目10-1,食べログ パン EAST 百名店 2020,https://tabelog.com/hokkaido/A0101/A010105/1007040/,https://www.google.com/maps/search/?api=1&query=%E3%83%96%E3%83%A9%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%BC%20%E3%83%A9%E3%83%BB%E3%83%95%E3%82%A9%E3%83%B3%E3%83%86%E3%82%A3%E3%83%8C%E3%83%BB%E3%83%89%E3%82%A5%E3%83%BB%E3%83%AB%E3%83%AB%E3%83%89%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%AE%AE%E3%81%AE%E6%A3%AE4%E6%9D%A112%E4%B8%81%E7%9B%AE10-1,2020,パン EAST,bread_east,
ベッカライサカツジ,埼玉県三郷市彦成3-392-2,食べログ パン EAST 百名店 2020,https://tabelog.com/saitama/A1102/A110205/11034449/,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%83%E3%82%AB%E3%83%A9%E3%82%A4%E3%82%B5%E3%82%AB%E3%83%84%E3%82%B8%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E4%B8%89%E9%83%B7%E5%B8%82%E5%BD%A6%E6%88%903-392-2,2020,パン EAST,bread_east,
Le Supreme ジェイアール名古屋高島屋店,愛知県名古屋市中村区名駅1-1-4 ジェイアール名古屋高島屋店 B2F,食べログ パン EAST 百名店 2020,https://tabelog.com/aichi/A2301/A230101/23052895/,https://www.google.com/maps/search/?api=1&query=Le%20Supreme%20%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%A2%E3%83%BC%E3%83%AB%E5%90%8D%E5%8F%A4%E5%B1%8B%E9%AB%98%E5%B3%B6%E5%B1%8B%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%851-1-4%20%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%A2%E3%83%BC%E3%83%AB%E5%90%8D%E5%8F%A4%E5%B1%8B%E9%AB%98%E5%B3%B6%E5%B1%8B%E5%BA%97%20B2F,2020,パン EAST,bread_east,
トツゼン ベーカーズ キッチン,神奈川県横浜市港北区大倉山2-1-11,食べログ パン EAST 百名店 2020,https://tabelog.com/kanagawa/A1401/A140204/14004443/,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%84%E3%82%BC%E3%83%B3%20%E3%83%99%E3%83%BC%E3%82%AB%E3%83%BC%E3%82%BA%20%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%B8%AF%E5%8C%97%E5%8C%BA%E5%A4%A7%E5%80%89%E5%B1%B12-1-11,2020,パン EAST,bread_east,
ラパン ノワール くろうさぎ,埼玉県秩父市野坂町1-18-12,食べログ パン EAST 百名店 2020,https://tabelog.com/saitama/A1107/A110701/11003478/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%91%E3%83%B3%20%E3%83%8E%E3%83%AF%E3%83%BC%E3%83%AB%20%E3%81%8F%E3%82%8D%E3%81%86%E3%81%95%E3%81%8E%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E7%A7%A9%E7%88%B6%E5%B8%82%E9%87%8E%E5%9D%82%E7%94%BA1-18-12,2020,パン EAST,bread_east,
ベーカリー＆テーブル 東府や 足湯カフェ,静岡県伊豆市吉奈98 東府や Resort&Spa-Izu,食べログ パン EAST 百名店 2020,https://tabelog.com/shizuoka/A2205/A220504/22021103/,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC%EF%BC%86%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB%20%E6%9D%B1%E5%BA%9C%E3%82%84%20%E8%B6%B3%E6%B9%AF%E3%82%AB%E3%83%95%E3%82%A7%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E4%BC%8A%E8%B1%86%E5%B8%82%E5%90%89%E5%A5%8898%20%E6%9D%B1%E5%BA%9C%E3%82%84%20Resort%26Spa-Izu,2020,パン EAST,bread_east,
セテュヌ ボンニデー,神奈川県川崎市多摩区登戸1889 今野ビル 1F,食べログ パン EAST 百名店 2020,https://tabelog.com/kanagawa/A1405/A140506/14053039/,https://www.google.com/maps/search/?api=1&query=%E3%82%BB%E3%83%86%E3%83%A5%E3%83%8C%20%E3%83%9C%E3%83%B3%E3%83%8B%E3%83%87%E3%83%BC%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E5%A4%9A%E6%91%A9%E5%8C%BA%E7%99%BB%E6%88%B81889%20%E4%BB%8A%E9%87%8E%E3%83%93%E3%83%AB%201F,2020,パン EAST,bread_east,
