Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
モン・ペシェ・ミニョン,神奈川県鎌倉市雪ノ下4-3-17,食べログ パン EAST 百名店 2020,https://tabelog.com/kanagawa/A1404/A140402/14041555/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%A2%E3%83%B3%E3%83%BB%E3%83%9A%E3%82%B7%E3%82%A7%E3%83%BB%E3%83%9F%E3%83%8B%E3%83%A7%E3%83%B3%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E9%9B%AA%E3%83%8E%E4%B8%8B4-3-17,35.3233329,139.5616182,2020,パン EAST,bread_east,
ブーランジェリー オンニ,神奈川県横浜市港南区上大岡西3-10-1,食べログ パン EAST 百名店 2020,https://tabelog.com/kanagawa/A1401/A140307/14060669/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%96%E3%83%BC%E3%83%A9%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%BC%20%E3%82%AA%E3%83%B3%E3%83%8B%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%B8%AF%E5%8D%97%E5%8C%BA%E4%B8%8A%E5%A4%A7%E5%B2%A1%E8%A5%BF3-10-1,35.4033344,139.5976899,2020,パン EAST,bread_east,
ブレッド＆サーカス,神奈川県足柄下郡湯河原町土肥4-2-16,食べログ パン EAST 百名店 2020,https://tabelog.com/kanagawa/A1410/A141002/14004024/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%96%E3%83%AC%E3%83%83%E3%83%89%EF%BC%86%E3%82%B5%E3%83%BC%E3%82%AB%E3%82%B9%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E6%B9%AF%E6%B2%B3%E5%8E%9F%E7%94%BA%E5%9C%9F%E8%82%A54-2-16,35.1435202,139.1037117,2020,パン EAST,bread_east,
天然酵母パン工房 KIBIYAベーカリー 段葛店,神奈川県鎌倉市小町2丁目13-1,食べログ パン EAST 百名店 2020,https://tabelog.com/kanagawa/A1404/A140402/14004671/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E7%84%B6%E9%85%B5%E6%AF%8D%E3%83%91%E3%83%B3%E5%B7%A5%E6%88%BF%20KIBIYA%E3%83%99%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC%20%E6%AE%B5%E8%91%9B%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E5%B0%8F%E7%94%BA2%E4%B8%81%E7%9B%AE13-1,35.3213301,139.5537167,2020,パン EAST,bread_east,
バックシュトゥーベ ツオップ,千葉県松戸市小金原2-14-3 1Ｆ,食べログ パン EAST 百名店 2020,https://tabelog.com/chiba/A1203/A120302/12000514/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%90%E3%83%83%E3%82%AF%E3%82%B7%E3%83%A5%E3%83%88%E3%82%A5%E3%83%BC%E3%83%99%20%E3%83%84%E3%82%AA%E3%83%83%E3%83%97%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%9D%BE%E6%88%B8%E5%B8%82%E5%B0%8F%E9%87%91%E5%8E%9F2-14-3%201%EF%BC%A6,35.8244303,139.9478969,2020,パン EAST,bread_east,
アーブル,埼玉県朝霞市根岸台1-1-73 ｓｋ根岸台101,食べログ パン EAST 百名店 2020,https://tabelog.com/saitama/A1103/A110301/11022163/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%BC%E3%83%96%E3%83%AB%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E6%9C%9D%E9%9C%9E%E5%B8%82%E6%A0%B9%E5%B2%B8%E5%8F%B01-1-73%20%EF%BD%93%EF%BD%8B%E6%A0%B9%E5%B2%B8%E5%8F%B0101,35.7985100,139.6020240,2020,パン EAST,bread_east,
小春日和,埼玉県さいたま市大宮区堀の内町3-39-1,食べログ パン EAST 百名店 2020,https://tabelog.com/saitama/A1101/A110101/11004747/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E6%98%A5%E6%97%A5%E5%92%8C%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E5%A0%80%E3%81%AE%E5%86%85%E7%94%BA3-39-1,35.9133067,139.6342978,2020,パン EAST,bread_east,
KIBIYA ベーカリー 本店,神奈川県鎌倉市御成町5-34,食べログ パン EAST 百名店 2020,https://tabelog.com/kanagawa/A1404/A140402/14014244/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=KIBIYA%20%E3%83%99%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC%20%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E5%BE%A1%E6%88%90%E7%94%BA5-34,35.3164777,139.5491805,2020,パン EAST,bread_east,
cimai,埼玉県幸手市大字幸手2058-1-2,食べログ パン EAST 百名店 2020,https://tabelog.com/saitama/A1104/A110402/11012294/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=cimai%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B9%B8%E6%89%8B%E5%B8%82%E5%A4%A7%E5%AD%97%E5%B9%B8%E6%89%8B2058-1-2,36.0766412,139.7297413,2020,パン EAST,bread_east,
ベーカリー＆テーブル 東府や 足湯カフェ,静岡県伊豆市吉奈98 東府や Resort&Spa-Izu,食べログ パン EAST 百名店 2020,https://tabelog.com/shizuoka/A2205/A220504/22021103/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC%EF%BC%86%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB%20%E6%9D%B1%E5%BA%9C%E3%82%84%20%E8%B6%B3%E6%B9%AF%E3%82%AB%E3%83%95%E3%82%A7%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E4%BC%8A%E8%B1%86%E5%B8%82%E5%90%89%E5%A5%8898%20%E6%9D%B1%E5%BA%9C%E3%82%84%20Resort%26Spa-Izu,34.9060043,138.9115557,2020,パン EAST,bread_east,
