Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
カラチの空,埼玉県八潮市中央1-7-11 三木ビル,食べログ カレー EAST 百名店 2020,https://tabelog.com/saitama/A1102/A110205/11020803/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%A9%E3%83%81%E3%81%AE%E7%A9%BA%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%85%AB%E6%BD%AE%E5%B8%82%E4%B8%AD%E5%A4%AE1-7-11%20%E4%B8%89%E6%9C%A8%E3%83%93%E3%83%AB,35.8207774,139.8388286,2020,カレー EAST,curry_east,
ZORA,北海道札幌市中央区南1条西7丁目12-5 大通パークサイドビル 1F,食べログ カレー EAST 百名店 2020,https://tabelog.com/hokkaido/A0101/A010102/1024540/,https://www.google.com/maps/search/?api=1&query=ZORA%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%971%E6%9D%A1%E8%A5%BF7%E4%B8%81%E7%9B%AE12-5%20%E5%A4%A7%E9%80%9A%E3%83%91%E3%83%BC%E3%82%AF%E3%82%B5%E3%82%A4%E3%83%89%E3%83%93%E3%83%AB%201F,43.0588276,141.3474707,2020,カレー EAST,curry_east,
マドラスミールス,神奈川県川崎市中原区上丸子八幡町816 山本ビル1F,食べログ カレー EAST 百名店 2020,https://tabelog.com/kanagawa/A1405/A140504/14043719/,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%89%E3%83%A9%E3%82%B9%E3%83%9F%E3%83%BC%E3%83%AB%E3%82%B9%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E4%B8%AD%E5%8E%9F%E5%8C%BA%E4%B8%8A%E4%B8%B8%E5%AD%90%E5%85%AB%E5%B9%A1%E7%94%BA816%20%E5%B1%B1%E6%9C%AC%E3%83%93%E3%83%AB1F,35.5802558,139.6648886,2020,カレー EAST,curry_east,
南インド料理 葉菜,千葉県八千代市勝田台1-13-32 MTビル １F,食べログ カレー EAST 百名店 2020,https://tabelog.com/chiba/A1202/A120204/12012667/,https://www.google.com/maps/search/?api=1&query=%E5%8D%97%E3%82%A4%E3%83%B3%E3%83%89%E6%96%99%E7%90%86%20%E8%91%89%E8%8F%9C%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%85%AB%E5%8D%83%E4%BB%A3%E5%B8%82%E5%8B%9D%E7%94%B0%E5%8F%B01-13-32%20MT%E3%83%93%E3%83%AB%20%EF%BC%91F,35.7145866,140.1280656,2020,カレー EAST,curry_east,
アルペンジロー 本店,神奈川県横浜市中区弥生町3-26,食べログ カレー EAST 百名店 2020,https://tabelog.com/kanagawa/A1401/A140104/14000553/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%AB%E3%83%9A%E3%83%B3%E3%82%B8%E3%83%AD%E3%83%BC%20%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%BC%A5%E7%94%9F%E7%94%BA3-26,35.4395926,139.6286672,2020,カレー EAST,curry_east,
カラバトカリー,北海道札幌市南区藤野二条12-6-1,食べログ カレー EAST 百名店 2020,https://tabelog.com/hokkaido/A0101/A010305/1002186/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%A9%E3%83%90%E3%83%88%E3%82%AB%E3%83%AA%E3%83%BC%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8D%97%E5%8C%BA%E8%97%A4%E9%87%8E%E4%BA%8C%E6%9D%A112-6-1,42.9614082,141.2760581,2020,カレー EAST,curry_east,
西屯田通りスープカレー本舗,北海道札幌市中央区南八条西13-4-5,食べログ カレー EAST 百名店 2020,https://tabelog.com/hokkaido/A0101/A010104/1007981/,https://www.google.com/maps/search/?api=1&query=%E8%A5%BF%E5%B1%AF%E7%94%B0%E9%80%9A%E3%82%8A%E3%82%B9%E3%83%BC%E3%83%97%E3%82%AB%E3%83%AC%E3%83%BC%E6%9C%AC%E8%88%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E5%85%AB%E6%9D%A1%E8%A5%BF13-4-5,43.0484095,141.3390149,2020,カレー EAST,curry_east,
STAR,北海道小樽市星野町19-2,食べログ カレー EAST 百名店 2020,https://tabelog.com/hokkaido/A0106/A010601/1042370/,https://www.google.com/maps/search/?api=1&query=STAR%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%B0%8F%E6%A8%BD%E5%B8%82%E6%98%9F%E9%87%8E%E7%94%BA19-2,43.1317748,141.1897502,2020,カレー EAST,curry_east,
べいらっきょ,神奈川県横浜市中区相生町4-76 ラタンビル B1F,食べログ カレー EAST 百名店 2020,https://tabelog.com/kanagawa/A1401/A140104/14000111/,https://www.google.com/maps/search/?api=1&query=%E3%81%B9%E3%81%84%E3%82%89%E3%81%A3%E3%81%8D%E3%82%87%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E7%9B%B8%E7%94%9F%E7%94%BA4-76%20%E3%83%A9%E3%82%BF%E3%83%B3%E3%83%93%E3%83%AB%20B1F,35.4476772,139.6360050,2020,カレー EAST,curry_east,
五○堂,北海道札幌市中央区南8条西10丁目1277-37 カネトモビル2-１階,食べログ カレー EAST 百名店 2020,https://tabelog.com/hokkaido/A0101/A010104/1029487/,https://www.google.com/maps/search/?api=1&query=%E4%BA%94%E2%97%8B%E5%A0%82%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%978%E6%9D%A1%E8%A5%BF10%E4%B8%81%E7%9B%AE1277-37%20%E3%82%AB%E3%83%8D%E3%83%88%E3%83%A2%E3%83%93%E3%83%AB2-%EF%BC%91%E9%9A%8E,43.0489830,141.3438607,2020,カレー EAST,curry_east,
ターラ,北海道札幌市中央区南一条西4 日本旅行ビル　Ｂ１Ｆ,食べログ カレー EAST 百名店 2020,https://tabelog.com/hokkaido/A0101/A010102/1001916/,https://www.google.com/maps/search/?api=1&query=%E3%82%BF%E3%83%BC%E3%83%A9%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E4%B8%80%E6%9D%A1%E8%A5%BF4%20%E6%97%A5%E6%9C%AC%E6%97%85%E8%A1%8C%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,43.0590418,141.3517280,2020,カレー EAST,curry_east,
らっきょ＆Star,神奈川県横浜市港北区綱島西1-2-9 ゴールデンパーク 1F,食べログ カレー EAST 百名店 2020,https://tabelog.com/kanagawa/A1401/A140204/14009431/,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%81%A3%E3%81%8D%E3%82%87%EF%BC%86Star%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%B8%AF%E5%8C%97%E5%8C%BA%E7%B6%B1%E5%B3%B6%E8%A5%BF1-2-9%20%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3%E3%83%91%E3%83%BC%E3%82%AF%201F,35.5379490,139.6353430,2020,カレー EAST,curry_east,
