Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
旧ヤム鐵道,大阪府大阪市北区梅田3-1-3 ルクアイーレ B2Fバルチカ,食べログ カレー WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270101/27084538/,https://www.google.com/maps/search/?api=1&query=%E6%97%A7%E3%83%A4%E3%83%A0%E9%90%B5%E9%81%93%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%A2%85%E7%94%B03-1-3%20%E3%83%AB%E3%82%AF%E3%82%A2%E3%82%A4%E3%83%BC%E3%83%AC%20B2F%E3%83%90%E3%83%AB%E3%83%81%E3%82%AB,2020,カレー WEST,curry_west,
アララギ,大阪府大阪市中央区谷町6-18-28,食べログ カレー WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270204/27053896/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%A9%E3%83%A9%E3%82%AE%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B0%B7%E7%94%BA6-18-28,2020,カレー WEST,curry_west,
王様のスプーン,大阪府大阪市北区西天満5-11-4,食べログ カレー WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270103/27017245/,https://www.google.com/maps/search/?api=1&query=%E7%8E%8B%E6%A7%98%E3%81%AE%E3%82%B9%E3%83%97%E3%83%BC%E3%83%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%A5%BF%E5%A4%A9%E6%BA%805-11-4,2020,カレー WEST,curry_west,
カシミール,富山県射水市沖塚原752-1,食べログ カレー WEST 百名店 2020,https://tabelog.com/toyama/A1604/A160401/16000629/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%82%B7%E3%83%9F%E3%83%BC%E3%83%AB%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%E5%B0%84%E6%B0%B4%E5%B8%82%E6%B2%96%E5%A1%9A%E5%8E%9F752-1,2020,カレー WEST,curry_west,
シナジー,大阪府大阪市北区堂島1丁目5-35 堂島レジャービル 2F,食べログ カレー WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270101/27074379/,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%83%8A%E3%82%B8%E3%83%BC%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A0%82%E5%B3%B61%E4%B8%81%E7%9B%AE5-35%20%E5%A0%82%E5%B3%B6%E3%83%AC%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%93%E3%83%AB%202F,2020,カレー WEST,curry_west,
旧ヤム邸 空堀店,大阪府大阪市中央区谷町6-4-23,食べログ カレー WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270204/27060944/,https://www.google.com/maps/search/?api=1&query=%E6%97%A7%E3%83%A4%E3%83%A0%E9%82%B8%20%E7%A9%BA%E5%A0%80%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B0%B7%E7%94%BA6-4-23,2020,カレー WEST,curry_west,
山口カリー,大阪府大阪市北区紅梅町2-6 昭和ビル1F,食べログ カレー WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270103/27086717/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E5%8F%A3%E3%82%AB%E3%83%AA%E3%83%BC%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E7%B4%85%E6%A2%85%E7%94%BA2-6%20%E6%98%AD%E5%92%8C%E3%83%93%E3%83%AB1F,2020,カレー WEST,curry_west,
辛口飯屋 森元,大阪府大阪市北区西天満4-5-3 2F,食べログ カレー WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270103/27087911/,https://www.google.com/maps/search/?api=1&query=%E8%BE%9B%E5%8F%A3%E9%A3%AF%E5%B1%8B%20%E6%A3%AE%E5%85%83%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%A5%BF%E5%A4%A9%E6%BA%804-5-3%202F,2020,カレー WEST,curry_west,
渡邊カリー 梅田本店,大阪府大阪市北区曽根崎新地2-2-5 第3シンコウビル 3F,食べログ カレー WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270101/27091294/,https://www.google.com/maps/search/?api=1&query=%E6%B8%A1%E9%82%8A%E3%82%AB%E3%83%AA%E3%83%BC%20%E6%A2%85%E7%94%B0%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E%E6%96%B0%E5%9C%B02-2-5%20%E7%AC%AC3%E3%82%B7%E3%83%B3%E3%82%B3%E3%82%A6%E3%83%93%E3%83%AB%203F,2020,カレー WEST,curry_west,
白銀亭,大阪府大阪市中央区淡路町4-4-12 ダイドーメゾン大阪御堂筋　１Ｆ,食べログ カレー WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270106/27012545/,https://www.google.com/maps/search/?api=1&query=%E7%99%BD%E9%8A%80%E4%BA%AD%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%B7%A1%E8%B7%AF%E7%94%BA4-4-12%20%E3%83%80%E3%82%A4%E3%83%89%E3%83%BC%E3%83%A1%E3%82%BE%E3%83%B3%E5%A4%A7%E9%98%AA%E5%BE%A1%E5%A0%82%E7%AD%8B%E3%80%80%EF%BC%91%EF%BC%A6,2020,カレー WEST,curry_west,
