Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
和牛 まつした 上通り店,大阪府大阪市北区曽根崎新地1-3-30 北新地幸田ビル2F,食べログ 焼肉 WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270101/27086935/,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E7%89%9B%20%E3%81%BE%E3%81%A4%E3%81%97%E3%81%9F%20%E4%B8%8A%E9%80%9A%E3%82%8A%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E%E6%96%B0%E5%9C%B01-3-30%20%E5%8C%97%E6%96%B0%E5%9C%B0%E5%B9%B8%E7%94%B0%E3%83%93%E3%83%AB2F,34.6975006,135.4967410,2020,焼肉 WEST,yakiniku_west,
和牛の紀楽,大阪府大阪市北区天満2-12-7,食べログ 焼肉 WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270104/27008433/,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E7%89%9B%E3%81%AE%E7%B4%80%E6%A5%BD%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A4%A9%E6%BA%802-12-7,34.6948195,135.5170345,2020,焼肉 WEST,yakiniku_west,
板前焼肉 一斗 天下茶屋本店,大阪府大阪市西成区天下茶屋東1-23-18,食べログ 焼肉 WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270406/27011178/,https://www.google.com/maps/search/?api=1&query=%E6%9D%BF%E5%89%8D%E7%84%BC%E8%82%89%20%E4%B8%80%E6%96%97%20%E5%A4%A9%E4%B8%8B%E8%8C%B6%E5%B1%8B%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E6%88%90%E5%8C%BA%E5%A4%A9%E4%B8%8B%E8%8C%B6%E5%B1%8B%E6%9D%B11-23-18,34.6422985,135.5022307,2020,焼肉 WEST,yakiniku_west,
町屋やきにく密陽家,岡山県岡山市北区奉還町1-13-14-2,食べログ 焼肉 WEST 百名店 2020,https://tabelog.com/okayama/A3301/A330101/33010192/,https://www.google.com/maps/search/?api=1&query=%E7%94%BA%E5%B1%8B%E3%82%84%E3%81%8D%E3%81%AB%E3%81%8F%E5%AF%86%E9%99%BD%E5%AE%B6%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%B2%A1%E5%B1%B1%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A5%89%E9%82%84%E7%94%BA1-13-14-2,34.6690918,133.9190864,2020,焼肉 WEST,yakiniku_west,
焼肉 白雲台 鶴橋駅前店,大阪府大阪市天王寺区下味原町5-26,食べログ 焼肉 WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270205/27006730/,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%20%E7%99%BD%E9%9B%B2%E5%8F%B0%20%E9%B6%B4%E6%A9%8B%E9%A7%85%E5%89%8D%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%A4%A9%E7%8E%8B%E5%AF%BA%E5%8C%BA%E4%B8%8B%E5%91%B3%E5%8E%9F%E7%94%BA5-26,34.6654853,135.5300533,2020,焼肉 WEST,yakiniku_west,
京の焼肉処 弘 三条木屋町店,京都府京都市中京区三条通木屋町上ル上大阪町527,食べログ 焼肉 WEST 百名店 2020,https://tabelog.com/kyoto/A2601/A260202/26000947/,https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E3%81%AE%E7%84%BC%E8%82%89%E5%87%A6%20%E5%BC%98%20%E4%B8%89%E6%9D%A1%E6%9C%A8%E5%B1%8B%E7%94%BA%E5%BA%97%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E4%B8%89%E6%9D%A1%E9%80%9A%E6%9C%A8%E5%B1%8B%E7%94%BA%E4%B8%8A%E3%83%AB%E4%B8%8A%E5%A4%A7%E9%98%AA%E7%94%BA527,35.0097025,135.7709641,2020,焼肉 WEST,yakiniku_west,
はつだ,京都府京都市左京区山端柳ヶ坪町17-3,食べログ 焼肉 WEST 百名店 2020,https://tabelog.com/kyoto/A2601/A260303/26006045/,https://www.google.com/maps/search/?api=1&query=%E3%81%AF%E3%81%A4%E3%81%A0%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E5%B1%B1%E7%AB%AF%E6%9F%B3%E3%83%B6%E5%9D%AA%E7%94%BA17-3,35.0488612,135.7891976,2020,焼肉 WEST,yakiniku_west,
和牛懐石 但馬屋 梅田,大阪府大阪市北区太融寺町8-2,食べログ 焼肉 WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270101/27015353/,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E7%89%9B%E6%87%90%E7%9F%B3%20%E4%BD%86%E9%A6%AC%E5%B1%8B%20%E6%A2%85%E7%94%B0%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A4%AA%E8%9E%8D%E5%AF%BA%E7%94%BA8-2,34.7013304,135.5024722,2020,焼肉 WEST,yakiniku_west,
にくや萬野 お初天神裏参道店,大阪府大阪市北区曽根崎2-10-9,食べログ 焼肉 WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270101/27083854/,https://www.google.com/maps/search/?api=1&query=%E3%81%AB%E3%81%8F%E3%82%84%E8%90%AC%E9%87%8E%20%E3%81%8A%E5%88%9D%E5%A4%A9%E7%A5%9E%E8%A3%8F%E5%8F%82%E9%81%93%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E2-10-9,34.7004734,135.5008946,2020,焼肉 WEST,yakiniku_west,
電撃ホルモン ツギヱ,大阪府大阪市北区天神橋5-6-33,食べログ 焼肉 WEST 百名店 2020,https://tabelog.com/osaka/A2701/A270103/27013294/,https://www.google.com/maps/search/?api=1&query=%E9%9B%BB%E6%92%83%E3%83%9B%E3%83%AB%E3%83%A2%E3%83%B3%20%E3%83%84%E3%82%AE%E3%83%B1%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A4%A9%E7%A5%9E%E6%A9%8B5-6-33,34.7065912,135.5118091,2020,焼肉 WEST,yakiniku_west,
