Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
チャイナルーム,東京都港区六本木6-10-3 六本木ヒルズ　グランド　ハイアット　東京　６Ｆ,食べログ 中国料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1307/A130701/13017089/,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%83%A3%E3%82%A4%E3%83%8A%E3%83%AB%E3%83%BC%E3%83%A0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A86-10-3%20%E5%85%AD%E6%9C%AC%E6%9C%A8%E3%83%92%E3%83%AB%E3%82%BA%E3%80%80%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E3%80%80%E3%83%8F%E3%82%A4%E3%82%A2%E3%83%83%E3%83%88%E3%80%80%E6%9D%B1%E4%BA%AC%E3%80%80%EF%BC%96%EF%BC%A6,2021,中国料理 TOKYO,chinese_tokyo,発表日：2021年4月27日
御膳房 六本木店,東京都港区六本木6-8-15 第2五月ビル 1F,食べログ 中国料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1307/A130701/13001852/,https://www.google.com/maps/search/?api=1&query=%E5%BE%A1%E8%86%B3%E6%88%BF%20%E5%85%AD%E6%9C%AC%E6%9C%A8%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A86-8-15%20%E7%AC%AC2%E4%BA%94%E6%9C%88%E3%83%93%E3%83%AB%201F,2021,中国料理 TOKYO,chinese_tokyo,発表日：2021年4月27日
カントニーズ 燕,東京都千代田区丸の内1-9-1 東京ステーションホテル B1F,食べログ 中国料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1302/A130201/13147494/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%B3%E3%83%88%E3%83%8B%E3%83%BC%E3%82%BA%20%E7%87%95%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E4%B8%B8%E3%81%AE%E5%86%851-9-1%20%E6%9D%B1%E4%BA%AC%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9B%E3%83%86%E3%83%AB%20B1F,2021,中国料理 TOKYO,chinese_tokyo,発表日：2021年4月27日
古月 新宿,東京都新宿区新宿1-5-5 2F,食べログ 中国料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1304/A130402/13030918/,https://www.google.com/maps/search/?api=1&query=%E5%8F%A4%E6%9C%88%20%E6%96%B0%E5%AE%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF1-5-5%202F,2021,中国料理 TOKYO,chinese_tokyo,発表日：2021年4月27日
飄香 麻布十番本店,東京都港区麻布十番1-3-8 Ｆプラザ B1F,食べログ 中国料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1307/A130702/13018802/,https://www.google.com/maps/search/?api=1&query=%E9%A3%84%E9%A6%99%20%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA1-3-8%20%EF%BC%A6%E3%83%97%E3%83%A9%E3%82%B6%20B1F,2021,中国料理 TOKYO,chinese_tokyo,発表日：2021年4月27日
黒猫夜 銀座店,東京都中央区銀座7-8-15 第2新橋会館 8F,食べログ 中国料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1301/A130101/13162692/,https://www.google.com/maps/search/?api=1&query=%E9%BB%92%E7%8C%AB%E5%A4%9C%20%E9%8A%80%E5%BA%A7%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-8-15%20%E7%AC%AC2%E6%96%B0%E6%A9%8B%E4%BC%9A%E9%A4%A8%208F,2021,中国料理 TOKYO,chinese_tokyo,発表日：2021年4月27日
香港麺 新記 三宿本店,東京都世田谷区池尻3-30-10 三旺ビル 2F,食べログ 中国料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1317/A131705/13007076/,https://www.google.com/maps/search/?api=1&query=%E9%A6%99%E6%B8%AF%E9%BA%BA%20%E6%96%B0%E8%A8%98%20%E4%B8%89%E5%AE%BF%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E6%B1%A0%E5%B0%BB3-30-10%20%E4%B8%89%E6%97%BA%E3%83%93%E3%83%AB%202F,2021,中国料理 TOKYO,chinese_tokyo,発表日：2021年4月27日
中華 兆徳,東京都文京区向丘1-10-5,食べログ 中国料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1323/A132301/13051394/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%20%E5%85%86%E5%BE%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E5%90%91%E4%B8%981-10-5,2021,中国料理 TOKYO,chinese_tokyo,発表日：2021年4月27日
蔭山樓,東京都目黒区自由が丘2-8-21,食べログ 中国料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1317/A131703/13093509/,https://www.google.com/maps/search/?api=1&query=%E8%94%AD%E5%B1%B1%E6%A8%93%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E8%87%AA%E7%94%B1%E3%81%8C%E4%B8%982-8-21,2021,中国料理 TOKYO,chinese_tokyo,発表日：2021年4月27日
味芳斎 本店,東京都港区芝大門1-4-13,食べログ 中国料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1314/A131401/13013153/,https://www.google.com/maps/search/?api=1&query=%E5%91%B3%E8%8A%B3%E6%96%8E%20%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%8A%9D%E5%A4%A7%E9%96%801-4-13,2021,中国料理 TOKYO,chinese_tokyo,発表日：2021年4月27日
