Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
双龍居 池田町本店,大阪府大阪市北区池田町10-11 辰巳ビル 1F,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270103/27004401/,https://www.google.com/maps/search/?api=1&query=%E5%8F%8C%E9%BE%8D%E5%B1%85%20%E6%B1%A0%E7%94%B0%E7%94%BA%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%B1%A0%E7%94%B0%E7%94%BA10-11%20%E8%BE%B0%E5%B7%B3%E3%83%93%E3%83%AB%201F,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
二位,兵庫県神戸市中央区北長狭通3-2-9 ジョイビル 1F,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/hyogo/A2801/A280102/28044015/,https://www.google.com/maps/search/?api=1&query=%E4%BA%8C%E4%BD%8D%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%97%E9%95%B7%E7%8B%AD%E9%80%9A3-2-9%20%E3%82%B8%E3%83%A7%E3%82%A4%E3%83%93%E3%83%AB%201F,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
中国菜 火ノ鳥,大阪府大阪市中央区伏見町2-4-9,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270102/27085978/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E8%8F%9C%20%E7%81%AB%E3%83%8E%E9%B3%A5%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%BC%8F%E8%A6%8B%E7%94%BA2-4-9,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
民生 廣東料理店,兵庫県神戸市中央区元町通1-3-4,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/hyogo/A2801/A280102/28000923/,https://www.google.com/maps/search/?api=1&query=%E6%B0%91%E7%94%9F%20%E5%BB%A3%E6%9D%B1%E6%96%99%E7%90%86%E5%BA%97%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%85%83%E7%94%BA%E9%80%9A1-3-4,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
中国料理 翆陽,徳島県鳴門市北灘町折野字上三津167-3 エクシブ鳴門　２Ｆ,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/tokushima/A3601/A360102/36000726/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20%E7%BF%86%E9%99%BD%20%E5%BE%B3%E5%B3%B6%E7%9C%8C%E9%B3%B4%E9%96%80%E5%B8%82%E5%8C%97%E7%81%98%E7%94%BA%E6%8A%98%E9%87%8E%E5%AD%97%E4%B8%8A%E4%B8%89%E6%B4%A5167-3%20%E3%82%A8%E3%82%AF%E3%82%B7%E3%83%96%E9%B3%B4%E9%96%80%E3%80%80%EF%BC%92%EF%BC%A6,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
康楽,長崎県長崎市本石灰町2-18,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/nagasaki/A4201/A420101/42000429/,https://www.google.com/maps/search/?api=1&query=%E5%BA%B7%E6%A5%BD%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%9C%AC%E7%9F%B3%E7%81%B0%E7%94%BA2-18,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
みその橋サカイ,京都府京都市北区大宮東総門口町38-3,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/kyoto/A2601/A260503/26000396/,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%81%9D%E3%81%AE%E6%A9%8B%E3%82%B5%E3%82%AB%E3%82%A4%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A4%A7%E5%AE%AE%E6%9D%B1%E7%B7%8F%E9%96%80%E5%8F%A3%E7%94%BA38-3,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
中国菜 香味,大阪府大阪市北区西天満3-6-15,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270103/27018257/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E8%8F%9C%20%E9%A6%99%E5%91%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%A5%BF%E5%A4%A9%E6%BA%803-6-15,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
中国料理 Kirin,兵庫県神戸市東灘区本庄町3-6-12,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/hyogo/A2801/A280105/28000870/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20Kirin%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E6%9D%B1%E7%81%98%E5%8C%BA%E6%9C%AC%E5%BA%84%E7%94%BA3-6-12,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
創作中華　縁,大阪府大阪市中央区東心斎橋1-18-2 山本ビル　Ｂ１Ｆ,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270201/27001838/,https://www.google.com/maps/search/?api=1&query=%E5%89%B5%E4%BD%9C%E4%B8%AD%E8%8F%AF%E3%80%80%E7%B8%81%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9D%B1%E5%BF%83%E6%96%8E%E6%A9%8B1-18-2%20%E5%B1%B1%E6%9C%AC%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
オーパス ワン,大阪府大阪市中央区高津3-3-29 プレステージ高津　１Ｆ,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270202/27000369/,https://www.google.com/maps/search/?api=1&query=%E3%82%AA%E3%83%BC%E3%83%91%E3%82%B9%20%E3%83%AF%E3%83%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%AB%98%E6%B4%A53-3-29%20%E3%83%97%E3%83%AC%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B8%E9%AB%98%E6%B4%A5%E3%80%80%EF%BC%91%EF%BC%A6,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
美齢,京都府京都市上京区黒門通元誓願寺上ル寺今町511,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/kyoto/A2601/A260202/26005466/,https://www.google.com/maps/search/?api=1&query=%E7%BE%8E%E9%BD%A2%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8A%E4%BA%AC%E5%8C%BA%E9%BB%92%E9%96%80%E9%80%9A%E5%85%83%E8%AA%93%E9%A1%98%E5%AF%BA%E4%B8%8A%E3%83%AB%E5%AF%BA%E4%BB%8A%E7%94%BA511,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
