Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
銀座 天龍 本店,東京都中央区銀座2-5-19 ヒューリック銀座二丁目柳通ビル 4F,食べログ 餃子 百名店 2021,https://tabelog.com/tokyo/A1301/A130101/13193356/,https://tabelog.com/tokyo/A1301/A130101/13193356/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%20%E5%A4%A9%E9%BE%8D%20%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A72-5-19%20%E3%83%92%E3%83%A5%E3%83%BC%E3%83%AA%E3%83%83%E3%82%AF%E9%8A%80%E5%BA%A7%E4%BA%8C%E4%B8%81%E7%9B%AE%E6%9F%B3%E9%80%9A%E3%83%93%E3%83%AB%204F,35.6741492,139.7669636,2021,餃子,gyoza,発表日：2021年9月8日
鉄なべ 中洲本店,福岡県福岡市中央区西中洲1-5,食べログ 餃子 百名店 2021,https://tabelog.com/fukuoka/A4001/A400103/40000910/,https://tabelog.com/fukuoka/A4001/A400103/40000910/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%89%84%E3%81%AA%E3%81%B9%20%E4%B8%AD%E6%B4%B2%E6%9C%AC%E5%BA%97%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%A5%BF%E4%B8%AD%E6%B4%B21-5,33.5904648,130.4063950,2021,餃子,gyoza,発表日：2021年9月8日
大陸,東京都新宿区歌舞伎町1-6-3 石塚ビル 4F,食べログ 餃子 百名店 2021,https://tabelog.com/tokyo/A1304/A130401/13000118/,,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%99%B8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-6-3%20%E7%9F%B3%E5%A1%9A%E3%83%93%E3%83%AB%204F,35.6936533,139.7024689,2021,餃子,gyoza,発表日：2021年9月8日
ぎょうざの店 ひょうたん 元町店,兵庫県神戸市中央区元町通1-11-15,食べログ 餃子 百名店 2021,https://tabelog.com/hyogo/A2801/A280102/28000494/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8E%E3%82%87%E3%81%86%E3%81%96%E3%81%AE%E5%BA%97%20%E3%81%B2%E3%82%87%E3%81%86%E3%81%9F%E3%82%93%20%E5%85%83%E7%94%BA%E5%BA%97%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%85%83%E7%94%BA%E9%80%9A1-11-15,34.6897935,135.1889297,2021,餃子,gyoza,発表日：2021年9月8日
中華料理 餃子の店 三幸園 白山通り店,東京都千代田区神田神保町1-13,食べログ 餃子 百名店 2021,https://tabelog.com/tokyo/A1310/A131003/13006530/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E6%96%99%E7%90%86%20%E9%A4%83%E5%AD%90%E3%81%AE%E5%BA%97%20%E4%B8%89%E5%B9%B8%E5%9C%92%20%E7%99%BD%E5%B1%B1%E9%80%9A%E3%82%8A%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E7%A5%9E%E4%BF%9D%E7%94%BA1-13,35.6951086,139.7584720,2021,餃子,gyoza,発表日：2021年9月8日
ぎょうざ 湖月,大分県別府市北浜1-9-4,食べログ 餃子 百名店 2021,https://tabelog.com/oita/A4402/A440202/44000056/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8E%E3%82%87%E3%81%86%E3%81%96%20%E6%B9%96%E6%9C%88%20%E5%A4%A7%E5%88%86%E7%9C%8C%E5%88%A5%E5%BA%9C%E5%B8%82%E5%8C%97%E6%B5%9C1-9-4,33.2790629,131.5046413,2021,餃子,gyoza,発表日：2021年9月8日
ぎょうざ処 高辻 亮昌 本店,京都府京都市下京区堀之内町263 １Ｆ,食べログ 餃子 百名店 2021,https://tabelog.com/kyoto/A2601/A260201/26017170/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8E%E3%82%87%E3%81%86%E3%81%96%E5%87%A6%20%E9%AB%98%E8%BE%BB%20%E4%BA%AE%E6%98%8C%20%E6%9C%AC%E5%BA%97%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8B%E4%BA%AC%E5%8C%BA%E5%A0%80%E4%B9%8B%E5%86%85%E7%94%BA263%20%EF%BC%91%EF%BC%A6,35.0001713,135.7554702,2021,餃子,gyoza,発表日：2021年9月8日
中華珍満,東京都台東区上野3-28-10,食べログ 餃子 百名店 2021,https://tabelog.com/tokyo/A1311/A131101/13016725/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E7%8F%8D%E6%BA%80%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E4%B8%8A%E9%87%8E3-28-10,35.7076468,139.7740775,2021,餃子,gyoza,発表日：2021年9月8日
むつ菊,静岡県浜松市中央区助信町41-27,食べログ 餃子 百名店 2021,https://tabelog.com/shizuoka/A2202/A220201/22003100/,,https://www.google.com/maps/search/?api=1&query=%E3%82%80%E3%81%A4%E8%8F%8A%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8A%A9%E4%BF%A1%E7%94%BA41-27,34.7239158,137.7366767,2021,餃子,gyoza,発表日：2021年9月8日
金春 本館,東京都大田区蒲田4-5-6 プロスペリアルビル　１・２Ｆ,食べログ 餃子 百名店 2021,https://tabelog.com/tokyo/A1315/A131503/13008262/,,https://www.google.com/maps/search/?api=1&query=%E9%87%91%E6%98%A5%20%E6%9C%AC%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A4%A7%E7%94%B0%E5%8C%BA%E8%92%B2%E7%94%B04-5-6%20%E3%83%97%E3%83%AD%E3%82%B9%E3%83%9A%E3%83%AA%E3%82%A2%E3%83%AB%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%E3%83%BB%EF%BC%92%EF%BC%A6,35.5614882,139.7226519,2021,餃子,gyoza,発表日：2021年9月8日
