Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
IL CASINO,熊本県熊本市中央区手取本町3-7,食べログ イタリアン WEST 百名店 2021,https://tabelog.com/kumamoto/A4301/A430101/43011842/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=IL%20CASINO%20%E7%86%8A%E6%9C%AC%E7%9C%8C%E7%86%8A%E6%9C%AC%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%89%8B%E5%8F%96%E6%9C%AC%E7%94%BA3-7,32.8031236,130.7087247,2021,イタリアン WEST,italian_west,発表日：2021年3月8日
ヴィラ・アイーダ,和歌山県岩出市川尻71-5,食べログ イタリアン WEST 百名店 2021,https://tabelog.com/wakayama/A3001/A300102/30000104/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%B4%E3%82%A3%E3%83%A9%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%BC%E3%83%80%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E7%9C%8C%E5%B2%A9%E5%87%BA%E5%B8%82%E5%B7%9D%E5%B0%BB71-5,34.2671871,135.3093448,2021,イタリアン WEST,italian_west,発表日：2021年3月8日
Cucina Italiana 東洞,京都府京都市中京区東洞院通竹屋町下ル三本木五丁目496-3,食べログ イタリアン WEST 百名店 2021,https://tabelog.com/kyoto/A2601/A260202/26007432/,https://tabelog.com/kyoto/A2601/A260202/26007432/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=Cucina%20Italiana%20%E6%9D%B1%E6%B4%9E%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E6%9D%B1%E6%B4%9E%E9%99%A2%E9%80%9A%E7%AB%B9%E5%B1%8B%E7%94%BA%E4%B8%8B%E3%83%AB%E4%B8%89%E6%9C%AC%E6%9C%A8%E4%BA%94%E4%B8%81%E7%9B%AE496-3,35.0151584,135.7609046,2021,イタリアン WEST,italian_west,発表日：2021年3月8日
T.N,兵庫県神戸市中央区山本通5-4-12 ヒルビューマンション 1F,食べログ イタリアン WEST 百名店 2021,https://tabelog.com/hyogo/A2801/A280102/28042894/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=T.N%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%B1%B1%E6%9C%AC%E9%80%9A5-4-12%20%E3%83%92%E3%83%AB%E3%83%93%E3%83%A5%E3%83%BC%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%201F,34.6930022,135.1803973,2021,イタリアン WEST,italian_west,発表日：2021年3月8日
villa del nido,長崎県雲仙市国見町多比良甲313-2,食べログ イタリアン WEST 百名店 2021,https://tabelog.com/nagasaki/A4203/A420301/42009254/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=villa%20del%20nido%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%9B%B2%E4%BB%99%E5%B8%82%E5%9B%BD%E8%A6%8B%E7%94%BA%E5%A4%9A%E6%AF%94%E8%89%AF%E7%94%B2313-2,32.8659680,130.3116119,2021,イタリアン WEST,italian_west,発表日：2021年3月8日
サーラ ビアンキ アル・ケッチァーノ,三重県三重郡菰野町菰野4800-1,食べログ イタリアン WEST 百名店 2021,https://tabelog.com/mie/A2402/A240203/24011543/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%BC%E3%83%A9%20%E3%83%93%E3%82%A2%E3%83%B3%E3%82%AD%20%E3%82%A2%E3%83%AB%E3%83%BB%E3%82%B1%E3%83%83%E3%83%81%E3%82%A1%E3%83%BC%E3%83%8E%20%E4%B8%89%E9%87%8D%E7%9C%8C%E4%B8%89%E9%87%8D%E9%83%A1%E8%8F%B0%E9%87%8E%E7%94%BA%E8%8F%B0%E9%87%8E4800-1,35.0126989,136.4815011,2021,イタリアン WEST,italian_west,発表日：2021年3月8日
asse+ plus,大阪府大阪市西区江戸堀1-22-2,食べログ イタリアン WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270102/27010938/,https://tabelog.com/osaka/A2701/A270102/27010938/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=asse%2B%20plus%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E6%B1%9F%E6%88%B8%E5%A0%801-22-2,34.6893408,135.4943223,2021,イタリアン WEST,italian_west,発表日：2021年3月8日
RIGOLETTO SMOKE GRILL & BAR,京都府京都市東山区祇園町南側570-192,食べログ イタリアン WEST 百名店 2021,https://tabelog.com/kyoto/A2601/A260301/26024464/,https://tabelog.com/kyoto/A2601/A260301/26024464/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=RIGOLETTO%20SMOKE%20GRILL%20%26%20BAR%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E7%A5%87%E5%9C%92%E7%94%BA%E5%8D%97%E5%81%B4570-192,35.0024367,135.7761667,2021,イタリアン WEST,italian_west,発表日：2021年3月8日
島之内フジマル醸造所,大阪府大阪市中央区島之内1-1-14 三和ビル 1F,食べログ イタリアン WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270204/27071950/,https://tabelog.com/osaka/A2701/A270204/27071950/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%B3%B6%E4%B9%8B%E5%86%85%E3%83%95%E3%82%B8%E3%83%9E%E3%83%AB%E9%86%B8%E9%80%A0%E6%89%80%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%B3%B6%E4%B9%8B%E5%86%851-1-14%20%E4%B8%89%E5%92%8C%E3%83%93%E3%83%AB%201F,34.6746243,135.5106521,2021,イタリアン WEST,italian_west,発表日：2021年3月8日
サンタ・マリア・ノヴェッラ・ティサネリーア 京都店,京都府京都市中京区東洞院通錦小路下ル阪東屋町675,食べログ イタリアン WEST 百名店 2021,https://tabelog.com/kyoto/A2601/A260201/26002013/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%B3%E3%82%BF%E3%83%BB%E3%83%9E%E3%83%AA%E3%82%A2%E3%83%BB%E3%83%8E%E3%83%B4%E3%82%A7%E3%83%83%E3%83%A9%E3%83%BB%E3%83%86%E3%82%A3%E3%82%B5%E3%83%8D%E3%83%AA%E3%83%BC%E3%82%A2%20%E4%BA%AC%E9%83%BD%E5%BA%97%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E6%9D%B1%E6%B4%9E%E9%99%A2%E9%80%9A%E9%8C%A6%E5%B0%8F%E8%B7%AF%E4%B8%8B%E3%83%AB%E9%98%AA%E6%9D%B1%E5%B1%8B%E7%94%BA675,35.0039696,135.7609898,2021,イタリアン WEST,italian_west,発表日：2021年3月8日
