Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
鯛めし楼,愛知県名古屋市中区錦2-18-32,食べログ 日本料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230102/23000161/,,https://www.google.com/maps/search/?api=1&query=%E9%AF%9B%E3%82%81%E3%81%97%E6%A5%BC%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E9%8C%A62-18-32,35.1689830,136.8987612,2021,日本料理 EAST,japanese_east,発表日：2021年4月1日
こなす,愛知県刈谷市桜町2-30,食べログ 日本料理 EAST 百名店 2021,https://tabelog.com/aichi/A2305/A230503/23006901/,https://tabelog.com/aichi/A2305/A230503/23006901/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%93%E3%81%AA%E3%81%99%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%88%88%E8%B0%B7%E5%B8%82%E6%A1%9C%E7%94%BA2-30,34.9928687,137.0079501,2021,日本料理 EAST,japanese_east,発表日：2021年4月1日
懐韻,愛知県名古屋市西区那古野1-2-11,食べログ 日本料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230102/23053453/,,https://www.google.com/maps/search/?api=1&query=%E6%87%90%E9%9F%BB%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E8%A5%BF%E5%8C%BA%E9%82%A3%E5%8F%A4%E9%87%8E1-2-11,35.1765844,136.8926689,2021,日本料理 EAST,japanese_east,発表日：2021年4月1日
幻董庵,神奈川県鎌倉市山ノ内823,食べログ 日本料理 EAST 百名店 2021,https://tabelog.com/kanagawa/A1404/A140401/14010528/,,https://www.google.com/maps/search/?api=1&query=%E5%B9%BB%E8%91%A3%E5%BA%B5%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E5%B1%B1%E3%83%8E%E5%86%85823,35.3393333,139.5400021,2021,日本料理 EAST,japanese_east,発表日：2021年4月1日
名古屋 浅田,愛知県名古屋市中村区名駅1-1-4 JRセントラルタワーズ・タワーズプラザ 12F,食べログ 日本料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230101/23003542/,,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%20%E6%B5%85%E7%94%B0%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%851-1-4%20JR%E3%82%BB%E3%83%B3%E3%83%88%E3%83%A9%E3%83%AB%E3%82%BF%E3%83%AF%E3%83%BC%E3%82%BA%E3%83%BB%E3%82%BF%E3%83%AF%E3%83%BC%E3%82%BA%E3%83%97%E3%83%A9%E3%82%B6%2012F,35.1712829,136.8824862,2021,日本料理 EAST,japanese_east,発表日：2021年4月1日
割烹　中むら,千葉県勝浦市勝浦141-3,食べログ 日本料理 EAST 百名店 2021,https://tabelog.com/chiba/A1207/A120701/12007348/,,https://www.google.com/maps/search/?api=1&query=%E5%89%B2%E7%83%B9%E3%80%80%E4%B8%AD%E3%82%80%E3%82%89%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%8B%9D%E6%B5%A6%E5%B8%82%E5%8B%9D%E6%B5%A6141-3,35.1478689,140.3139795,2021,日本料理 EAST,japanese_east,発表日：2021年4月1日
温石,静岡県焼津市本町6-14-12,食べログ 日本料理 EAST 百名店 2021,https://tabelog.com/shizuoka/A2203/A220301/22006811/,,https://www.google.com/maps/search/?api=1&query=%E6%B8%A9%E7%9F%B3%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E7%84%BC%E6%B4%A5%E5%B8%82%E6%9C%AC%E7%94%BA6-14-12,34.8603596,138.3221659,2021,日本料理 EAST,japanese_east,発表日：2021年4月1日
一平,神奈川県鎌倉市由比ガ浜1-3-7,食べログ 日本料理 EAST 百名店 2021,https://tabelog.com/kanagawa/A1404/A140402/14050450/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E5%B9%B3%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E7%94%B1%E6%AF%94%E3%82%AC%E6%B5%9C1-3-7,35.3155056,139.5467666,2021,日本料理 EAST,japanese_east,発表日：2021年4月1日
柳家,岐阜県瑞浪市陶町猿爪573-27,食べログ 日本料理 EAST 百名店 2021,https://tabelog.com/gifu/A2103/A210301/21000023/,,https://www.google.com/maps/search/?api=1&query=%E6%9F%B3%E5%AE%B6%20%E5%B2%90%E9%98%9C%E7%9C%8C%E7%91%9E%E6%B5%AA%E5%B8%82%E9%99%B6%E7%94%BA%E7%8C%BF%E7%88%AA573-27,35.3180155,137.3345117,2021,日本料理 EAST,japanese_east,発表日：2021年4月1日
割烹 しらこ,神奈川県足柄下郡湯河原町土肥1-5-15,食べログ 日本料理 EAST 百名店 2021,https://tabelog.com/kanagawa/A1410/A141002/14003420/,,https://www.google.com/maps/search/?api=1&query=%E5%89%B2%E7%83%B9%20%E3%81%97%E3%82%89%E3%81%93%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E6%B9%AF%E6%B2%B3%E5%8E%9F%E7%94%BA%E5%9C%9F%E8%82%A51-5-15,35.1459257,139.1049526,2021,日本料理 EAST,japanese_east,発表日：2021年4月1日
