Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
青華こばやし,東京都新宿区荒木町10-17 101,食べログ 日本料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1309/A130903/13193077/,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E8%8F%AF%E3%81%93%E3%81%B0%E3%82%84%E3%81%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%8D%92%E6%9C%A8%E7%94%BA10-17%20101,35.6902733,139.7223679,2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日
うかい鳥山,東京都八王子市南浅川町3426,食べログ 日本料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1329/A132905/13006021/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%8B%E3%81%84%E9%B3%A5%E5%B1%B1%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B8%82%E5%8D%97%E6%B5%85%E5%B7%9D%E7%94%BA3426,35.6159756,139.2572619,2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日
赤坂おぎ乃,東京都港区赤坂6-3-13,食べログ 日本料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1308/A130801/13245499/,https://www.google.com/maps/search/?api=1&query=%E8%B5%A4%E5%9D%82%E3%81%8A%E3%81%8E%E4%B9%83%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%826-3-13,35.6708981,139.7352901,2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日
和食 こんどう,東京都新宿区荒木町8 ネモトビル 1F,食べログ 日本料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1309/A130903/13150477/,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E9%A3%9F%20%E3%81%93%E3%82%93%E3%81%A9%E3%81%86%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%8D%92%E6%9C%A8%E7%94%BA8%20%E3%83%8D%E3%83%A2%E3%83%88%E3%83%93%E3%83%AB%201F,35.6895513,139.7218482,2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日
ひのきざか,東京都港区赤坂9-7-1 ザ・リッツ・カールトン東京 45F,食べログ 日本料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1307/A130701/13037993/,https://www.google.com/maps/search/?api=1&query=%E3%81%B2%E3%81%AE%E3%81%8D%E3%81%96%E3%81%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%829-7-1%20%E3%82%B6%E3%83%BB%E3%83%AA%E3%83%83%E3%83%84%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AB%E3%83%88%E3%83%B3%E6%9D%B1%E4%BA%AC%2045F,35.6663025,139.7312874,2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日
津の守坂 小柴,東京都新宿区荒木町15 サンシャトー四谷203,食べログ 日本料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1309/A130903/13200286/,https://www.google.com/maps/search/?api=1&query=%E6%B4%A5%E3%81%AE%E5%AE%88%E5%9D%82%20%E5%B0%8F%E6%9F%B4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%8D%92%E6%9C%A8%E7%94%BA15%20%E3%82%B5%E3%83%B3%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%E5%9B%9B%E8%B0%B7203,35.6910555,139.7246783,2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日
寿修,東京都港区西麻布2-16-1 斎田ビル1階,食べログ 日本料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1306/A130602/13119927/,https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E4%BF%AE%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E9%BA%BB%E5%B8%832-16-1%20%E6%96%8E%E7%94%B0%E3%83%93%E3%83%AB1%E9%9A%8E,35.6618658,139.7203236,2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日
志づ香,東京都江東区門前仲町1-4-10 スウィングビル　１Ｆ,食べログ 日本料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1313/A131303/13003006/,https://www.google.com/maps/search/?api=1&query=%E5%BF%97%E3%81%A5%E9%A6%99%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E9%96%80%E5%89%8D%E4%BB%B2%E7%94%BA1-4-10%20%E3%82%B9%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.6722548,139.7941984,2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日
銀座 とよだ,東京都中央区銀座7-5-4 ラヴィアーレ銀座ビル 2Ｆ,食べログ 日本料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1301/A130101/13009543/,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%20%E3%81%A8%E3%82%88%E3%81%A0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-5-4%20%E3%83%A9%E3%83%B4%E3%82%A3%E3%82%A2%E3%83%BC%E3%83%AC%E9%8A%80%E5%BA%A7%E3%83%93%E3%83%AB%202%EF%BC%A6,35.6701323,139.7616344,2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日
山さき,東京都新宿区神楽坂4-2 福井ビル 201,食べログ 日本料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1309/A130905/13000458/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E3%81%95%E3%81%8D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%A5%9E%E6%A5%BD%E5%9D%824-2%20%E7%A6%8F%E4%BA%95%E3%83%93%E3%83%AB%20201,35.7018517,139.7396959,2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日
鈴なり,東京都新宿区荒木町7番地 清和荘　１Ｆ,食べログ 日本料理 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1309/A130903/13023513/,https://www.google.com/maps/search/?api=1&query=%E9%88%B4%E3%81%AA%E3%82%8A%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%8D%92%E6%9C%A8%E7%94%BA7%E7%95%AA%E5%9C%B0%20%E6%B8%85%E5%92%8C%E8%8D%98%E3%80%80%EF%BC%91%EF%BC%A6,35.6895709,139.7221043,2021,日本料理 TOKYO,japanese_tokyo,発表日：2021年4月1日
