Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ゼー六 本町店,大阪府大阪市中央区本町1-3-22,食べログ 喫茶店 百名店 2021,https://tabelog.com/osaka/A2701/A270106/27001820/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%BC%E3%83%BC%E5%85%AD%20%E6%9C%AC%E7%94%BA%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9C%AC%E7%94%BA1-3-22,34.6833904,135.5092894,2021,喫茶店,kissaten,発表日：2021年6月29日
アンセーニュダングル 原宿店,東京都渋谷区千駄ヶ谷3-61-11 第二駒信ビル B1F,食べログ 喫茶店 百名店 2021,https://tabelog.com/tokyo/A1306/A130601/13007015/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%B3%E3%82%BB%E3%83%BC%E3%83%8B%E3%83%A5%E3%83%80%E3%83%B3%E3%82%B0%E3%83%AB%20%E5%8E%9F%E5%AE%BF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E5%8D%83%E9%A7%84%E3%83%B6%E8%B0%B73-61-11%20%E7%AC%AC%E4%BA%8C%E9%A7%92%E4%BF%A1%E3%83%93%E3%83%AB%20B1F,35.6737123,139.7040949,2021,喫茶店,kissaten,発表日：2021年6月29日
DEN,東京都台東区根岸3-3-18 メゾン根岸（鶯谷） １Ｆ,食べログ 喫茶店 百名店 2021,https://tabelog.com/tokyo/A1311/A131104/13041212/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=DEN%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E6%A0%B9%E5%B2%B83-3-18%20%E3%83%A1%E3%82%BE%E3%83%B3%E6%A0%B9%E5%B2%B8%EF%BC%88%E9%B6%AF%E8%B0%B7%EF%BC%89%20%EF%BC%91%EF%BC%A6,35.7221752,139.7814721,2021,喫茶店,kissaten,発表日：2021年6月29日
ツェーンコーヒー,東京都台東区上野1-14-2,食べログ 喫茶店 百名店 2021,https://tabelog.com/tokyo/A1311/A131101/13043953/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%84%E3%82%A7%E3%83%BC%E3%83%B3%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E4%B8%8A%E9%87%8E1-14-2,35.7066202,139.7701075,2021,喫茶店,kissaten,発表日：2021年6月29日
ホシヤマ珈琲店 本店,宮城県仙台市青葉区一番町4-9-1 かき徳玉澤ビル　３Ｆ,食べログ 喫茶店 百名店 2021,https://tabelog.com/miyagi/A0401/A040101/4000051/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%82%B7%E3%83%A4%E3%83%9E%E7%8F%88%E7%90%B2%E5%BA%97%20%E6%9C%AC%E5%BA%97%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E4%B8%80%E7%95%AA%E7%94%BA4-9-1%20%E3%81%8B%E3%81%8D%E5%BE%B3%E7%8E%89%E6%BE%A4%E3%83%93%E3%83%AB%E3%80%80%EF%BC%93%EF%BC%A6,38.2647934,140.8704515,2021,喫茶店,kissaten,発表日：2021年6月29日
リザルブ珈琲店,大阪府高槻市芥川町3-19-3,食べログ 喫茶店 百名店 2021,https://tabelog.com/osaka/A2706/A270604/27046966/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%AA%E3%82%B6%E3%83%AB%E3%83%96%E7%8F%88%E7%90%B2%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E9%AB%98%E6%A7%BB%E5%B8%82%E8%8A%A5%E5%B7%9D%E7%94%BA3-19-3,34.8519307,135.6111378,2021,喫茶店,kissaten,発表日：2021年6月29日
アラビヤコーヒー,大阪府大阪市中央区難波1-6-7,食べログ 喫茶店 百名店 2021,https://tabelog.com/osaka/A2701/A270202/27001511/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%A9%E3%83%93%E3%83%A4%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%9B%A3%E6%B3%A21-6-7,34.6679200,135.5018727,2021,喫茶店,kissaten,発表日：2021年6月29日
ワンモア,東京都江戸川区平井5-22-11,食べログ 喫茶店 百名店 2021,https://tabelog.com/tokyo/A1312/A131202/13002937/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%AF%E3%83%B3%E3%83%A2%E3%82%A2%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA%E5%B9%B3%E4%BA%955-22-11,35.7077840,139.8426635,2021,喫茶店,kissaten,発表日：2021年6月29日
珈琲貴族エジンバラ,東京都新宿区新宿3-2-4 新宿M&Eスクエアビル 2F,食べログ 喫茶店 百名店 2021,https://tabelog.com/tokyo/A1304/A130401/13017217/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E7%8F%88%E7%90%B2%E8%B2%B4%E6%97%8F%E3%82%A8%E3%82%B8%E3%83%B3%E3%83%90%E3%83%A9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF3-2-4%20%E6%96%B0%E5%AE%BFM%26E%E3%82%B9%E3%82%AF%E3%82%A8%E3%82%A2%E3%83%93%E3%83%AB%202F,35.6905100,139.7062972,2021,喫茶店,kissaten,発表日：2021年6月29日
みやざわ,東京都中央区銀座8-5-25 西銀座会館　１Ｆ,食べログ 喫茶店 百名店 2021,https://tabelog.com/tokyo/A1301/A130103/13024142/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%82%84%E3%81%96%E3%82%8F%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-5-25%20%E8%A5%BF%E9%8A%80%E5%BA%A7%E4%BC%9A%E9%A4%A8%E3%80%80%EF%BC%91%EF%BC%A6,35.6692369,139.7604887,2021,喫茶店,kissaten,発表日：2021年6月29日
