Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
よし佳,埼玉県さいたま市浦和区東仲町28-23,食べログ 寿司 EAST 百名店 2021,https://tabelog.com/saitama/A1101/A110102/11000007/,https://www.google.com/maps/search/?api=1&query=%E3%82%88%E3%81%97%E4%BD%B3%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E6%9D%B1%E4%BB%B2%E7%94%BA28-23,35.8598412,139.6599147,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
田久鮓,北海道札幌市中央区南三条西3-3 G DINING SAPPORO 6F,食べログ 寿司 EAST 百名店 2021,https://tabelog.com/hokkaido/A0101/A010102/1030580/,https://www.google.com/maps/search/?api=1&query=%E7%94%B0%E4%B9%85%E9%AE%93%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E4%B8%89%E6%9D%A1%E8%A5%BF3-3%20G%20DINING%20SAPPORO%206F,43.0567541,141.3543144,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
和さび,神奈川県鎌倉市浄明寺2-2-1,食べログ 寿司 EAST 百名店 2021,https://tabelog.com/kanagawa/A1404/A140402/14001669/,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E3%81%95%E3%81%B3%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%8E%8C%E5%80%89%E5%B8%82%E6%B5%84%E6%98%8E%E5%AF%BA2-2-1,35.3213111,139.5684883,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
鮨 江なみ,宮城県仙台市青葉区国分町1丁目3-21 エビスヤパークサイド　1Ｆ,食べログ 寿司 EAST 百名店 2021,https://tabelog.com/miyagi/A0401/A040101/4002402/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E6%B1%9F%E3%81%AA%E3%81%BF%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E5%9B%BD%E5%88%86%E7%94%BA1%E4%B8%81%E7%9B%AE3-21%20%E3%82%A8%E3%83%93%E3%82%B9%E3%83%A4%E3%83%91%E3%83%BC%E3%82%AF%E3%82%B5%E3%82%A4%E3%83%89%E3%80%801%EF%BC%A6,38.2609001,140.8692292,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
すし処　ひょうたん,北海道札幌市中央区南7西4 五條DEUXビル1F,食べログ 寿司 EAST 百名店 2021,https://tabelog.com/hokkaido/A0101/A010103/1013304/,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%81%97%E5%87%A6%E3%80%80%E3%81%B2%E3%82%87%E3%81%86%E3%81%9F%E3%82%93%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%977%E8%A5%BF4%20%E4%BA%94%E6%A2%9DDEUX%E3%83%93%E3%83%AB1F,43.0521448,141.3532450,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
小判寿司,宮城県仙台市青葉区一番町2-3-41 文化横丁,食べログ 寿司 EAST 百名店 2021,https://tabelog.com/miyagi/A0401/A040101/4000197/,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%88%A4%E5%AF%BF%E5%8F%B8%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E4%B8%80%E7%95%AA%E7%94%BA2-3-41%20%E6%96%87%E5%8C%96%E6%A8%AA%E4%B8%81,38.2591576,140.8734866,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
兄弟寿し,新潟県新潟市中央区古町通9番町1461-1 坂上ビル 1F,食べログ 寿司 EAST 百名店 2021,https://tabelog.com/niigata/A1501/A150101/15000215/,https://www.google.com/maps/search/?api=1&query=%E5%85%84%E5%BC%9F%E5%AF%BF%E3%81%97%20%E6%96%B0%E6%BD%9F%E7%9C%8C%E6%96%B0%E6%BD%9F%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8F%A4%E7%94%BA%E9%80%9A9%E7%95%AA%E7%94%BA1461-1%20%E5%9D%82%E4%B8%8A%E3%83%93%E3%83%AB%201F,37.9255609,139.0458819,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
寿司栄,千葉県千葉市中央区道場北2-3-8,食べログ 寿司 EAST 百名店 2021,https://tabelog.com/chiba/A1201/A120101/12019424/,https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E5%8F%B8%E6%A0%84%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%81%93%E5%A0%B4%E5%8C%972-3-8,35.6159124,140.1305701,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
築地 男前鮓,愛知県名古屋市中村区名駅3-28-12 大名古屋ビルヂング B1F,食べログ 寿司 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230101/23067631/,https://www.google.com/maps/search/?api=1&query=%E7%AF%89%E5%9C%B0%20%E7%94%B7%E5%89%8D%E9%AE%93%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%853-28-12%20%E5%A4%A7%E5%90%8D%E5%8F%A4%E5%B1%8B%E3%83%93%E3%83%AB%E3%83%82%E3%83%B3%E3%82%B0%20B1F,35.1721930,136.8848688,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
天史朗鮨,神奈川県小田原市城山1-6-80,食べログ 寿司 EAST 百名店 2021,https://tabelog.com/kanagawa/A1409/A140901/14001483/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E5%8F%B2%E6%9C%97%E9%AE%A8%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B0%8F%E7%94%B0%E5%8E%9F%E5%B8%82%E5%9F%8E%E5%B1%B11-6-80,35.2565876,139.1537324,2021,寿司 EAST,sushi_east,発表日：2021年6月3日
