Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
すし うえだ,兵庫県神戸市中央区中山手通3-2-1 トア山手ザ神戸タワー112,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/hyogo/A2801/A280102/28053397/,,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%81%97%20%E3%81%86%E3%81%88%E3%81%A0%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%AD%E5%B1%B1%E6%89%8B%E9%80%9A3-2-1%20%E3%83%88%E3%82%A2%E5%B1%B1%E6%89%8B%E3%82%B6%E7%A5%9E%E6%88%B8%E3%82%BF%E3%83%AF%E3%83%BC112,34.6934528,135.1875671,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
寿司 赤酢,大阪府大阪市北区堂島1-3-4 谷安ビル B1F,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270101/27114022/,https://tabelog.com/osaka/A2701/A270101/27114022/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E5%8F%B8%20%E8%B5%A4%E9%85%A2%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A0%82%E5%B3%B61-3-4%20%E8%B0%B7%E5%AE%89%E3%83%93%E3%83%AB%20B1F,34.6964082,135.4981922,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
もりもり寿し 近江町店,石川県金沢市青草町88 近江町いちば館 1F,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/ishikawa/A1701/A170101/17000911/,,https://www.google.com/maps/search/?api=1&query=%E3%82%82%E3%82%8A%E3%82%82%E3%82%8A%E5%AF%BF%E3%81%97%20%E8%BF%91%E6%B1%9F%E7%94%BA%E5%BA%97%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%E9%9D%92%E8%8D%89%E7%94%BA88%20%E8%BF%91%E6%B1%9F%E7%94%BA%E3%81%84%E3%81%A1%E3%81%B0%E9%A4%A8%201F,36.5717275,136.6561912,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
鮨 まつ本,兵庫県西宮市樋之池町2-33 セルシェール苦楽園　１Ｆ,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/hyogo/A2803/A280301/28006932/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%81%BE%E3%81%A4%E6%9C%AC%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E8%A5%BF%E5%AE%AE%E5%B8%82%E6%A8%8B%E4%B9%8B%E6%B1%A0%E7%94%BA2-33%20%E3%82%BB%E3%83%AB%E3%82%B7%E3%82%A7%E3%83%BC%E3%83%AB%E8%8B%A6%E6%A5%BD%E5%9C%92%E3%80%80%EF%BC%91%EF%BC%A6,34.7515009,135.3240365,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
鮨 千陽,大阪府大阪市福島区福島5-12-14 コーポ福島 1F,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270108/27083232/,https://tabelog.com/osaka/A2701/A270108/27083232/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E5%8D%83%E9%99%BD%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A6%8F%E5%B3%B6%E5%8C%BA%E7%A6%8F%E5%B3%B65-12-14%20%E3%82%B3%E3%83%BC%E3%83%9D%E7%A6%8F%E5%B3%B6%201F,34.6963704,135.4862604,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
江戸前鮨 二鶴,福岡県北九州市小倉北区足立1-4-31,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/fukuoka/A4004/A400401/40000768/,,https://www.google.com/maps/search/?api=1&query=%E6%B1%9F%E6%88%B8%E5%89%8D%E9%AE%A8%20%E4%BA%8C%E9%B6%B4%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89%E5%8C%97%E5%8C%BA%E8%B6%B3%E7%AB%8B1-4-31,33.8688281,130.8984031,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
菊鮨,福岡県春日市春日公園3-51-3,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/fukuoka/A4003/A400301/40010675/,,https://www.google.com/maps/search/?api=1&query=%E8%8F%8A%E9%AE%A8%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E6%98%A5%E6%97%A5%E5%B8%82%E6%98%A5%E6%97%A5%E5%85%AC%E5%9C%923-51-3,33.5254848,130.4737665,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
鮨　仙八,熊本県熊本市中央区花畑町13-24 花畑ビル BF,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/kumamoto/A4301/A430101/43002645/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%E3%80%80%E4%BB%99%E5%85%AB%20%E7%86%8A%E6%9C%AC%E7%9C%8C%E7%86%8A%E6%9C%AC%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%8A%B1%E7%95%91%E7%94%BA13-24%20%E8%8A%B1%E7%95%91%E3%83%93%E3%83%AB%20BF,32.8004740,130.7062291,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
鮨　縁,岡山県岡山市北区平和町3-11 つるべマンション 1F,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/okayama/A3301/A330101/33001952/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%E3%80%80%E7%B8%81%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%B2%A1%E5%B1%B1%E5%B8%82%E5%8C%97%E5%8C%BA%E5%B9%B3%E5%92%8C%E7%94%BA3-11%20%E3%81%A4%E3%82%8B%E3%81%B9%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%201F,34.6641705,133.9241786,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
すし屋　小桜,石川県金沢市昭和町15-21,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/ishikawa/A1701/A170101/17010028/,,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%81%97%E5%B1%8B%E3%80%80%E5%B0%8F%E6%A1%9C%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%E6%98%AD%E5%92%8C%E7%94%BA15-21,36.5753909,136.6481017,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
寿司処 かい原,大阪府大阪市北区池田町5-4,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270103/27051741/,,https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E5%8F%B8%E5%87%A6%20%E3%81%8B%E3%81%84%E5%8E%9F%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%B1%A0%E7%94%B0%E7%94%BA5-4,34.7065806,135.5122049,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
えんどう寿司 京橋店,大阪府大阪市都島区東野田町2-1-38 京阪モール 5F,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270107/27002213/,,https://www.google.com/maps/search/?api=1&query=%E3%81%88%E3%82%93%E3%81%A9%E3%81%86%E5%AF%BF%E5%8F%B8%20%E4%BA%AC%E6%A9%8B%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E9%83%BD%E5%B3%B6%E5%8C%BA%E6%9D%B1%E9%87%8E%E7%94%B0%E7%94%BA2-1-38%20%E4%BA%AC%E9%98%AA%E3%83%A2%E3%83%BC%E3%83%AB%205F,34.6969001,135.5316772,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
鮨 おさむ,福岡県福岡市南区長住5-16-10,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/fukuoka/A4001/A400202/40000001/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%81%8A%E3%81%95%E3%82%80%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E5%8D%97%E5%8C%BA%E9%95%B7%E4%BD%8F5-16-10,33.5468970,130.3966493,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
鮨 よし田,福岡県久留米市六ツ門町20-10,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/fukuoka/A4008/A400801/40010507/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%82%88%E3%81%97%E7%94%B0%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%E5%85%AD%E3%83%84%E9%96%80%E7%94%BA20-10,33.3125040,130.5155592,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
太平寿し,石川県野々市市太平寺1-164,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/ishikawa/A1702/A170203/17000118/,,https://www.google.com/maps/search/?api=1&query=%E5%A4%AA%E5%B9%B3%E5%AF%BF%E3%81%97%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%8E%E3%80%85%E5%B8%82%E5%B8%82%E5%A4%AA%E5%B9%B3%E5%AF%BA1-164,36.5263345,136.6047615,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
天寿し 京町店,福岡県北九州市小倉北区京町3-11-9,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/fukuoka/A4004/A400401/40000721/,,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E5%AF%BF%E3%81%97%20%E4%BA%AC%E7%94%BA%E5%BA%97%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89%E5%8C%97%E5%8C%BA%E4%BA%AC%E7%94%BA3-11-9,33.8852520,130.8844292,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
寿司つばさ,福岡県北九州市小倉北区魚町3-3-24 新米谷ビル2F,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/fukuoka/A4004/A400401/40043591/,,https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E5%8F%B8%E3%81%A4%E3%81%B0%E3%81%95%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89%E5%8C%97%E5%8C%BA%E9%AD%9A%E7%94%BA3-3-24%20%E6%96%B0%E7%B1%B3%E8%B0%B7%E3%83%93%E3%83%AB2F,33.8830190,130.8798624,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
きう,京都府京都市下京区神明町230-2 2F,食べログ 寿司 WEST 百名店 2021,https://tabelog.com/kyoto/A2601/A260201/26034605/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8D%E3%81%86%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8B%E4%BA%AC%E5%8C%BA%E7%A5%9E%E6%98%8E%E7%94%BA230-2%202F,35.0024839,135.7625562,2021,寿司 WEST,sushi_west,発表日：2021年6月3日
