Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
焼肉 冷麺 ユッチャン。,東京都港区六本木7-17-24 eisu.bldg,食べログ 焼肉 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1307/A130701/13230170/,https://tabelog.com/tokyo/A1307/A130701/13230170/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%20%E5%86%B7%E9%BA%BA%20%E3%83%A6%E3%83%83%E3%83%81%E3%83%A3%E3%83%B3%E3%80%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A87-17-24%20eisu.bldg,35.6627754,139.7282878,2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日
恵比寿焼肉　kintan,東京都渋谷区恵比寿西1-10-3 トラストリンク恵比寿ビル 1F～2F,食べログ 焼肉 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1303/A130302/13157343/,https://tabelog.com/tokyo/A1303/A130302/13157343/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E6%81%B5%E6%AF%94%E5%AF%BF%E7%84%BC%E8%82%89%E3%80%80kintan%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%81%B5%E6%AF%94%E5%AF%BF%E8%A5%BF1-10-3%20%E3%83%88%E3%83%A9%E3%82%B9%E3%83%88%E3%83%AA%E3%83%B3%E3%82%AF%E6%81%B5%E6%AF%94%E5%AF%BF%E3%83%93%E3%83%AB%201F%EF%BD%9E2F,35.6469564,139.7078537,2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日
ホルモンまさる,東京都港区芝5-21-14,食べログ 焼肉 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1314/A131402/13150755/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%AB%E3%83%A2%E3%83%B3%E3%81%BE%E3%81%95%E3%82%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%8A%9D5-21-14,35.6481086,139.7466677,2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日
誇味山,東京都港区西麻布1丁目15-9 ラ・アルタ西麻布1F,食べログ 焼肉 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1307/A130701/13230924/,https://tabelog.com/tokyo/A1307/A130701/13230924/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E8%AA%87%E5%91%B3%E5%B1%B1%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E9%BA%BB%E5%B8%831%E4%B8%81%E7%9B%AE15-9%20%E3%83%A9%E3%83%BB%E3%82%A2%E3%83%AB%E3%82%BF%E8%A5%BF%E9%BA%BB%E5%B8%831F,35.6616682,139.7226807,2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日
羅生門 四谷本店,東京都新宿区舟町7-14 ダイアパレス　１Ｆ,食べログ 焼肉 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1309/A130903/13000973/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E7%BE%85%E7%94%9F%E9%96%80%20%E5%9B%9B%E8%B0%B7%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%88%9F%E7%94%BA7-14%20%E3%83%80%E3%82%A4%E3%82%A2%E3%83%91%E3%83%AC%E3%82%B9%E3%80%80%EF%BC%91%EF%BC%A6,35.6895805,139.7206477,2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日
炭火焼 ゆうじ,東京都渋谷区宇田川町11-1 松沼ビル　１Ｆ,食べログ 焼肉 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1303/A130301/13001794/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%81%AB%E7%84%BC%20%E3%82%86%E3%81%86%E3%81%98%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E5%AE%87%E7%94%B0%E5%B7%9D%E7%94%BA11-1%20%E6%9D%BE%E6%B2%BC%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.6625875,139.6973379,2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日
大幸園 小宮本店,東京都八王子市小宮町863-3,食べログ 焼肉 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1329/A132904/13107594/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E5%B9%B8%E5%9C%92%20%E5%B0%8F%E5%AE%AE%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B8%82%E5%B0%8F%E5%AE%AE%E7%94%BA863-3,35.6874499,139.3729108,2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日
The INNOCENT CARVERY,東京都港区西麻布1-4-28 カルハ西麻布 101,食べログ 焼肉 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1307/A130701/13189539/,https://tabelog.com/tokyo/A1307/A130701/13189539/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=The%20INNOCENT%20CARVERY%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E9%BA%BB%E5%B8%831-4-28%20%E3%82%AB%E3%83%AB%E3%83%8F%E8%A5%BF%E9%BA%BB%E5%B8%83%20101,35.6619437,139.7237514,2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日
焼肉芝浦 三宿店,東京都世田谷区下馬1-45-6 ウイスタリアプラザ　1・2F,食べログ 焼肉 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1317/A131701/13118245/,https://tabelog.com/tokyo/A1317/A131701/13118245/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%E8%8A%9D%E6%B5%A6%20%E4%B8%89%E5%AE%BF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%B8%8B%E9%A6%AC1-45-6%20%E3%82%A6%E3%82%A4%E3%82%B9%E3%82%BF%E3%83%AA%E3%82%A2%E3%83%97%E3%83%A9%E3%82%B6%E3%80%801%E3%83%BB2F,35.6406489,139.6820677,2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日
天空焼肉 星遊山,東京都港区東新橋1-5-2 汐留シティセンター 41F,食べログ 焼肉 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1301/A130103/13002530/,https://tabelog.com/tokyo/A1301/A130103/13002530/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E7%A9%BA%E7%84%BC%E8%82%89%20%E6%98%9F%E9%81%8A%E5%B1%B1%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%9D%B1%E6%96%B0%E6%A9%8B1-5-2%20%E6%B1%90%E7%95%99%E3%82%B7%E3%83%86%E3%82%A3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%2041F,35.6652546,139.7612089,2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日
焼肉 銀座コバウ 特別室,東京都中央区銀座6-7-6 ラペビル 8F,食べログ 焼肉 TOKYO 百名店 2021,https://tabelog.com/tokyo/A1301/A130101/13005008/,https://tabelog.com/tokyo/A1301/A130101/13005008/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%20%E9%8A%80%E5%BA%A7%E3%82%B3%E3%83%90%E3%82%A6%20%E7%89%B9%E5%88%A5%E5%AE%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A76-7-6%20%E3%83%A9%E3%83%9A%E3%83%93%E3%83%AB%208F,35.6704745,139.7626810,2021,焼肉 TOKYO,yakiniku_tokyo,発表日：2021年11月10日
