Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
明道町中国菜 一星,愛知県名古屋市西区幅下2-3-7,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230102/23062130/,https://www.google.com/maps/search/?api=1&query=%E6%98%8E%E9%81%93%E7%94%BA%E4%B8%AD%E5%9B%BD%E8%8F%9C%20%E4%B8%80%E6%98%9F%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%B9%85%E4%B8%8B2-3-7,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
名鉄菜館,静岡県御殿場市新橋732-1,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/shizuoka/A2204/A220402/22000041/,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E9%89%84%E8%8F%9C%E9%A4%A8%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E5%BE%A1%E6%AE%BF%E5%A0%B4%E5%B8%82%E6%96%B0%E6%A9%8B732-1,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
中国料理 吉珍樓 ルーセントタワー店,愛知県名古屋市西区牛島町6-1 名古屋ルーセントタワー 2F,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230101/23006292/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20%E5%90%89%E7%8F%8D%E6%A8%93%20%E3%83%AB%E3%83%BC%E3%82%BB%E3%83%B3%E3%83%88%E3%82%BF%E3%83%AF%E3%83%BC%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E8%A5%BF%E5%8C%BA%E7%89%9B%E5%B3%B6%E7%94%BA6-1%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E3%83%AB%E3%83%BC%E3%82%BB%E3%83%B3%E3%83%88%E3%82%BF%E3%83%AF%E3%83%BC%202F,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
四川 China 八兵衛,愛知県日進市岩崎町大塚42-3 エターナルビル　1F,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2303/A230302/23032100/,https://www.google.com/maps/search/?api=1&query=%E5%9B%9B%E5%B7%9D%20China%20%E5%85%AB%E5%85%B5%E8%A1%9B%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E6%97%A5%E9%80%B2%E5%B8%82%E5%B2%A9%E5%B4%8E%E7%94%BA%E5%A4%A7%E5%A1%9A42-3%20%E3%82%A8%E3%82%BF%E3%83%BC%E3%83%8A%E3%83%AB%E3%83%93%E3%83%AB%E3%80%801F,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
Joe'skitchen,愛知県名古屋市中区丸の内3-9-19 正起ビル 1F,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230103/23000564/,https://www.google.com/maps/search/?api=1&query=Joe%27skitchen%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E4%B8%B8%E3%81%AE%E5%86%853-9-19%20%E6%AD%A3%E8%B5%B7%E3%83%93%E3%83%AB%201F,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
ル シノワ サノ イズミ,愛知県名古屋市東区泉2-17-17 ヴィアーレバグース 1F,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230104/23064708/,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%20%E3%82%B7%E3%83%8E%E3%83%AF%20%E3%82%B5%E3%83%8E%20%E3%82%A4%E3%82%BA%E3%83%9F%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E6%B3%892-17-17%20%E3%83%B4%E3%82%A3%E3%82%A2%E3%83%BC%E3%83%AC%E3%83%90%E3%82%B0%E3%83%BC%E3%82%B9%201F,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
菜の花,愛知県名古屋市千種区若水3-18-2,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230106/23002546/,https://www.google.com/maps/search/?api=1&query=%E8%8F%9C%E3%81%AE%E8%8A%B1%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E8%8B%A5%E6%B0%B43-18-2,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
江南 柳橋本店,愛知県名古屋市中村区名駅5-31-8,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230101/23000273/,https://www.google.com/maps/search/?api=1&query=%E6%B1%9F%E5%8D%97%20%E6%9F%B3%E6%A9%8B%E6%9C%AC%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%855-31-8,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
城北飯店,愛知県岡崎市材木町82,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2305/A230502/23007289/,https://www.google.com/maps/search/?api=1&query=%E5%9F%8E%E5%8C%97%E9%A3%AF%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%B2%A1%E5%B4%8E%E5%B8%82%E6%9D%90%E6%9C%A8%E7%94%BA82,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
スーツァンレストラン 陳 名古屋,愛知県名古屋市中村区名駅1-1-4 タワーズプラザ 12F,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230101/23000312/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%BC%E3%83%84%E3%82%A1%E3%83%B3%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E9%99%B3%20%E5%90%8D%E5%8F%A4%E5%B1%8B%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%851-1-4%20%E3%82%BF%E3%83%AF%E3%83%BC%E3%82%BA%E3%83%97%E3%83%A9%E3%82%B6%2012F,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
北京宮廷料理 涵梅舫,愛知県名古屋市中村区名駅1-2-4 名鉄グランドホテル　１８Ｆ,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230101/23000585/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E4%BA%AC%E5%AE%AE%E5%BB%B7%E6%96%99%E7%90%86%20%E6%B6%B5%E6%A2%85%E8%88%AB%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%851-2-4%20%E5%90%8D%E9%89%84%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E3%83%9B%E3%83%86%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%98%EF%BC%A6,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
中国料理 「王朝」 ヒルトン名古屋,愛知県名古屋市中区栄1-3-3 ヒルトン名古屋 3F,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230102/23000319/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20%E3%80%8C%E7%8E%8B%E6%9C%9D%E3%80%8D%20%E3%83%92%E3%83%AB%E3%83%88%E3%83%B3%E5%90%8D%E5%8F%A4%E5%B1%8B%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%841-3-3%20%E3%83%92%E3%83%AB%E3%83%88%E3%83%B3%E5%90%8D%E5%8F%A4%E5%B1%8B%203F,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
中国飯店 麗穂,愛知県名古屋市中村区名駅4-7-1 ミッドランドスクエア 41F,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230101/23064306/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E9%A3%AF%E5%BA%97%20%E9%BA%97%E7%A9%82%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%854-7-1%20%E3%83%9F%E3%83%83%E3%83%89%E3%83%A9%E3%83%B3%E3%83%89%E3%82%B9%E3%82%AF%E3%82%A8%E3%82%A2%2041F,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
四川,愛知県名古屋市港区港楽1-1-5 港楽ハイツ5号棟１Ｆ,食べログ 中国料理 EAST 百名店 2021,https://tabelog.com/aichi/A2301/A230112/23000378/,https://www.google.com/maps/search/?api=1&query=%E5%9B%9B%E5%B7%9D%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%B8%AF%E5%8C%BA%E6%B8%AF%E6%A5%BD1-1-5%20%E6%B8%AF%E6%A5%BD%E3%83%8F%E3%82%A4%E3%83%845%E5%8F%B7%E6%A3%9F%EF%BC%91%EF%BC%A6,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
