Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
味香苑 生田ロード店,兵庫県神戸市中央区北長狭通1-9-10 プリンセスコートビル 8Ｆ,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/hyogo/A2801/A280101/28007373/,https://tabelog.com/hyogo/A2801/A280101/28007373/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%91%B3%E9%A6%99%E8%8B%91%20%E7%94%9F%E7%94%B0%E3%83%AD%E3%83%BC%E3%83%89%E5%BA%97%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%97%E9%95%B7%E7%8B%AD%E9%80%9A1-9-10%20%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%BC%E3%83%88%E3%83%93%E3%83%AB%208%EF%BC%A6,34.6929566,135.1915309,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
マルシン飯店,京都府京都市東山区東大路三条下る南西海子町431-3,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/kyoto/A2601/A260201/26002804/,,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%AB%E3%82%B7%E3%83%B3%E9%A3%AF%E5%BA%97%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E6%9D%B1%E5%A4%A7%E8%B7%AF%E4%B8%89%E6%9D%A1%E4%B8%8B%E3%82%8B%E5%8D%97%E8%A5%BF%E6%B5%B7%E5%AD%90%E7%94%BA431-3,35.0089902,135.7779559,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
創作中華 一之船入,京都府京都市中京区河原町二条下ル一之船入町537-50,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/kyoto/A2601/A260202/26002657/,https://tabelog.com/kyoto/A2601/A260202/26002657/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%89%B5%E4%BD%9C%E4%B8%AD%E8%8F%AF%20%E4%B8%80%E4%B9%8B%E8%88%B9%E5%85%A5%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E6%B2%B3%E5%8E%9F%E7%94%BA%E4%BA%8C%E6%9D%A1%E4%B8%8B%E3%83%AB%E4%B8%80%E4%B9%8B%E8%88%B9%E5%85%A5%E7%94%BA537-50,35.0122006,135.7701208,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
蓮心,大阪府大阪市北区曽根崎新地1-7-8 新日本新地ビル 5F,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270101/27111640/,,https://www.google.com/maps/search/?api=1&query=%E8%93%AE%E5%BF%83%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E%E6%96%B0%E5%9C%B01-7-8%20%E6%96%B0%E6%97%A5%E6%9C%AC%E6%96%B0%E5%9C%B0%E3%83%93%E3%83%AB%205F,34.6970485,135.5001145,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
中国料理 丹甫,大阪府堺市堺区大町東2-1-27 ハークスビル１階,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/osaka/A2705/A270501/27051071/,https://tabelog.com/osaka/A2705/A270501/27051071/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20%E4%B8%B9%E7%94%AB%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E5%A4%A7%E7%94%BA%E6%9D%B12-1-27%20%E3%83%8F%E3%83%BC%E3%82%AF%E3%82%B9%E3%83%93%E3%83%AB%EF%BC%91%E9%9A%8E,34.5755324,135.4728674,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
一芳亭 本店,大阪府大阪市浪速区難波中2-6-22,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270202/27001213/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E8%8A%B3%E4%BA%AD%20%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B5%AA%E9%80%9F%E5%8C%BA%E9%9B%A3%E6%B3%A2%E4%B8%AD2-6-22,34.6623930,135.5037319,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
一僖,京都府京都市東山区月見町17-5,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/kyoto/A2601/A260301/26023422/,https://tabelog.com/kyoto/A2601/A260301/26023422/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E5%83%96%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E6%9C%88%E8%A6%8B%E7%94%BA17-5,35.0009358,135.7779628,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
齋華,京都府京都市東山区泉涌寺山内町35-3,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/kyoto/A2601/A260304/26023771/,,https://www.google.com/maps/search/?api=1&query=%E9%BD%8B%E8%8F%AF%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E6%B3%89%E6%B6%8C%E5%AF%BA%E5%B1%B1%E5%86%85%E7%94%BA35-3,34.9795328,135.7775565,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
広東料理 鳳泉,京都府京都市中京区河原町二条上ル清水町359 ＡＢビル　１Ｆ,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/kyoto/A2601/A260202/26014396/,,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E6%9D%B1%E6%96%99%E7%90%86%20%E9%B3%B3%E6%B3%89%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E6%B2%B3%E5%8E%9F%E7%94%BA%E4%BA%8C%E6%9D%A1%E4%B8%8A%E3%83%AB%E6%B8%85%E6%B0%B4%E7%94%BA359%20%EF%BC%A1%EF%BC%A2%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.0134532,135.7687967,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
オーパス ワン,大阪府大阪市中央区高津3-3-29 プレステージ高津　１Ｆ,食べログ 中国料理 WEST 百名店 2021,https://tabelog.com/osaka/A2701/A270202/27000369/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AA%E3%83%BC%E3%83%91%E3%82%B9%20%E3%83%AF%E3%83%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%AB%98%E6%B4%A53-3-29%20%E3%83%97%E3%83%AC%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B8%E9%AB%98%E6%B4%A5%E3%80%80%EF%BC%91%EF%BC%A6,34.6659285,135.5093843,2021,中国料理 WEST,chinese_west,発表日：2021年4月27日
