Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
モハンディッシュ 北24条店,北海道札幌市北区北24条西4丁目2-10,食べログ アジア・エスニック EAST 百名店 2022,https://tabelog.com/hokkaido/A0101/A010201/1002525/,https://www.google.com/maps/search/?api=1&query=%E3%83%A2%E3%83%8F%E3%83%B3%E3%83%87%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5%20%E5%8C%9724%E6%9D%A1%E5%BA%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8C%97%E5%8C%BA%E5%8C%9724%E6%9D%A1%E8%A5%BF4%E4%B8%81%E7%9B%AE2-10,2022,アジア・エスニック EAST,asia_ethnic_east,発表日：2022年7月26日
サンライズ,北海道札幌市厚別区厚別西4条5-5-10,食べログ アジア・エスニック EAST 百名店 2022,https://tabelog.com/hokkaido/A0101/A010302/1051168/,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%B3%E3%83%A9%E3%82%A4%E3%82%BA%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8E%9A%E5%88%A5%E5%8C%BA%E5%8E%9A%E5%88%A5%E8%A5%BF4%E6%9D%A15-5-10,2022,アジア・エスニック EAST,asia_ethnic_east,発表日：2022年7月26日
本格インドカレーの館 スパイス,北海道札幌市北区北18条西5丁目1-8,食べログ アジア・エスニック EAST 百名店 2022,https://tabelog.com/hokkaido/A0101/A010201/1035826/,https://www.google.com/maps/search/?api=1&query=%E6%9C%AC%E6%A0%BC%E3%82%A4%E3%83%B3%E3%83%89%E3%82%AB%E3%83%AC%E3%83%BC%E3%81%AE%E9%A4%A8%20%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8C%97%E5%8C%BA%E5%8C%9718%E6%9D%A1%E8%A5%BF5%E4%B8%81%E7%9B%AE1-8,2022,アジア・エスニック EAST,asia_ethnic_east,発表日：2022年7月26日
シルクロード ムラト,埼玉県さいたま市桜区栄和3-20-13,食べログ アジア・エスニック EAST 百名店 2022,https://tabelog.com/saitama/A1101/A110101/11002026/,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%83%AB%E3%82%AF%E3%83%AD%E3%83%BC%E3%83%89%20%E3%83%A0%E3%83%A9%E3%83%88%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%A1%9C%E5%8C%BA%E6%A0%84%E5%92%8C3-20-13,2022,アジア・エスニック EAST,asia_ethnic_east,発表日：2022年7月26日
Salaam Curry,群馬県伊勢崎市柳原町54,食べログ アジア・エスニック EAST 百名店 2022,https://tabelog.com/gunma/A1002/A100202/10022154/,https://www.google.com/maps/search/?api=1&query=Salaam%20Curry%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%E4%BC%8A%E5%8B%A2%E5%B4%8E%E5%B8%82%E6%9F%B3%E5%8E%9F%E7%94%BA54,2022,アジア・エスニック EAST,asia_ethnic_east,発表日：2022年7月26日
アーユーボーワン,千葉県柏市東上町2-24 1F,食べログ アジア・エスニック EAST 百名店 2022,https://tabelog.com/chiba/A1203/A120301/12033520/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%BC%E3%83%A6%E3%83%BC%E3%83%9C%E3%83%BC%E3%83%AF%E3%83%B3%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%9F%8F%E5%B8%82%E6%9D%B1%E4%B8%8A%E7%94%BA2-24%201F,2022,アジア・エスニック EAST,asia_ethnic_east,発表日：2022年7月26日
サティヤム,埼玉県さいたま市緑区道祖土1-27-10 サイドプラザ １F,食べログ アジア・エスニック EAST 百名店 2022,https://tabelog.com/saitama/A1101/A110102/11023701/,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%86%E3%82%A3%E3%83%A4%E3%83%A0%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E7%B7%91%E5%8C%BA%E9%81%93%E7%A5%96%E5%9C%9F1-27-10%20%E3%82%B5%E3%82%A4%E3%83%89%E3%83%97%E3%83%A9%E3%82%B6%20%EF%BC%91F,2022,アジア・エスニック EAST,asia_ethnic_east,発表日：2022年7月26日
ミルチ,北海道札幌市中央区南五条西20-1-16,食べログ アジア・エスニック EAST 百名店 2022,https://tabelog.com/hokkaido/A0101/A010102/1000166/,https://www.google.com/maps/search/?api=1&query=%E3%83%9F%E3%83%AB%E3%83%81%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E4%BA%94%E6%9D%A1%E8%A5%BF20-1-16,2022,アジア・エスニック EAST,asia_ethnic_east,発表日：2022年7月26日
ナマステ 蓼科店,長野県茅野市北山鹿山4026-2 東急リゾートタウン内,食べログ アジア・エスニック EAST 百名店 2022,https://tabelog.com/nagano/A2004/A200403/20000030/,https://www.google.com/maps/search/?api=1&query=%E3%83%8A%E3%83%9E%E3%82%B9%E3%83%86%20%E8%93%BC%E7%A7%91%E5%BA%97%20%E9%95%B7%E9%87%8E%E7%9C%8C%E8%8C%85%E9%87%8E%E5%B8%82%E5%8C%97%E5%B1%B1%E9%B9%BF%E5%B1%B14026-2%20%E6%9D%B1%E6%80%A5%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%E3%82%BF%E3%82%A6%E3%83%B3%E5%86%85,2022,アジア・エスニック EAST,asia_ethnic_east,発表日：2022年7月26日
南インド家庭料理 カルナータカー,愛知県名古屋市名東区豊ヶ丘1809,食べログ アジア・エスニック EAST 百名店 2022,https://tabelog.com/aichi/A2301/A230111/23044940/,https://www.google.com/maps/search/?api=1&query=%E5%8D%97%E3%82%A4%E3%83%B3%E3%83%89%E5%AE%B6%E5%BA%AD%E6%96%99%E7%90%86%20%E3%82%AB%E3%83%AB%E3%83%8A%E3%83%BC%E3%82%BF%E3%82%AB%E3%83%BC%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%90%8D%E6%9D%B1%E5%8C%BA%E8%B1%8A%E3%83%B6%E4%B8%981809,2022,アジア・エスニック EAST,asia_ethnic_east,発表日：2022年7月26日
