Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
シンズキッチン,大阪府大阪市中央区日本橋 1-21-20 丸富パールビル　１Ｆ,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270202/27044516/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%83%B3%E3%82%BA%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B%201-21-20%20%E4%B8%B8%E5%AF%8C%E3%83%91%E3%83%BC%E3%83%AB%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,34.6656544,135.5063857,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
パビタラ,福岡県筑後市大字野町東原371-1,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/fukuoka/A4008/A400804/40025137/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%93%E3%82%BF%E3%83%A9%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%AD%91%E5%BE%8C%E5%B8%82%E5%A4%A7%E5%AD%97%E9%87%8E%E7%94%BA%E6%9D%B1%E5%8E%9F371-1,33.1951006,130.5021926,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
ザイカ・カレーハウス,富山県高岡市中曽根260-3,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/toyama/A1604/A160401/16006389/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B6%E3%82%A4%E3%82%AB%E3%83%BB%E3%82%AB%E3%83%AC%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%E9%AB%98%E5%B2%A1%E5%B8%82%E4%B8%AD%E6%9B%BD%E6%A0%B9260-3,36.7708533,137.0778062,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
スパイスカレーまるせ,大阪府大阪市北区中津1-11-28,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270101/27076552/,https://tabelog.com/osaka/A2701/A270101/27076552/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%E3%82%AB%E3%83%AC%E3%83%BC%E3%81%BE%E3%82%8B%E3%81%9B%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E4%B8%AD%E6%B4%A51-11-28,34.7117410,135.4968742,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
エスコバール,愛媛県松山市大街道3-8-12 本田ビル 1F,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/ehime/A3801/A380101/38007928/,https://tabelog.com/ehime/A3801/A380101/38007928/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%82%B9%E3%82%B3%E3%83%90%E3%83%BC%E3%83%AB%20%E6%84%9B%E5%AA%9B%E7%9C%8C%E6%9D%BE%E5%B1%B1%E5%B8%82%E5%A4%A7%E8%A1%97%E9%81%933-8-12%20%E6%9C%AC%E7%94%B0%E3%83%93%E3%83%AB%201F,33.8448575,132.7724809,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
チェディルアン 北堀江本店,大阪府大阪市西区北堀江1-17-11,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270201/27002716/,https://tabelog.com/osaka/A2701/A270201/27002716/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%82%A7%E3%83%87%E3%82%A3%E3%83%AB%E3%82%A2%E3%83%B3%20%E5%8C%97%E5%A0%80%E6%B1%9F%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%8C%97%E5%A0%80%E6%B1%9F1-17-11,34.6741923,135.4945283,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
堀内チキンライス,大阪府大阪市阿倍野区天王寺町南2-10-1,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270203/27042315/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%A0%80%E5%86%85%E3%83%81%E3%82%AD%E3%83%B3%E3%83%A9%E3%82%A4%E3%82%B9%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E9%98%BF%E5%80%8D%E9%87%8E%E5%8C%BA%E5%A4%A9%E7%8E%8B%E5%AF%BA%E7%94%BA%E5%8D%972-10-1,34.6431148,135.5238619,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
韓国食堂 入ル ゴショミナミ,京都府京都市中京区金吹町478,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/kyoto/A2601/A260202/26034228/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%9F%93%E5%9B%BD%E9%A3%9F%E5%A0%82%20%E5%85%A5%E3%83%AB%20%E3%82%B4%E3%82%B7%E3%83%A7%E3%83%9F%E3%83%8A%E3%83%9F%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E9%87%91%E5%90%B9%E7%94%BA478,35.0133313,135.7587195,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
峠,福岡県北九州市小倉北区赤坂3-10-5,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/fukuoka/A4004/A400401/40000399/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%B3%A0%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89%E5%8C%97%E5%8C%BA%E8%B5%A4%E5%9D%823-10-5,33.8867476,130.9108338,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
カレーや デッカオ,大阪府大阪市中央区南船場3-8-5 南船場ビル 2F,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270201/27091309/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AC%E3%83%BC%E3%82%84%20%E3%83%87%E3%83%83%E3%82%AB%E3%82%AA%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E8%88%B9%E5%A0%B43-8-5%20%E5%8D%97%E8%88%B9%E5%A0%B4%E3%83%93%E3%83%AB%202F,34.6776756,135.5022658,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
