Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
前田パン,神奈川県横浜市青葉区黒須田33-5 タウンコートあざみ野　１F,食べログ パン EAST 百名店 2022,https://tabelog.com/kanagawa/A1401/A140201/14041192/,https://www.google.com/maps/search/?api=1&query=%E5%89%8D%E7%94%B0%E3%83%91%E3%83%B3%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E9%BB%92%E9%A0%88%E7%94%B033-5%20%E3%82%BF%E3%82%A6%E3%83%B3%E3%82%B3%E3%83%BC%E3%83%88%E3%81%82%E3%81%96%E3%81%BF%E9%87%8E%E3%80%80%EF%BC%91F,2022,パン EAST,bread_east,発表日：2022年10月11日
ブーランジェリー エス,神奈川県逗子市逗子7-6-31,食べログ パン EAST 百名店 2022,https://tabelog.com/kanagawa/A1406/A140602/14008269/,https://www.google.com/maps/search/?api=1&query=%E3%83%96%E3%83%BC%E3%83%A9%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%BC%20%E3%82%A8%E3%82%B9%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E9%80%97%E5%AD%90%E5%B8%82%E9%80%97%E5%AD%907-6-31,2022,パン EAST,bread_east,発表日：2022年10月11日
ラパン ノワール くろうさぎ,埼玉県秩父市野坂町1-18-12,食べログ パン EAST 百名店 2022,https://tabelog.com/saitama/A1107/A110701/11003478/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%91%E3%83%B3%20%E3%83%8E%E3%83%AF%E3%83%BC%E3%83%AB%20%E3%81%8F%E3%82%8D%E3%81%86%E3%81%95%E3%81%8E%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E7%A7%A9%E7%88%B6%E5%B8%82%E9%87%8E%E5%9D%82%E7%94%BA1-18-12,2022,パン EAST,bread_east,発表日：2022年10月11日
のり蔵,神奈川県横浜市中区山下町81 1F,食べログ パン EAST 百名店 2022,https://tabelog.com/kanagawa/A1401/A140105/14057349/,https://www.google.com/maps/search/?api=1&query=%E3%81%AE%E3%82%8A%E8%94%B5%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA81%201F,2022,パン EAST,bread_east,発表日：2022年10月11日
セテュヌ ボンニデー,神奈川県川崎市多摩区登戸1889 今野ビル 1F,食べログ パン EAST 百名店 2022,https://tabelog.com/kanagawa/A1405/A140506/14053039/,https://www.google.com/maps/search/?api=1&query=%E3%82%BB%E3%83%86%E3%83%A5%E3%83%8C%20%E3%83%9C%E3%83%B3%E3%83%8B%E3%83%87%E3%83%BC%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E5%A4%9A%E6%91%A9%E5%8C%BA%E7%99%BB%E6%88%B81889%20%E4%BB%8A%E9%87%8E%E3%83%93%E3%83%AB%201F,2022,パン EAST,bread_east,発表日：2022年10月11日
VANITOY BAGEL 蔵づくり本店,埼玉県川越市幸町10-3,食べログ パン EAST 百名店 2022,https://tabelog.com/saitama/A1103/A110303/11003096/,https://www.google.com/maps/search/?api=1&query=VANITOY%20BAGEL%20%E8%94%B5%E3%81%A5%E3%81%8F%E3%82%8A%E6%9C%AC%E5%BA%97%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E8%B6%8A%E5%B8%82%E5%B9%B8%E7%94%BA10-3,2022,パン EAST,bread_east,発表日：2022年10月11日
こころにあまいあんぱんや JR名古屋店,愛知県名古屋市中村区名駅1-1-4 名古屋駅構内 タワーズ通り 名古屋マリオットアソシアホテル前,食べログ パン EAST 百名店 2022,https://tabelog.com/aichi/A2301/A230101/23001867/,https://www.google.com/maps/search/?api=1&query=%E3%81%93%E3%81%93%E3%82%8D%E3%81%AB%E3%81%82%E3%81%BE%E3%81%84%E3%81%82%E3%82%93%E3%81%B1%E3%82%93%E3%82%84%20JR%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%851-1-4%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E9%A7%85%E6%A7%8B%E5%86%85%20%E3%82%BF%E3%83%AF%E3%83%BC%E3%82%BA%E9%80%9A%E3%82%8A%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E3%83%9E%E3%83%AA%E3%82%AA%E3%83%83%E3%83%88%E3%82%A2%E3%82%BD%E3%82%B7%E3%82%A2%E3%83%9B%E3%83%86%E3%83%AB%E5%89%8D,2022,パン EAST,bread_east,発表日：2022年10月11日
ココペライ,北海道札幌市中央区北7条西18丁目4-10,食べログ パン EAST 百名店 2022,https://tabelog.com/hokkaido/A0101/A010102/1008888/,https://www.google.com/maps/search/?api=1&query=%E3%82%B3%E3%82%B3%E3%83%9A%E3%83%A9%E3%82%A4%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%977%E6%9D%A1%E8%A5%BF18%E4%B8%81%E7%9B%AE4-10,2022,パン EAST,bread_east,発表日：2022年10月11日
ベッカライ 徳多朗 元石川本店,神奈川県横浜市青葉区元石川町6300-7,食べログ パン EAST 百名店 2022,https://tabelog.com/kanagawa/A1401/A140201/14042306/,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%83%E3%82%AB%E3%83%A9%E3%82%A4%20%E5%BE%B3%E5%A4%9A%E6%9C%97%20%E5%85%83%E7%9F%B3%E5%B7%9D%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E5%85%83%E7%9F%B3%E5%B7%9D%E7%94%BA6300-7,2022,パン EAST,bread_east,発表日：2022年10月11日
レストラン ペニーレイン 那須店,栃木県那須郡那須町大字湯本656-2,食べログ パン EAST 百名店 2022,https://tabelog.com/tochigi/A0905/A090501/9000301/,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%83%9A%E3%83%8B%E3%83%BC%E3%83%AC%E3%82%A4%E3%83%B3%20%E9%82%A3%E9%A0%88%E5%BA%97%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E9%82%A3%E9%A0%88%E9%83%A1%E9%82%A3%E9%A0%88%E7%94%BA%E5%A4%A7%E5%AD%97%E6%B9%AF%E6%9C%AC656-2,2022,パン EAST,bread_east,発表日：2022年10月11日
