Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
オリミネベーカーズ 築地七丁目店,東京都中央区築地7-10-11,食べログ パン TOKYO 百名店 2022,https://tabelog.com/tokyo/A1313/A131301/13124863/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%AA%E3%83%AA%E3%83%9F%E3%83%8D%E3%83%99%E3%83%BC%E3%82%AB%E3%83%BC%E3%82%BA%20%E7%AF%89%E5%9C%B0%E4%B8%83%E4%B8%81%E7%9B%AE%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E7%AF%89%E5%9C%B07-10-11,35.6660707,139.7749399,2022,パン TOKYO,bread_tokyo,発表日：2022年10月11日
ル パン ドゥ ジョエル･ロブション ニュウマン新宿店,東京都新宿区新宿4-1-6 NEWoMan SHINJUKU 1F,食べログ パン TOKYO 百名店 2022,https://tabelog.com/tokyo/A1304/A130401/13193559/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%20%E3%83%91%E3%83%B3%20%E3%83%89%E3%82%A5%20%E3%82%B8%E3%83%A7%E3%82%A8%E3%83%AB%EF%BD%A5%E3%83%AD%E3%83%96%E3%82%B7%E3%83%A7%E3%83%B3%20%E3%83%8B%E3%83%A5%E3%82%A6%E3%83%9E%E3%83%B3%E6%96%B0%E5%AE%BF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF4-1-6%20NEWoMan%20SHINJUKU%201F,35.6890293,139.7019108,2022,パン TOKYO,bread_tokyo,発表日：2022年10月11日
小麦と酵母 濱田家 三軒茶屋本店,東京都世田谷区三軒茶屋2-17-11 グレイス三軒茶屋 1F,食べログ パン TOKYO 百名店 2022,https://tabelog.com/tokyo/A1317/A131706/13005398/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E9%BA%A6%E3%81%A8%E9%85%B5%E6%AF%8D%20%E6%BF%B1%E7%94%B0%E5%AE%B6%20%E4%B8%89%E8%BB%92%E8%8C%B6%E5%B1%8B%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%B8%89%E8%BB%92%E8%8C%B6%E5%B1%8B2-17-11%20%E3%82%B0%E3%83%AC%E3%82%A4%E3%82%B9%E4%B8%89%E8%BB%92%E8%8C%B6%E5%B1%8B%201F,35.6429555,139.6668317,2022,パン TOKYO,bread_tokyo,発表日：2022年10月11日
カイソ,東京都世田谷区代沢5-6-15,食べログ パン TOKYO 百名店 2022,https://tabelog.com/tokyo/A1318/A131812/13129587/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%82%A4%E3%82%BD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A25-6-15,35.6556681,139.6673855,2022,パン TOKYO,bread_tokyo,発表日：2022年10月11日
吟遊詩人,東京都杉並区天沼3-2-2 荻窪勧業ビル　１Ｆ,食べログ パン TOKYO 百名店 2022,https://tabelog.com/tokyo/A1319/A131906/13042194/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%90%9F%E9%81%8A%E8%A9%A9%E4%BA%BA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E5%A4%A9%E6%B2%BC3-2-2%20%E8%8D%BB%E7%AA%AA%E5%8B%A7%E6%A5%AD%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.7054102,139.6221669,2022,パン TOKYO,bread_tokyo,発表日：2022年10月11日
とらやベーカリー,東京都葛飾区東金町3-17-4,食べログ パン TOKYO 百名店 2022,https://tabelog.com/tokyo/A1324/A132403/13050971/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%89%E3%82%84%E3%83%99%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%91%9B%E9%A3%BE%E5%8C%BA%E6%9D%B1%E9%87%91%E7%94%BA3-17-4,35.7706966,139.8727599,2022,パン TOKYO,bread_tokyo,発表日：2022年10月11日
みんなのぱんや,東京都千代田区丸の内2-7-3 東京ビルTOKIA B1F,食べログ パン TOKYO 百名店 2022,https://tabelog.com/tokyo/A1302/A130201/13020387/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%82%93%E3%81%AA%E3%81%AE%E3%81%B1%E3%82%93%E3%82%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E4%B8%B8%E3%81%AE%E5%86%852-7-3%20%E6%9D%B1%E4%BA%AC%E3%83%93%E3%83%ABTOKIA%20B1F,35.6787786,139.7650622,2022,パン TOKYO,bread_tokyo,発表日：2022年10月11日
ル・グルニエ・ア・パン アトレ恵比寿店,東京都渋谷区恵比寿南1-6-1 アトレ恵比寿 西館 4F,食べログ パン TOKYO 百名店 2022,https://tabelog.com/tokyo/A1303/A130302/13194633/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%E3%83%BB%E3%82%B0%E3%83%AB%E3%83%8B%E3%82%A8%E3%83%BB%E3%82%A2%E3%83%BB%E3%83%91%E3%83%B3%20%E3%82%A2%E3%83%88%E3%83%AC%E6%81%B5%E6%AF%94%E5%AF%BF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%81%B5%E6%AF%94%E5%AF%BF%E5%8D%971-6-1%20%E3%82%A2%E3%83%88%E3%83%AC%E6%81%B5%E6%AF%94%E5%AF%BF%20%E8%A5%BF%E9%A4%A8%204F,35.6466526,139.7095903,2022,パン TOKYO,bread_tokyo,発表日：2022年10月11日
トラスパレンテ 中目黒店,東京都目黒区上目黒2-12-11 1F,食べログ パン TOKYO 百名店 2022,https://tabelog.com/tokyo/A1317/A131701/13187231/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%A9%E3%82%B9%E3%83%91%E3%83%AC%E3%83%B3%E3%83%86%20%E4%B8%AD%E7%9B%AE%E9%BB%92%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E4%B8%8A%E7%9B%AE%E9%BB%922-12-11%201F,35.6426084,139.6984731,2022,パン TOKYO,bread_tokyo,発表日：2022年10月11日
パンのペリカン,東京都台東区寿4-7-4,食べログ パン TOKYO 百名店 2022,https://tabelog.com/tokyo/A1311/A131102/13003662/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%B3%E3%81%AE%E3%83%9A%E3%83%AA%E3%82%AB%E3%83%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E5%AF%BF4-7-4,35.7085606,139.7913546,2022,パン TOKYO,bread_tokyo,発表日：2022年10月11日
