Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
フルール・ド・ファリーヌ,京都府京都市中京区東洞院通三条下ル三文字町200 ミックナカムラビル　１Ｆ,食べログ パン WEST 百名店 2022,https://tabelog.com/kyoto/A2601/A260202/26004724/,,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%83%AB%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%89%E3%83%BB%E3%83%95%E3%82%A1%E3%83%AA%E3%83%BC%E3%83%8C%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E6%9D%B1%E6%B4%9E%E9%99%A2%E9%80%9A%E4%B8%89%E6%9D%A1%E4%B8%8B%E3%83%AB%E4%B8%89%E6%96%87%E5%AD%97%E7%94%BA200%20%E3%83%9F%E3%83%83%E3%82%AF%E3%83%8A%E3%82%AB%E3%83%A0%E3%83%A9%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.0083767,135.7611343,2022,パン WEST,bread_west,発表日：2022年10月11日
Croix-Rousse,京都府京都市中京区西洞院通四条上ル蟷螂山町468-4 シティファースト　 １Ｆ,食べログ パン WEST 百名店 2022,https://tabelog.com/kyoto/A2601/A260201/26007737/,,https://www.google.com/maps/search/?api=1&query=Croix-Rousse%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E8%A5%BF%E6%B4%9E%E9%99%A2%E9%80%9A%E5%9B%9B%E6%9D%A1%E4%B8%8A%E3%83%AB%E8%9F%B7%E8%9E%82%E5%B1%B1%E7%94%BA468-4%20%E3%82%B7%E3%83%86%E3%82%A3%E3%83%95%E3%82%A1%E3%83%BC%E3%82%B9%E3%83%88%E3%80%80%20%EF%BC%91%EF%BC%A6,35.0044909,135.7552067,2022,パン WEST,bread_west,発表日：2022年10月11日
広島アンデルセン,広島県広島市中区本通7-1,食べログ パン WEST 百名店 2022,https://tabelog.com/hiroshima/A3401/A340113/34000053/,,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E3%82%A2%E3%83%B3%E3%83%87%E3%83%AB%E3%82%BB%E3%83%B3%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%9C%AC%E9%80%9A7-1,34.3930249,132.4583568,2022,パン WEST,bread_west,発表日：2022年10月11日
パネ・ポルチーニ,大阪府大阪市福島区福島5-10-22,食べログ パン WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270108/27049674/,,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%8D%E3%83%BB%E3%83%9D%E3%83%AB%E3%83%81%E3%83%BC%E3%83%8B%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A6%8F%E5%B3%B6%E5%8C%BA%E7%A6%8F%E5%B3%B65-10-22,34.6958900,135.4868721,2022,パン WEST,bread_west,発表日：2022年10月11日
イシノウエ,大阪府堺市北区百舌鳥梅町3-10-8 ハイツ中百舌鳥　1F,食べログ パン WEST 百名店 2022,https://tabelog.com/osaka/A2705/A270501/27046308/,,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%82%B7%E3%83%8E%E3%82%A6%E3%82%A8%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E7%99%BE%E8%88%8C%E9%B3%A5%E6%A2%85%E7%94%BA3-10-8%20%E3%83%8F%E3%82%A4%E3%83%84%E4%B8%AD%E7%99%BE%E8%88%8C%E9%B3%A5%E3%80%801F,34.5521072,135.5026978,2022,パン WEST,bread_west,発表日：2022年10月11日
メリッサ,大阪府大阪市北区中之島5-3-68 リーガロイヤルホテル 1F,食べログ パン WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270108/27007267/,,https://www.google.com/maps/search/?api=1&query=%E3%83%A1%E3%83%AA%E3%83%83%E3%82%B5%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E4%B8%AD%E4%B9%8B%E5%B3%B65-3-68%20%E3%83%AA%E3%83%BC%E3%82%AC%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%AB%E3%83%9B%E3%83%86%E3%83%AB%201F,34.6904011,135.4873635,2022,パン WEST,bread_west,発表日：2022年10月11日
トロワ ブーランジェリー,大阪府大阪市平野区平野本町3-5-3,食べログ パン WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270405/27054996/,,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%AD%E3%83%AF%20%E3%83%96%E3%83%BC%E3%83%A9%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%BC%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%B9%B3%E9%87%8E%E5%8C%BA%E5%B9%B3%E9%87%8E%E6%9C%AC%E7%94%BA3-5-3,34.6250469,135.5542326,2022,パン WEST,bread_west,発表日：2022年10月11日
ナカガワ小麦店,京都府京都市左京区下鴨松ノ木町52-1,食べログ パン WEST 百名店 2022,https://tabelog.com/kyoto/A2601/A260302/26019004/,,https://www.google.com/maps/search/?api=1&query=%E3%83%8A%E3%82%AB%E3%82%AC%E3%83%AF%E5%B0%8F%E9%BA%A6%E5%BA%97%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E4%B8%8B%E9%B4%A8%E6%9D%BE%E3%83%8E%E6%9C%A8%E7%94%BA52-1,35.0396402,135.7710537,2022,パン WEST,bread_west,発表日：2022年10月11日
ameen’s oven,兵庫県西宮市若松町6-18 ヴィラドコアン　１Ｆ,食べログ パン WEST 百名店 2022,https://tabelog.com/hyogo/A2803/A280301/28006379/,,https://www.google.com/maps/search/?api=1&query=ameen%E2%80%99s%20oven%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E8%A5%BF%E5%AE%AE%E5%B8%82%E8%8B%A5%E6%9D%BE%E7%94%BA6-18%20%E3%83%B4%E3%82%A3%E3%83%A9%E3%83%89%E3%82%B3%E3%82%A2%E3%83%B3%E3%80%80%EF%BC%91%EF%BC%A6,34.7436256,135.3316153,2022,パン WEST,bread_west,発表日：2022年10月11日
ベッカライ ビオブロート,兵庫県芦屋市宮塚町14-14 1F,食べログ パン WEST 百名店 2022,https://tabelog.com/hyogo/A2803/A280302/28001945/,,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%83%E3%82%AB%E3%83%A9%E3%82%A4%20%E3%83%93%E3%82%AA%E3%83%96%E3%83%AD%E3%83%BC%E3%83%88%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E8%8A%A6%E5%B1%8B%E5%B8%82%E5%AE%AE%E5%A1%9A%E7%94%BA14-14%201F,34.7303783,135.3094729,2022,パン WEST,bread_west,発表日：2022年10月11日
