Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
らーめん香澄 阿波座本店,大阪府大阪市西区京町堀2-12-13,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270105/27065090/,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%E9%A6%99%E6%BE%84%20%E9%98%BF%E6%B3%A2%E5%BA%A7%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E4%BA%AC%E7%94%BA%E5%A0%802-12-13,34.6849770,135.4893700,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
ラーメン人生JET600,大阪府大阪市東成区東小橋1-3-2,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270204/27059047/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E4%BA%BA%E7%94%9FJET600%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%9D%B1%E6%88%90%E5%8C%BA%E6%9D%B1%E5%B0%8F%E6%A9%8B1-3-2,34.6741769,135.5343902,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
麺匠 而今,大阪府守口市紅屋町6-16,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/osaka/A2707/A270701/27078739/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%8C%A0%20%E8%80%8C%E4%BB%8A%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%AE%88%E5%8F%A3%E5%B8%82%E7%B4%85%E5%B1%8B%E7%94%BA6-16,34.7279198,135.5568003,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
がむしゃら 奈良,奈良県大和郡山市上三橋町152-1,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/nara/A2902/A290202/29001411/,https://www.google.com/maps/search/?api=1&query=%E3%81%8C%E3%82%80%E3%81%97%E3%82%83%E3%82%89%20%E5%A5%88%E8%89%AF%20%E5%A5%88%E8%89%AF%E7%9C%8C%E5%A4%A7%E5%92%8C%E9%83%A1%E5%B1%B1%E5%B8%82%E4%B8%8A%E4%B8%89%E6%A9%8B%E7%94%BA152-1,34.6452979,135.8155598,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
自然派ラーメン 神楽,石川県金沢市寺町1-20-10,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/ishikawa/A1701/A170101/17001321/,https://www.google.com/maps/search/?api=1&query=%E8%87%AA%E7%84%B6%E6%B4%BE%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%20%E7%A5%9E%E6%A5%BD%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%E5%AF%BA%E7%94%BA1-20-10,36.5456478,136.6576507,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
かしや,大阪府大阪市西成区玉出中2-4-21,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270406/27052519/,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%97%E3%82%84%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E6%88%90%E5%8C%BA%E7%8E%89%E5%87%BA%E4%B8%AD2-4-21,34.6261718,135.4915548,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
あいつのラーメン かたぐるま 本店,京都府京都市下京区西七条西八反田町77 ガーディアン青山 1F,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/kyoto/A2601/A260203/26023737/,https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%81%84%E3%81%A4%E3%81%AE%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%20%E3%81%8B%E3%81%9F%E3%81%90%E3%82%8B%E3%81%BE%20%E6%9C%AC%E5%BA%97%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8B%E4%BA%AC%E5%8C%BA%E8%A5%BF%E4%B8%83%E6%9D%A1%E8%A5%BF%E5%85%AB%E5%8F%8D%E7%94%B0%E7%94%BA77%20%E3%82%AC%E3%83%BC%E3%83%87%E3%82%A3%E3%82%A2%E3%83%B3%E9%9D%92%E5%B1%B1%201F,34.9928652,135.7361933,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
桐麺 本店,大阪府大阪市淀川区三津屋北3-1-15,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270302/27082568/,https://www.google.com/maps/search/?api=1&query=%E6%A1%90%E9%BA%BA%20%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B7%80%E5%B7%9D%E5%8C%BA%E4%B8%89%E6%B4%A5%E5%B1%8B%E5%8C%973-1-15,34.7277063,135.4654902,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
つけ麺無心,奈良県奈良市中町323-1,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/nara/A2901/A290102/29004440/,https://www.google.com/maps/search/?api=1&query=%E3%81%A4%E3%81%91%E9%BA%BA%E7%84%A1%E5%BF%83%20%E5%A5%88%E8%89%AF%E7%9C%8C%E5%A5%88%E8%89%AF%E5%B8%82%E4%B8%AD%E7%94%BA323-1,34.6746095,135.7521343,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
麺屋 そにどり,三重県四日市市堀木2-10-20,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/mie/A2402/A240201/24015239/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%B1%8B%20%E3%81%9D%E3%81%AB%E3%81%A9%E3%82%8A%20%E4%B8%89%E9%87%8D%E7%9C%8C%E5%9B%9B%E6%97%A5%E5%B8%82%E5%B8%82%E5%A0%80%E6%9C%A82-10-20,34.9736580,136.6171699,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
俺のラーメン あっぱれ屋,京都府城陽市奈島下小路11,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/kyoto/A2607/A260704/26011617/,https://www.google.com/maps/search/?api=1&query=%E4%BF%BA%E3%81%AE%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%20%E3%81%82%E3%81%A3%E3%81%B1%E3%82%8C%E5%B1%8B%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E5%9F%8E%E9%99%BD%E5%B8%82%E5%A5%88%E5%B3%B6%E4%B8%8B%E5%B0%8F%E8%B7%AF11,34.8392940,135.8321706,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
京都 麺屋たけ井 阪急梅田店,大阪府大阪市北区芝田1-1-2 阪急梅田駅改札内 2F,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270101/27092383/,https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E9%83%BD%20%E9%BA%BA%E5%B1%8B%E3%81%9F%E3%81%91%E4%BA%95%20%E9%98%AA%E6%80%A5%E6%A2%85%E7%94%B0%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%8A%9D%E7%94%B01-1-2%20%E9%98%AA%E6%80%A5%E6%A2%85%E7%94%B0%E9%A7%85%E6%94%B9%E6%9C%AD%E5%86%85%202F,34.7052524,135.4980807,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
がふうあん,兵庫県伊丹市西台2-1-11,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/hyogo/A2803/A280306/28022134/,https://www.google.com/maps/search/?api=1&query=%E3%81%8C%E3%81%B5%E3%81%86%E3%81%82%E3%82%93%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E4%BC%8A%E4%B8%B9%E5%B8%82%E8%A5%BF%E5%8F%B02-1-11,34.7811818,135.4109186,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
麺屋彩々 昭和町本店,大阪府大阪市阿倍野区阪南町1-46-8,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270203/27059500/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%B1%8B%E5%BD%A9%E3%80%85%20%E6%98%AD%E5%92%8C%E7%94%BA%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E9%98%BF%E5%80%8D%E9%87%8E%E5%8C%BA%E9%98%AA%E5%8D%97%E7%94%BA1-46-8,34.6339893,135.5163803,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
麺のようじ,大阪府大阪市中央区高津2-1-2 大越ビル 1F,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270202/27072765/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E3%81%AE%E3%82%88%E3%81%86%E3%81%98%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%AB%98%E6%B4%A52-1-2%20%E5%A4%A7%E8%B6%8A%E3%83%93%E3%83%AB%201F,34.6683022,135.5113037,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
麺や高倉二条,京都府京都市中京区観音町64-1,食べログ ラーメン WEST 百名店 2022,https://tabelog.com/kyoto/A2601/A260202/26003182/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E3%82%84%E9%AB%98%E5%80%89%E4%BA%8C%E6%9D%A1%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E8%A6%B3%E9%9F%B3%E7%94%BA64-1,35.0135638,135.7624717,2022,ラーメン WEST,ramen_west,発表日：2022年11月28日
