Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
鮨 猪股,埼玉県川口市幸町1-12-23 サンリーブ幸町コートハウス,食べログ 寿司 EAST 百名店 2022,https://tabelog.com/saitama/A1102/A110201/11036797/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E7%8C%AA%E8%82%A1%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E5%8F%A3%E5%B8%82%E5%B9%B8%E7%94%BA1-12-23%20%E3%82%B5%E3%83%B3%E3%83%AA%E3%83%BC%E3%83%96%E5%B9%B8%E7%94%BA%E3%82%B3%E3%83%BC%E3%83%88%E3%83%8F%E3%82%A6%E3%82%B9,35.8044784,139.7246892,2022,寿司 EAST,sushi_east,発表日：2022年6月28日
鮨 おとわ,神奈川県横浜市青葉区奈良3-11-1,食べログ 寿司 EAST 百名店 2022,https://tabelog.com/kanagawa/A1401/A140202/14042983/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%81%8A%E3%81%A8%E3%82%8F%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E5%A5%88%E8%89%AF3-11-1,35.5513778,139.4846591,2022,寿司 EAST,sushi_east,発表日：2022年6月28日
弘寿司,宮城県仙台市太白区越路16-10,食べログ 寿司 EAST 百名店 2022,https://tabelog.com/miyagi/A0401/A040105/4000130/,,https://www.google.com/maps/search/?api=1&query=%E5%BC%98%E5%AF%BF%E5%8F%B8%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E5%A4%AA%E7%99%BD%E5%8C%BA%E8%B6%8A%E8%B7%AF16-10,38.2439194,140.8797953,2022,寿司 EAST,sushi_east,発表日：2022年6月28日
大寿司,岩手県宮古市西町2-1-8,食べログ 寿司 EAST 百名店 2022,https://tabelog.com/iwate/A0304/A030401/3001156/,,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E5%AF%BF%E5%8F%B8%20%E5%B2%A9%E6%89%8B%E7%9C%8C%E5%AE%AE%E5%8F%A4%E5%B8%82%E8%A5%BF%E7%94%BA2-1-8,39.6466437,141.9443790,2022,寿司 EAST,sushi_east,発表日：2022年6月28日
鮨処いちい,北海道札幌市中央区南四条西4 第5グリーンビル 1F,食べログ 寿司 EAST 百名店 2022,https://tabelog.com/hokkaido/A0101/A010103/1002533/,https://tabelog.com/hokkaido/A0101/A010102/1002533/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%E5%87%A6%E3%81%84%E3%81%A1%E3%81%84%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E5%9B%9B%E6%9D%A1%E8%A5%BF4%20%E7%AC%AC5%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%93%E3%83%AB%201F,43.0558228,141.3519841,2022,寿司 EAST,sushi_east,発表日：2022年6月28日
鮨おばな,群馬県館林市大手町5-1,食べログ 寿司 EAST 百名店 2022,https://tabelog.com/gunma/A1002/A100204/10002097/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%E3%81%8A%E3%81%B0%E3%81%AA%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%E9%A4%A8%E6%9E%97%E5%B8%82%E5%A4%A7%E6%89%8B%E7%94%BA5-1,36.2460538,139.5380498,2022,寿司 EAST,sushi_east,発表日：2022年6月28日
いしまる,埼玉県さいたま市大宮区桜木町2-305,食べログ 寿司 EAST 百名店 2022,https://tabelog.com/saitama/A1101/A110101/11054495/,,https://www.google.com/maps/search/?api=1&query=%E3%81%84%E3%81%97%E3%81%BE%E3%82%8B%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E6%A1%9C%E6%9C%A8%E7%94%BA2-305,35.9069690,139.6181178,2022,寿司 EAST,sushi_east,発表日：2022年6月28日
鮨　あら田,秋田県秋田市新屋扇町5-2,食べログ 寿司 EAST 百名店 2022,https://tabelog.com/akita/A0501/A050101/5000861/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%E3%80%80%E3%81%82%E3%82%89%E7%94%B0%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%A7%8B%E7%94%B0%E5%B8%82%E6%96%B0%E5%B1%8B%E6%89%87%E7%94%BA5-2,39.6818831,140.0861787,2022,寿司 EAST,sushi_east,発表日：2022年6月28日
鮨処 有馬,北海道札幌市中央区南3条西4 南3西4ビル4F,食べログ 寿司 EAST 百名店 2022,https://tabelog.com/hokkaido/A0101/A010102/1000457/,,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%E5%87%A6%20%E6%9C%89%E9%A6%AC%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%973%E6%9D%A1%E8%A5%BF4%20%E5%8D%973%E8%A5%BF4%E3%83%93%E3%83%AB4F,43.0567675,141.3516278,2022,寿司 EAST,sushi_east,発表日：2022年6月28日
すし昇,愛知県名古屋市中区丸の内2-19-19 丸の内ヒルズ 3F,食べログ 寿司 EAST 百名店 2022,https://tabelog.com/aichi/A2301/A230102/23073726/,,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%81%97%E6%98%87%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E4%B8%B8%E3%81%AE%E5%86%852-19-19%20%E4%B8%B8%E3%81%AE%E5%86%85%E3%83%92%E3%83%AB%E3%82%BA%203F,35.1736056,136.9003495,2022,寿司 EAST,sushi_east,発表日：2022年6月28日
