Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
鮨竹,東京都中央区銀座7-6-5 石井紀州屋ビル 4F,食べログ 寿司 TOKYO 百名店 2022,https://tabelog.com/tokyo/A1301/A130101/13169506/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%E7%AB%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-6-5%20%E7%9F%B3%E4%BA%95%E7%B4%80%E5%B7%9E%E5%B1%8B%E3%83%93%E3%83%AB%204F,35.6697840,139.7619544,2022,寿司 TOKYO,sushi_tokyo,発表日：2022年6月28日
麻布十番 秦野よしき,東京都港区麻布十番2-8-6 ラベイユ麻布十番 B2F,食べログ 寿司 TOKYO 百名店 2022,https://tabelog.com/tokyo/A1307/A130702/13158874/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA%20%E7%A7%A6%E9%87%8E%E3%82%88%E3%81%97%E3%81%8D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA2-8-6%20%E3%83%A9%E3%83%99%E3%82%A4%E3%83%A6%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA%20B2F,35.6556472,139.7347257,2022,寿司 TOKYO,sushi_tokyo,発表日：2022年6月28日
鮨 しゅんじ,東京都港区六本木1-4-5 アークヒルズ サウスタワー 1F,食べログ 寿司 TOKYO 百名店 2022,https://tabelog.com/tokyo/A1307/A130701/13246152/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%81%97%E3%82%85%E3%82%93%E3%81%98%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A81-4-5%20%E3%82%A2%E3%83%BC%E3%82%AF%E3%83%92%E3%83%AB%E3%82%BA%20%E3%82%B5%E3%82%A6%E3%82%B9%E3%82%BF%E3%83%AF%E3%83%BC%201F,35.6656089,139.7394450,2022,寿司 TOKYO,sushi_tokyo,発表日：2022年6月28日
鮨 なかむら,東京都港区六本木7-17-16 米久ビル　１Ｆ,食べログ 寿司 TOKYO 百名店 2022,https://tabelog.com/tokyo/A1307/A130701/13003314/,https://tabelog.com/tokyo/A1307/A130701/13003314/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%81%AA%E3%81%8B%E3%82%80%E3%82%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A87-17-16%20%E7%B1%B3%E4%B9%85%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.6623469,139.7294233,2022,寿司 TOKYO,sushi_tokyo,発表日：2022年6月28日
紀尾井町 三谷,東京都千代田区紀尾井町1-2 紀尾井テラス 3F,食べログ 寿司 TOKYO 百名店 2022,https://tabelog.com/tokyo/A1308/A130801/13198197/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E7%B4%80%E5%B0%BE%E4%BA%95%E7%94%BA%20%E4%B8%89%E8%B0%B7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%B4%80%E5%B0%BE%E4%BA%95%E7%94%BA1-2%20%E7%B4%80%E5%B0%BE%E4%BA%95%E3%83%86%E3%83%A9%E3%82%B9%203F,35.6792186,139.7379839,2022,寿司 TOKYO,sushi_tokyo,発表日：2022年6月28日
銀座 鮨 かねさか 本店,東京都中央区銀座8-10-3 三鈴ビル　Ｂ１Ｆ,食べログ 寿司 TOKYO 百名店 2022,https://tabelog.com/tokyo/A1301/A130103/13005003/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%20%E9%AE%A8%20%E3%81%8B%E3%81%AD%E3%81%95%E3%81%8B%20%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-10-3%20%E4%B8%89%E9%88%B4%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,35.6679935,139.7626380,2022,寿司 TOKYO,sushi_tokyo,発表日：2022年6月28日
銀座いち分,東京都中央区銀座2-13-19 銀座アルカビル 1F,食べログ 寿司 TOKYO 百名店 2022,https://tabelog.com/tokyo/A1301/A130101/13209942/,https://tabelog.com/tokyo/A1301/A130101/13209942/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%E3%81%84%E3%81%A1%E5%88%86%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A72-13-19%20%E9%8A%80%E5%BA%A7%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%93%E3%83%AB%201F,35.6719856,139.7701644,2022,寿司 TOKYO,sushi_tokyo,発表日：2022年6月28日
鮨 大地,東京都港区南麻布4-11-27 オリエンタル南麻布 1F,食べログ 寿司 TOKYO 百名店 2022,https://tabelog.com/tokyo/A1307/A130703/13150503/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E5%A4%A7%E5%9C%B0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%BA%BB%E5%B8%834-11-27%20%E3%82%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%AB%E5%8D%97%E9%BA%BB%E5%B8%83%201F,35.6470581,139.7274842,2022,寿司 TOKYO,sushi_tokyo,発表日：2022年6月28日
さき田,東京都三鷹市下連雀1-9-17 Kビル 1F,食べログ 寿司 TOKYO 百名店 2022,https://tabelog.com/tokyo/A1320/A132001/13216828/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%95%E3%81%8D%E7%94%B0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%89%E9%B7%B9%E5%B8%82%E4%B8%8B%E9%80%A3%E9%9B%801-9-17%20K%E3%83%93%E3%83%AB%201F,35.6915587,139.5695345,2022,寿司 TOKYO,sushi_tokyo,発表日：2022年6月28日
鮨 なんば 日比谷,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F,食べログ 寿司 TOKYO 百名店 2022,https://tabelog.com/tokyo/A1301/A130102/13219857/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%81%AA%E3%82%93%E3%81%B0%20%E6%97%A5%E6%AF%94%E8%B0%B7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E6%9C%89%E6%A5%BD%E7%94%BA1-1-2%20%E6%9D%B1%E4%BA%AC%E3%83%9F%E3%83%83%E3%83%89%E3%82%BF%E3%82%A6%E3%83%B3%E6%97%A5%E6%AF%94%E8%B0%B7%203F,35.6741880,139.7593935,2022,寿司 TOKYO,sushi_tokyo,発表日：2022年6月28日
