Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
江戸町 すぎもと,三重県桑名市江戸町25,食べログ 寿司 WEST 百名店 2022,https://tabelog.com/mie/A2402/A240203/24018684/,https://www.google.com/maps/search/?api=1&query=%E6%B1%9F%E6%88%B8%E7%94%BA%20%E3%81%99%E3%81%8E%E3%82%82%E3%81%A8%20%E4%B8%89%E9%87%8D%E7%9C%8C%E6%A1%91%E5%90%8D%E5%B8%82%E6%B1%9F%E6%88%B8%E7%94%BA25,2022,寿司 WEST,sushi_west,発表日：2022年6月28日
寿司 赤酢,大阪府大阪市北区堂島1-3-4 谷安ビル B1F,食べログ 寿司 WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270101/27114022/,https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E5%8F%B8%20%E8%B5%A4%E9%85%A2%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A0%82%E5%B3%B61-3-4%20%E8%B0%B7%E5%AE%89%E3%83%93%E3%83%AB%20B1F,2022,寿司 WEST,sushi_west,発表日：2022年6月28日
寿司 もり田,福岡県北九州市小倉北区魚町2-5-17 インクスポットビル　２Ｆ,食べログ 寿司 WEST 百名店 2022,https://tabelog.com/fukuoka/A4004/A400401/40000408/,https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E5%8F%B8%20%E3%82%82%E3%82%8A%E7%94%B0%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89%E5%8C%97%E5%8C%BA%E9%AD%9A%E7%94%BA2-5-17%20%E3%82%A4%E3%83%B3%E3%82%AF%E3%82%B9%E3%83%9D%E3%83%83%E3%83%88%E3%83%93%E3%83%AB%E3%80%80%EF%BC%92%EF%BC%A6,2022,寿司 WEST,sushi_west,発表日：2022年6月28日
鮨 原正,大阪府大阪市天王寺区上之宮町3-30,食べログ 寿司 WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270205/27104509/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E5%8E%9F%E6%AD%A3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%A4%A9%E7%8E%8B%E5%AF%BA%E5%8C%BA%E4%B8%8A%E4%B9%8B%E5%AE%AE%E7%94%BA3-30,2022,寿司 WEST,sushi_west,発表日：2022年6月28日
鮨 田可尾,福岡県福岡市中央区渡辺通5-15-4 シティパレス南天神 1F,食べログ 寿司 WEST 百名店 2022,https://tabelog.com/fukuoka/A4001/A400103/40000074/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E7%94%B0%E5%8F%AF%E5%B0%BE%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%B8%A1%E8%BE%BA%E9%80%9A5-15-4%20%E3%82%B7%E3%83%86%E3%82%A3%E3%83%91%E3%83%AC%E3%82%B9%E5%8D%97%E5%A4%A9%E7%A5%9E%201F,2022,寿司 WEST,sushi_west,発表日：2022年6月28日
鮨舳,香川県高松市瓦町2-8-17,食べログ 寿司 WEST 百名店 2022,https://tabelog.com/kagawa/A3701/A370101/37000358/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%E8%88%B3%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E7%93%A6%E7%94%BA2-8-17,2022,寿司 WEST,sushi_west,発表日：2022年6月28日
菊鮨,福岡県春日市春日公園3-51-3,食べログ 寿司 WEST 百名店 2022,https://tabelog.com/fukuoka/A4003/A400301/40010675/,https://www.google.com/maps/search/?api=1&query=%E8%8F%8A%E9%AE%A8%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E6%98%A5%E6%97%A5%E5%B8%82%E6%98%A5%E6%97%A5%E5%85%AC%E5%9C%923-51-3,2022,寿司 WEST,sushi_west,発表日：2022年6月28日
松寿司 たにがわ,大阪府大阪市阿倍野区王子町3-13-6,食べログ 寿司 WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270203/27015415/,https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E5%AF%BF%E5%8F%B8%20%E3%81%9F%E3%81%AB%E3%81%8C%E3%82%8F%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E9%98%BF%E5%80%8D%E9%87%8E%E5%8C%BA%E7%8E%8B%E5%AD%90%E7%94%BA3-13-6,2022,寿司 WEST,sushi_west,発表日：2022年6月28日
鮨 唐島,福岡県福岡市中央区赤坂3-1-2 大東ビルⅡ 1F,食べログ 寿司 WEST 百名店 2022,https://tabelog.com/fukuoka/A4001/A400105/40048710/,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E5%94%90%E5%B3%B6%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B5%A4%E5%9D%823-1-2%20%E5%A4%A7%E6%9D%B1%E3%83%93%E3%83%AB%E2%85%A1%201F,2022,寿司 WEST,sushi_west,発表日：2022年6月28日
寿し おおはた,大阪府大阪市北区堂島1-4-8 廣ビル 2F,食べログ 寿司 WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270101/27057420/,https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E3%81%97%20%E3%81%8A%E3%81%8A%E3%81%AF%E3%81%9F%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A0%82%E5%B3%B61-4-8%20%E5%BB%A3%E3%83%93%E3%83%AB%202F,2022,寿司 WEST,sushi_west,発表日：2022年6月28日
