Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
Patisserie JUN UJITA,東京都目黒区碑文谷4-6-6,食べログ スイーツ TOKYO 百名店 2022,https://tabelog.com/tokyo/A1317/A131702/13133033/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=Patisserie%20JUN%20UJITA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E7%A2%91%E6%96%87%E8%B0%B74-6-6,35.6198274,139.6863144,2022,スイーツ TOKYO,sweets_tokyo,発表日：2022年10月20日
パティスリー ユウ ササゲ,東京都世田谷区南烏山6-28-13,食べログ スイーツ TOKYO 百名店 2022,https://tabelog.com/tokyo/A1318/A131809/13155662/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%20%E3%83%A6%E3%82%A6%20%E3%82%B5%E3%82%B5%E3%82%B2%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8D%97%E7%83%8F%E5%B1%B16-28-13,35.6698998,139.5989576,2022,スイーツ TOKYO,sweets_tokyo,発表日：2022年10月20日
パティスリー カーヴァンソン,東京都新宿区筑土八幡町1-2 第３ＮＫビル 1Ｆ,食べログ スイーツ TOKYO 百名店 2022,https://tabelog.com/tokyo/A1309/A130905/13035194/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%20%E3%82%AB%E3%83%BC%E3%83%B4%E3%82%A1%E3%83%B3%E3%82%BD%E3%83%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%AD%91%E5%9C%9F%E5%85%AB%E5%B9%A1%E7%94%BA1-2%20%E7%AC%AC%EF%BC%93%EF%BC%AE%EF%BC%AB%E3%83%93%E3%83%AB%201%EF%BC%A6,35.7038914,139.7411914,2022,スイーツ TOKYO,sweets_tokyo,発表日：2022年10月20日
レ・カカオ 本店,東京都品川区東五反田2-19-2 第2東都ビル 1F,食べログ スイーツ TOKYO 百名店 2022,https://tabelog.com/tokyo/A1316/A131603/13203619/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%83%BB%E3%82%AB%E3%82%AB%E3%82%AA%20%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%93%81%E5%B7%9D%E5%8C%BA%E6%9D%B1%E4%BA%94%E5%8F%8D%E7%94%B02-19-2%20%E7%AC%AC2%E6%9D%B1%E9%83%BD%E3%83%93%E3%83%AB%201F,35.6252735,139.7292169,2022,スイーツ TOKYO,sweets_tokyo,発表日：2022年10月20日
ジェラテリア アクオリーナ,東京都目黒区五本木1-11-10,食べログ スイーツ TOKYO 百名店 2022,https://tabelog.com/tokyo/A1317/A131701/13141364/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%82%A7%E3%83%A9%E3%83%86%E3%83%AA%E3%82%A2%20%E3%82%A2%E3%82%AF%E3%82%AA%E3%83%AA%E3%83%BC%E3%83%8A%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E4%BA%94%E6%9C%AC%E6%9C%A81-11-10,35.6380155,139.6910507,2022,スイーツ TOKYO,sweets_tokyo,発表日：2022年10月20日
瑞穂,東京都渋谷区神宮前6-8-7,食べログ スイーツ TOKYO 百名店 2022,https://tabelog.com/tokyo/A1306/A130601/13001154/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E7%91%9E%E7%A9%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D6-8-7,35.6669870,139.7056083,2022,スイーツ TOKYO,sweets_tokyo,発表日：2022年10月20日
ジェラテリア シンチェリータ,東京都杉並区阿佐谷北1-43-7,食べログ スイーツ TOKYO 百名店 2022,https://tabelog.com/tokyo/A1319/A131905/13108556/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%82%A7%E3%83%A9%E3%83%86%E3%83%AA%E3%82%A2%20%E3%82%B7%E3%83%B3%E3%83%81%E3%82%A7%E3%83%AA%E3%83%BC%E3%82%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E9%98%BF%E4%BD%90%E8%B0%B7%E5%8C%971-43-7,35.7093238,139.6346771,2022,スイーツ TOKYO,sweets_tokyo,発表日：2022年10月20日
エシレ・メゾン デュ ブール,東京都千代田区丸の内2-6-1 丸の内ブリックスクエア 1F,食べログ スイーツ TOKYO 百名店 2022,https://tabelog.com/tokyo/A1302/A130201/13096439/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%82%B7%E3%83%AC%E3%83%BB%E3%83%A1%E3%82%BE%E3%83%B3%20%E3%83%87%E3%83%A5%20%E3%83%96%E3%83%BC%E3%83%AB%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E4%B8%B8%E3%81%AE%E5%86%852-6-1%20%E4%B8%B8%E3%81%AE%E5%86%85%E3%83%96%E3%83%AA%E3%83%83%E3%82%AF%E3%82%B9%E3%82%AF%E3%82%A8%E3%82%A2%201F,35.6785789,139.7625414,2022,スイーツ TOKYO,sweets_tokyo,発表日：2022年10月20日
LESS Labo,東京都目黒区三田1-12-25 金子ビル 1F,食べログ スイーツ TOKYO 百名店 2022,https://tabelog.com/tokyo/A1303/A130302/13239458/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=LESS%20Labo%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E4%B8%89%E7%94%B01-12-25%20%E9%87%91%E5%AD%90%E3%83%93%E3%83%AB%201F,35.6420079,139.7121341,2022,スイーツ TOKYO,sweets_tokyo,発表日：2022年10月20日
チリムーロ,東京都渋谷区猿楽町1-3,食べログ スイーツ TOKYO 百名店 2022,https://tabelog.com/tokyo/A1303/A130301/13164533/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%8C%BF%E6%A5%BD%E7%94%BA1-3,35.6536720,139.7051687,2022,スイーツ TOKYO,sweets_tokyo,発表日：2022年10月20日
