Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
天ぷら すず航,東京都中央区日本橋茅場町2-1-14,食べログ 天ぷら 百名店 2022,https://tabelog.com/tokyo/A1302/A130203/13022902/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E3%81%B7%E3%82%89%20%E3%81%99%E3%81%9A%E8%88%AA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B%E8%8C%85%E5%A0%B4%E7%94%BA2-1-14,2022,天ぷら,tempura,発表日：2022年4月12日
お座敷 天婦良 あやめ,愛知県名古屋市中区橘1丁目19-10 メゾン橘　１Ｆ,食べログ 天ぷら 百名店 2022,https://tabelog.com/aichi/A2301/A230105/23031296/,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E5%BA%A7%E6%95%B7%20%E5%A4%A9%E5%A9%A6%E8%89%AF%20%E3%81%82%E3%82%84%E3%82%81%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A9%981%E4%B8%81%E7%9B%AE19-10%20%E3%83%A1%E3%82%BE%E3%83%B3%E6%A9%98%E3%80%80%EF%BC%91%EF%BC%A6,2022,天ぷら,tempura,発表日：2022年4月12日
天ぷら いせ,東京都品川区南大井3-29-8 勝又ビル1F,食べログ 天ぷら 百名店 2022,https://tabelog.com/tokyo/A1315/A131502/13042563/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E3%81%B7%E3%82%89%20%E3%81%84%E3%81%9B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%93%81%E5%B7%9D%E5%8C%BA%E5%8D%97%E5%A4%A7%E4%BA%953-29-8%20%E5%8B%9D%E5%8F%88%E3%83%93%E3%83%AB1F,2022,天ぷら,tempura,発表日：2022年4月12日
しおや,福島県福島市上町2-14,食べログ 天ぷら 百名店 2022,https://tabelog.com/fukushima/A0701/A070101/7010902/,https://www.google.com/maps/search/?api=1&query=%E3%81%97%E3%81%8A%E3%82%84%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%E7%A6%8F%E5%B3%B6%E5%B8%82%E4%B8%8A%E7%94%BA2-14,2022,天ぷら,tempura,発表日：2022年4月12日
天ぷら小泉 たかの,富山県富山市牛島町18-7 アーバンプレイス B1F,食べログ 天ぷら 百名店 2022,https://tabelog.com/toyama/A1601/A160101/16006771/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E3%81%B7%E3%82%89%E5%B0%8F%E6%B3%89%20%E3%81%9F%E3%81%8B%E3%81%AE%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%E5%AF%8C%E5%B1%B1%E5%B8%82%E7%89%9B%E5%B3%B6%E7%94%BA18-7%20%E3%82%A2%E3%83%BC%E3%83%90%E3%83%B3%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%20B1F,2022,天ぷら,tempura,発表日：2022年4月12日
熱々天ぷら 虎之介,熊本県熊本市中央区保田窪1-1-35,食べログ 天ぷら 百名店 2022,https://tabelog.com/kumamoto/A4301/A430101/43012168/,https://www.google.com/maps/search/?api=1&query=%E7%86%B1%E3%80%85%E5%A4%A9%E3%81%B7%E3%82%89%20%E8%99%8E%E4%B9%8B%E4%BB%8B%20%E7%86%8A%E6%9C%AC%E7%9C%8C%E7%86%8A%E6%9C%AC%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%BF%9D%E7%94%B0%E7%AA%AA1-1-35,2022,天ぷら,tempura,発表日：2022年4月12日
なにわ天ぷら 維心,大阪府大阪市北区曽根崎新地1-3-36 竹新ビル 3F,食べログ 天ぷら 百名店 2022,https://tabelog.com/osaka/A2701/A270101/27095310/,https://www.google.com/maps/search/?api=1&query=%E3%81%AA%E3%81%AB%E3%82%8F%E5%A4%A9%E3%81%B7%E3%82%89%20%E7%B6%AD%E5%BF%83%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E%E6%96%B0%E5%9C%B01-3-36%20%E7%AB%B9%E6%96%B0%E3%83%93%E3%83%AB%203F,2022,天ぷら,tempura,発表日：2022年4月12日
てんぷら 山の上 三越日本橋店内,東京都中央区日本橋室町1-4-1 日本橋三越本店 B1F,食べログ 天ぷら 百名店 2022,https://tabelog.com/tokyo/A1302/A130202/13044042/,https://www.google.com/maps/search/?api=1&query=%E3%81%A6%E3%82%93%E3%81%B7%E3%82%89%20%E5%B1%B1%E3%81%AE%E4%B8%8A%20%E4%B8%89%E8%B6%8A%E6%97%A5%E6%9C%AC%E6%A9%8B%E5%BA%97%E5%86%85%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B%E5%AE%A4%E7%94%BA1-4-1%20%E6%97%A5%E6%9C%AC%E6%A9%8B%E4%B8%89%E8%B6%8A%E6%9C%AC%E5%BA%97%20B1F,2022,天ぷら,tempura,発表日：2022年4月12日
天一坊,神奈川県平塚市龍城ケ丘8-3,食べログ 天ぷら 百名店 2022,https://tabelog.com/kanagawa/A1404/A140407/14024267/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E4%B8%80%E5%9D%8A%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B9%B3%E5%A1%9A%E5%B8%82%E9%BE%8D%E5%9F%8E%E3%82%B1%E4%B8%988-3,2022,天ぷら,tempura,発表日：2022年4月12日
天冨良 天美,静岡県伊東市十足615-150,食べログ 天ぷら 百名店 2022,https://tabelog.com/shizuoka/A2205/A220503/22003207/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E5%86%A8%E8%89%AF%20%E5%A4%A9%E7%BE%8E%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E4%BC%8A%E6%9D%B1%E5%B8%82%E5%8D%81%E8%B6%B3615-150,2022,天ぷら,tempura,発表日：2022年4月12日
