Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
とんかつ あづま,栃木県日光市平ケ崎306-1,食べログ とんかつ 百名店 2022,https://tabelog.com/tochigi/A0903/A090302/9000137/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%81%82%E3%81%A5%E3%81%BE%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E6%97%A5%E5%85%89%E5%B8%82%E5%B9%B3%E3%82%B1%E5%B4%8E306-1,36.7222012,139.6797825,2022,とんかつ,tonkatsu,発表日：2022年6月7日
かつ丼多勝,秋田県秋田市新屋朝日町12-14,食べログ とんかつ 百名店 2022,https://tabelog.com/akita/A0501/A050101/5008061/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%A4%E4%B8%BC%E5%A4%9A%E5%8B%9D%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%A7%8B%E7%94%B0%E5%B8%82%E6%96%B0%E5%B1%8B%E6%9C%9D%E6%97%A5%E7%94%BA12-14,39.7003765,140.0864118,2022,とんかつ,tonkatsu,発表日：2022年6月7日
とんＱ,神奈川県川崎市川崎区宮本町5-2,食べログ とんかつ 百名店 2022,https://tabelog.com/kanagawa/A1405/A140501/14004581/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%EF%BC%B1%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E5%B7%9D%E5%B4%8E%E5%8C%BA%E5%AE%AE%E6%9C%AC%E7%94%BA5-2,35.5312602,139.7039309,2022,とんかつ,tonkatsu,発表日：2022年6月7日
とんかつ ひやま,栃木県宇都宮市若松原2-2-7,食べログ とんかつ 百名店 2022,https://tabelog.com/tochigi/A0901/A090101/9000141/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%81%B2%E3%82%84%E3%81%BE%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E8%8B%A5%E6%9D%BE%E5%8E%9F2-2-7,36.5027741,139.8665407,2022,とんかつ,tonkatsu,発表日：2022年6月7日
とんかつ瓢,千葉県柏市旭町2-2-2 第一松崎ビル 1F,食べログ とんかつ 百名店 2022,https://tabelog.com/chiba/A1203/A120301/12038382/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E7%93%A2%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%9F%8F%E5%B8%82%E6%97%AD%E7%94%BA2-2-2%20%E7%AC%AC%E4%B8%80%E6%9D%BE%E5%B4%8E%E3%83%93%E3%83%AB%201F,35.8601885,139.9678416,2022,とんかつ,tonkatsu,発表日：2022年6月7日
とんかつ よしだ,福岡県福岡市中央区谷1-13-20,食べログ とんかつ 百名店 2022,https://tabelog.com/fukuoka/A4001/A400105/40055414/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%82%88%E3%81%97%E3%81%A0%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B0%B71-13-20,33.5776319,130.3792843,2022,とんかつ,tonkatsu,発表日：2022年6月7日
丸一,東京都大田区大森北1-7-2,食べログ とんかつ 百名店 2022,https://tabelog.com/tokyo/A1315/A131502/13003332/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%B8%E4%B8%80%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A4%A7%E7%94%B0%E5%8C%BA%E5%A4%A7%E6%A3%AE%E5%8C%971-7-2,35.5873558,139.7274216,2022,とんかつ,tonkatsu,発表日：2022年6月7日
とんかつ ゆたか,東京都台東区浅草1-15-9,食べログ とんかつ 百名店 2022,https://tabelog.com/tokyo/A1311/A131102/13003669/,https://tabelog.com/tokyo/A1311/A131102/13003669/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%82%86%E3%81%9F%E3%81%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E6%B5%85%E8%8D%891-15-9,35.7117767,139.7940792,2022,とんかつ,tonkatsu,発表日：2022年6月7日
かつ吉 野庵,茨城県守谷市本町3467-5,食べログ とんかつ 百名店 2022,https://tabelog.com/ibaraki/A0803/A080301/8000050/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%A4%E5%90%89%20%E9%87%8E%E5%BA%B5%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E5%AE%88%E8%B0%B7%E5%B8%82%E6%9C%AC%E7%94%BA3467-5,35.9314226,140.0062525,2022,とんかつ,tonkatsu,発表日：2022年6月7日
福よし,群馬県館林市緑町2-22-8,食べログ とんかつ 百名店 2022,https://tabelog.com/gunma/A1002/A100204/10000922/,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E3%82%88%E3%81%97%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%E9%A4%A8%E6%9E%97%E5%B8%82%E7%B7%91%E7%94%BA2-22-8,36.2368363,139.5373085,2022,とんかつ,tonkatsu,発表日：2022年6月7日
とんかつ かつせい,宮城県仙台市青葉区北目町7-25,食べログ とんかつ 百名店 2022,https://tabelog.com/miyagi/A0401/A040101/4000211/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%81%8B%E3%81%A4%E3%81%9B%E3%81%84%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E5%8C%97%E7%9B%AE%E7%94%BA7-25,38.2537666,140.8776529,2022,とんかつ,tonkatsu,発表日：2022年6月7日
とんかつ とみた,千葉県松戸市松戸1177 マチビル 2F,食べログ とんかつ 百名店 2022,https://tabelog.com/chiba/A1203/A120302/12051667/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%81%A8%E3%81%BF%E3%81%9F%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%9D%BE%E6%88%B8%E5%B8%82%E6%9D%BE%E6%88%B81177%20%E3%83%9E%E3%83%81%E3%83%93%E3%83%AB%202F,35.7841763,139.9018507,2022,とんかつ,tonkatsu,発表日：2022年6月7日
とんかつ いそ,茨城県龍ケ崎市川原代町1967,食べログ とんかつ 百名店 2022,https://tabelog.com/ibaraki/A0803/A080302/8002416/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E3%81%84%E3%81%9D%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E9%BE%8D%E3%82%B1%E5%B4%8E%E5%B8%82%E5%B7%9D%E5%8E%9F%E4%BB%A3%E7%94%BA1967,35.9155867,140.1590152,2022,とんかつ,tonkatsu,発表日：2022年6月7日
とんかつ 栄ちゃん,千葉県船橋市葛飾町2-446,食べログ とんかつ 百名店 2022,https://tabelog.com/chiba/A1202/A120201/12018839/,,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%20%E6%A0%84%E3%81%A1%E3%82%83%E3%82%93%20%E5%8D%83%E8%91%89%E7%9C%8C%E8%88%B9%E6%A9%8B%E5%B8%82%E8%91%9B%E9%A3%BE%E7%94%BA2-446,35.7062314,139.9547668,2022,とんかつ,tonkatsu,発表日：2022年6月7日
水塩土菜 本店,静岡県静岡市葵区相生町6-22,食べログ とんかつ 百名店 2022,https://tabelog.com/shizuoka/A2201/A220101/22014897/,,https://www.google.com/maps/search/?api=1&query=%E6%B0%B4%E5%A1%A9%E5%9C%9F%E8%8F%9C%20%E6%9C%AC%E5%BA%97%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA%E7%9B%B8%E7%94%9F%E7%94%BA6-22,34.9782403,138.3911132,2022,とんかつ,tonkatsu,発表日：2022年6月7日
ポンチ軒,群馬県高崎市栄町12-3,食べログ とんかつ 百名店 2022,https://tabelog.com/gunma/A1001/A100102/10018332/,https://tabelog.com/gunma/A1001/A100102/10018332/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%9D%E3%83%B3%E3%83%81%E8%BB%92%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%E9%AB%98%E5%B4%8E%E5%B8%82%E6%A0%84%E7%94%BA12-3,36.3213243,139.0161936,2022,とんかつ,tonkatsu,発表日：2022年6月7日
