Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
讃州手打ちうどん 我龍,愛知県西尾市下羽角町六反60-1,食べログ うどん EAST 百名店 2022,https://tabelog.com/aichi/A2305/A230504/23032890/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%AE%83%E5%B7%9E%E6%89%8B%E6%89%93%E3%81%A1%E3%81%86%E3%81%A9%E3%82%93%20%E6%88%91%E9%BE%8D%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E8%A5%BF%E5%B0%BE%E5%B8%82%E4%B8%8B%E7%BE%BD%E8%A7%92%E7%94%BA%E5%85%AD%E5%8F%8D60-1,34.8807111,137.1199418,2022,うどん EAST,udon_east,発表日：2022年3月15日
五島うどん びぜん家,東京都小金井市本町6-9-42,食べログ うどん EAST 百名店 2022,https://tabelog.com/tokyo/A1325/A132501/13126103/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E4%BA%94%E5%B3%B6%E3%81%86%E3%81%A9%E3%82%93%20%E3%81%B3%E3%81%9C%E3%82%93%E5%AE%B6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82%E6%9C%AC%E7%94%BA6-9-42,35.6997707,139.5037072,2022,うどん EAST,udon_east,発表日：2022年3月15日
おにやんま 五反田本店,東京都品川区西五反田1-6-3,食べログ うどん EAST 百名店 2022,https://tabelog.com/tokyo/A1316/A131603/13111869/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E3%81%AB%E3%82%84%E3%82%93%E3%81%BE%20%E4%BA%94%E5%8F%8D%E7%94%B0%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%93%81%E5%B7%9D%E5%8C%BA%E8%A5%BF%E4%BA%94%E5%8F%8D%E7%94%B01-6-3,35.6254350,139.7239613,2022,うどん EAST,udon_east,発表日：2022年3月15日
太常うどん 銀座本店,東京都中央区銀座7-15-17 だいつねビル１階,食べログ うどん EAST 百名店 2022,https://tabelog.com/tokyo/A1301/A130101/13104580/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%A4%AA%E5%B8%B8%E3%81%86%E3%81%A9%E3%82%93%20%E9%8A%80%E5%BA%A7%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-15-17%20%E3%81%A0%E3%81%84%E3%81%A4%E3%81%AD%E3%83%93%E3%83%AB%EF%BC%91%E9%9A%8E,35.6673370,139.7652829,2022,うどん EAST,udon_east,発表日：2022年3月15日
讃岐うどん いそや,東京都八王子市元横山町2-1-14 中島ビル　１Ｆ,食べログ うどん EAST 百名店 2022,https://tabelog.com/tokyo/A1329/A132904/13022380/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%AE%83%E5%B2%90%E3%81%86%E3%81%A9%E3%82%93%20%E3%81%84%E3%81%9D%E3%82%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B8%82%E5%85%83%E6%A8%AA%E5%B1%B1%E7%94%BA2-1-14%20%E4%B8%AD%E5%B3%B6%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.6613532,139.3397343,2022,うどん EAST,udon_east,発表日：2022年3月15日
讃岐うどん いわい,東京都北区上十条3-28-7,食べログ うどん EAST 百名店 2022,https://tabelog.com/tokyo/A1323/A132304/13141130/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%AE%83%E5%B2%90%E3%81%86%E3%81%A9%E3%82%93%20%E3%81%84%E3%82%8F%E3%81%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8C%97%E5%8C%BA%E4%B8%8A%E5%8D%81%E6%9D%A13-28-7,35.7615402,139.7188766,2022,うどん EAST,udon_east,発表日：2022年3月15日
谷や,東京都中央区日本橋人形町2-15-17 １階,食べログ うどん EAST 百名店 2022,https://tabelog.com/tokyo/A1302/A130204/13114085/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%B0%B7%E3%82%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B%E4%BA%BA%E5%BD%A2%E7%94%BA2-15-17%20%EF%BC%91%E9%9A%8E,35.6846371,139.7857165,2022,うどん EAST,udon_east,発表日：2022年3月15日
うちたて家,東京都豊島区南池袋3-13-17,食べログ うどん EAST 百名店 2022,https://tabelog.com/tokyo/A1305/A130501/13003889/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A1%E3%81%9F%E3%81%A6%E5%AE%B6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E5%8D%97%E6%B1%A0%E8%A2%8B3-13-17,35.7261571,139.7126639,2022,うどん EAST,udon_east,発表日：2022年3月15日
おにやんま 東品川店,東京都品川区東品川4-1-20,食べログ うどん EAST 百名店 2022,https://tabelog.com/tokyo/A1315/A131501/13142095/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E3%81%AB%E3%82%84%E3%82%93%E3%81%BE%20%E6%9D%B1%E5%93%81%E5%B7%9D%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%93%81%E5%B7%9D%E5%8C%BA%E6%9D%B1%E5%93%81%E5%B7%9D4-1-20,35.6108593,139.7453442,2022,うどん EAST,udon_east,発表日：2022年3月15日
めん専門店 味良,愛知県名古屋市北区川中町4-3,食べログ うどん EAST 百名店 2022,https://tabelog.com/aichi/A2301/A230110/23013430/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%81%E3%82%93%E5%B0%82%E9%96%80%E5%BA%97%20%E5%91%B3%E8%89%AF%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8C%97%E5%8C%BA%E5%B7%9D%E4%B8%AD%E7%94%BA4-3,35.2123502,136.9110144,2022,うどん EAST,udon_east,発表日：2022年3月15日
みうらうどん,山梨県富士吉田市下吉田1-22-5,食べログ うどん EAST 百名店 2022,https://tabelog.com/yamanashi/A1903/A190301/19000359/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%81%86%E3%82%89%E3%81%86%E3%81%A9%E3%82%93%20%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%AF%8C%E5%A3%AB%E5%90%89%E7%94%B0%E5%B8%82%E4%B8%8B%E5%90%89%E7%94%B01-22-5,35.4945580,138.8089608,2022,うどん EAST,udon_east,発表日：2022年3月15日
