Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
極浄うどん うだま,大阪府大阪市北区梅田1-1-3 大阪駅前第3ビル B1F,食べログ うどん WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270101/27056300/,https://www.google.com/maps/search/?api=1&query=%E6%A5%B5%E6%B5%84%E3%81%86%E3%81%A9%E3%82%93%20%E3%81%86%E3%81%A0%E3%81%BE%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%A2%85%E7%94%B01-1-3%20%E5%A4%A7%E9%98%AA%E9%A7%85%E5%89%8D%E7%AC%AC3%E3%83%93%E3%83%AB%20B1F,34.6986263,135.4996506,2022,うどん WEST,udon_west,発表日：2022年3月15日
山元麺蔵,京都府京都市左京区岡崎南御所町34,食べログ うどん WEST 百名店 2022,https://tabelog.com/kyoto/A2601/A260301/26002504/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E5%85%83%E9%BA%BA%E8%94%B5%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E5%B2%A1%E5%B4%8E%E5%8D%97%E5%BE%A1%E6%89%80%E7%94%BA34,35.0142736,135.7848164,2022,うどん WEST,udon_west,発表日：2022年3月15日
日の出製麺所,香川県坂出市富士見町1-8-5,食べログ うどん WEST 百名店 2022,https://tabelog.com/kagawa/A3702/A370201/37000016/,https://www.google.com/maps/search/?api=1&query=%E6%97%A5%E3%81%AE%E5%87%BA%E8%A3%BD%E9%BA%BA%E6%89%80%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E5%9D%82%E5%87%BA%E5%B8%82%E5%AF%8C%E5%A3%AB%E8%A6%8B%E7%94%BA1-8-5,34.3103630,133.8501719,2022,うどん WEST,udon_west,発表日：2022年3月15日
うどん 蔵十,大阪府大阪市旭区中宮1-12-18,食べログ うどん WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270304/27000719/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A9%E3%82%93%20%E8%94%B5%E5%8D%81%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%97%AD%E5%8C%BA%E4%B8%AD%E5%AE%AE1-12-18,34.7217295,135.5435316,2022,うどん WEST,udon_west,発表日：2022年3月15日
三好うどん,香川県三豊市高瀬町比地1583-1,食べログ うどん WEST 百名店 2022,https://tabelog.com/kagawa/A3703/A370303/37008190/,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E5%A5%BD%E3%81%86%E3%81%A9%E3%82%93%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E4%B8%89%E8%B1%8A%E5%B8%82%E9%AB%98%E7%80%AC%E7%94%BA%E6%AF%94%E5%9C%B01583-1,34.1823468,133.6923284,2022,うどん WEST,udon_west,発表日：2022年3月15日
マルタニ製麺,香川県高松市円座町1023-1,食べログ うどん WEST 百名店 2022,https://tabelog.com/kagawa/A3701/A370101/37000378/,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%AB%E3%82%BF%E3%83%8B%E8%A3%BD%E9%BA%BA%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E5%86%86%E5%BA%A7%E7%94%BA1023-1,34.2893719,134.0114013,2022,うどん WEST,udon_west,発表日：2022年3月15日
讃岐うどん がもう,香川県坂出市加茂町420-1,食べログ うどん WEST 百名店 2022,https://tabelog.com/kagawa/A3702/A370201/37000019/,https://www.google.com/maps/search/?api=1&query=%E8%AE%83%E5%B2%90%E3%81%86%E3%81%A9%E3%82%93%20%E3%81%8C%E3%82%82%E3%81%86%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E5%9D%82%E5%87%BA%E5%B8%82%E5%8A%A0%E8%8C%82%E7%94%BA420-1,34.3049754,133.9148841,2022,うどん WEST,udon_west,発表日：2022年3月15日
中西うどん,香川県高松市鹿角町899-3,食べログ うどん WEST 百名店 2022,https://tabelog.com/kagawa/A3701/A370101/37000040/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%A5%BF%E3%81%86%E3%81%A9%E3%82%93%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%AB%98%E6%9D%BE%E5%B8%82%E9%B9%BF%E8%A7%92%E7%94%BA899-3,34.3023630,134.0292015,2022,うどん WEST,udon_west,発表日：2022年3月15日
釜ひろ,大阪府大阪市東住吉区山坂5-2-27 ジョイフル鶴が丘　１F,食べログ うどん WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270405/27011913/,https://www.google.com/maps/search/?api=1&query=%E9%87%9C%E3%81%B2%E3%82%8D%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%9D%B1%E4%BD%8F%E5%90%89%E5%8C%BA%E5%B1%B1%E5%9D%825-2-27%20%E3%82%B8%E3%83%A7%E3%82%A4%E3%83%95%E3%83%AB%E9%B6%B4%E3%81%8C%E4%B8%98%E3%80%80%EF%BC%91F,34.6176797,135.5172815,2022,うどん WEST,udon_west,発表日：2022年3月15日
讃岐うどん 白庵,大阪府大阪市淀川区新高6-12-7 三和マンション 1F,食べログ うどん WEST 百名店 2022,https://tabelog.com/osaka/A2701/A270302/27014852/,https://www.google.com/maps/search/?api=1&query=%E8%AE%83%E5%B2%90%E3%81%86%E3%81%A9%E3%82%93%20%E7%99%BD%E5%BA%B5%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B7%80%E5%B7%9D%E5%8C%BA%E6%96%B0%E9%AB%986-12-7%20%E4%B8%89%E5%92%8C%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%201F,34.7319762,135.4737120,2022,うどん WEST,udon_west,発表日：2022年3月15日
