Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
イチビキ,愛知県名古屋市中村区名駅南1-3-16,食べログ うなぎ 百名店 2022,https://tabelog.com/aichi/A2301/A230101/23001379/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%83%81%E3%83%93%E3%82%AD%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%85%E5%8D%971-3-16,35.1678746,136.8909101,2022,うなぎ,unagi,発表日：2022年7月12日
ちか定,滋賀県大津市玉野浦7-4,食べログ うなぎ 百名店 2022,https://tabelog.com/shiga/A2501/A250101/25000697/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%A1%E3%81%8B%E5%AE%9A%20%E6%BB%8B%E8%B3%80%E7%9C%8C%E5%A4%A7%E6%B4%A5%E5%B8%82%E7%8E%89%E9%87%8E%E6%B5%A67-4,34.9806793,135.9088342,2022,うなぎ,unagi,発表日：2022年7月12日
川蝉,栃木県宇都宮市大通り5-1-19,食べログ うなぎ 百名店 2022,https://tabelog.com/tochigi/A0901/A090101/9000024/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%B7%9D%E8%9D%89%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E5%A4%A7%E9%80%9A%E3%82%8A5-1-19,36.5613549,139.8921114,2022,うなぎ,unagi,発表日：2022年7月12日
日本橋いづもや,東京都中央区日本橋本石町3-3-4,食べログ うなぎ 百名店 2022,https://tabelog.com/tokyo/A1302/A130202/13011198/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%97%A5%E6%9C%AC%E6%A9%8B%E3%81%84%E3%81%A5%E3%82%82%E3%82%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B%E6%9C%AC%E7%9F%B3%E7%94%BA3-3-4,35.6878299,139.7709644,2022,うなぎ,unagi,発表日：2022年7月12日
ぬりや 泉町大通り,茨城県水戸市泉町3-1-31,食べログ うなぎ 百名店 2022,https://tabelog.com/ibaraki/A0801/A080101/8001191/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%AC%E3%82%8A%E3%82%84%20%E6%B3%89%E7%94%BA%E5%A4%A7%E9%80%9A%E3%82%8A%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E6%B0%B4%E6%88%B8%E5%B8%82%E6%B3%89%E7%94%BA3-1-31,36.3791654,140.4619102,2022,うなぎ,unagi,発表日：2022年7月12日
入谷鬼子母神門前のだや,東京都台東区下谷2-3-1,食べログ うなぎ 百名店 2022,https://tabelog.com/tokyo/A1311/A131104/13152282/,https://tabelog.com/tokyo/A1311/A131104/13152282/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%85%A5%E8%B0%B7%E9%AC%BC%E5%AD%90%E6%AF%8D%E7%A5%9E%E9%96%80%E5%89%8D%E3%81%AE%E3%81%A0%E3%82%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E4%B8%8B%E8%B0%B72-3-1,35.7202956,139.7830919,2022,うなぎ,unagi,発表日：2022年7月12日
はし本,東京都文京区水道2-5-7,食べログ うなぎ 百名店 2022,https://tabelog.com/tokyo/A1309/A130905/13018616/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%AF%E3%81%97%E6%9C%AC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E6%B0%B4%E9%81%932-5-7,35.7093662,139.7363541,2022,うなぎ,unagi,発表日：2022年7月12日
うなぎの若林 大塚店,宮崎県宮崎市大塚町天神後2668,食べログ うなぎ 百名店 2022,https://tabelog.com/miyazaki/A4501/A450101/45003973/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%E3%81%AE%E8%8B%A5%E6%9E%97%20%E5%A4%A7%E5%A1%9A%E5%BA%97%20%E5%AE%AE%E5%B4%8E%E7%9C%8C%E5%AE%AE%E5%B4%8E%E5%B8%82%E5%A4%A7%E5%A1%9A%E7%94%BA%E5%A4%A9%E7%A5%9E%E5%BE%8C2668,31.9148203,131.3926735,2022,うなぎ,unagi,発表日：2022年7月12日
うなぎの美鶴,鹿児島県鹿児島市下福元町3573-4,食べログ うなぎ 百名店 2022,https://tabelog.com/kagoshima/A4601/A460101/46003010/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%E3%81%AE%E7%BE%8E%E9%B6%B4%20%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82%E4%B8%8B%E7%A6%8F%E5%85%83%E7%94%BA3573-4,31.5104814,130.4937513,2022,うなぎ,unagi,発表日：2022年7月12日
初小川,東京都台東区雷門2-8-4,食べログ うなぎ 百名店 2022,https://tabelog.com/tokyo/A1311/A131102/13003702/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%88%9D%E5%B0%8F%E5%B7%9D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E9%9B%B7%E9%96%802-8-4,35.7097639,139.7945365,2022,うなぎ,unagi,発表日：2022年7月12日
