Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
焼肉ハウス大滝,神奈川県横浜市中区南仲通3-35 横浜エクセレント３　１Ｆ,食べログ 焼肉 EAST 百名店 2022,https://tabelog.com/kanagawa/A1401/A140104/14014394/,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%E3%83%8F%E3%82%A6%E3%82%B9%E5%A4%A7%E6%BB%9D%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%8D%97%E4%BB%B2%E9%80%9A3-35%20%E6%A8%AA%E6%B5%9C%E3%82%A8%E3%82%AF%E3%82%BB%E3%83%AC%E3%83%B3%E3%83%88%EF%BC%93%E3%80%80%EF%BC%91%EF%BC%A6,2022,焼肉 EAST,yakiniku_east,発表日：2022年8月23日
肉の匠 将泰庵 船橋駅前 はなれ店,千葉県船橋市本町4-3-5 大西園ビル 1・2F,食べログ 焼肉 EAST 百名店 2022,https://tabelog.com/chiba/A1202/A120201/12032975/,https://www.google.com/maps/search/?api=1&query=%E8%82%89%E3%81%AE%E5%8C%A0%20%E5%B0%86%E6%B3%B0%E5%BA%B5%20%E8%88%B9%E6%A9%8B%E9%A7%85%E5%89%8D%20%E3%81%AF%E3%81%AA%E3%82%8C%E5%BA%97%20%E5%8D%83%E8%91%89%E7%9C%8C%E8%88%B9%E6%A9%8B%E5%B8%82%E6%9C%AC%E7%94%BA4-3-5%20%E5%A4%A7%E8%A5%BF%E5%9C%92%E3%83%93%E3%83%AB%201%E3%83%BB2F,2022,焼肉 EAST,yakiniku_east,発表日：2022年8月23日
PORKMAN,愛知県名古屋市中区新栄2-22-8,食べログ 焼肉 EAST 百名店 2022,https://tabelog.com/aichi/A2301/A230104/23059965/,https://www.google.com/maps/search/?api=1&query=PORKMAN%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%96%B0%E6%A0%842-22-8,2022,焼肉 EAST,yakiniku_east,発表日：2022年8月23日
昇家 池下向陽荘店,愛知県名古屋市千種区向陽1-12-12,食べログ 焼肉 EAST 百名店 2022,https://tabelog.com/aichi/A2301/A230106/23005795/,https://www.google.com/maps/search/?api=1&query=%E6%98%87%E5%AE%B6%20%E6%B1%A0%E4%B8%8B%E5%90%91%E9%99%BD%E8%8D%98%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E5%90%91%E9%99%BD1-12-12,2022,焼肉 EAST,yakiniku_east,発表日：2022年8月23日
焼肉レストラン慶州,新潟県上越市春日野1-6-1,食べログ 焼肉 EAST 百名店 2022,https://tabelog.com/niigata/A1503/A150301/15001647/,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E6%85%B6%E5%B7%9E%20%E6%96%B0%E6%BD%9F%E7%9C%8C%E4%B8%8A%E8%B6%8A%E5%B8%82%E6%98%A5%E6%97%A5%E9%87%8E1-6-1,2022,焼肉 EAST,yakiniku_east,発表日：2022年8月23日
牛亭,愛知県名古屋市東区泉2-26-5,食べログ 焼肉 EAST 百名店 2022,https://tabelog.com/aichi/A2301/A230104/23012215/,https://www.google.com/maps/search/?api=1&query=%E7%89%9B%E4%BA%AD%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E6%B3%892-26-5,2022,焼肉 EAST,yakiniku_east,発表日：2022年8月23日
丸明 飛騨高山店,岐阜県高山市天満町6-8-1,食べログ 焼肉 EAST 百名店 2022,https://tabelog.com/gifu/A2104/A210401/21000041/,https://www.google.com/maps/search/?api=1&query=%E4%B8%B8%E6%98%8E%20%E9%A3%9B%E9%A8%A8%E9%AB%98%E5%B1%B1%E5%BA%97%20%E5%B2%90%E9%98%9C%E7%9C%8C%E9%AB%98%E5%B1%B1%E5%B8%82%E5%A4%A9%E6%BA%80%E7%94%BA6-8-1,2022,焼肉 EAST,yakiniku_east,発表日：2022年8月23日
ほるもん猿,秋田県秋田市中通り6-12-13,食べログ 焼肉 EAST 百名店 2022,https://tabelog.com/akita/A0501/A050101/5004381/,https://www.google.com/maps/search/?api=1&query=%E3%81%BB%E3%82%8B%E3%82%82%E3%82%93%E7%8C%BF%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%A7%8B%E7%94%B0%E5%B8%82%E4%B8%AD%E9%80%9A%E3%82%8A6-12-13,2022,焼肉 EAST,yakiniku_east,発表日：2022年8月23日
焼肉や 大善,愛知県知立市上重原2-26,食べログ 焼肉 EAST 百名店 2022,https://tabelog.com/aichi/A2305/A230503/23003688/,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%E3%82%84%20%E5%A4%A7%E5%96%84%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E7%9F%A5%E7%AB%8B%E5%B8%82%E4%B8%8A%E9%87%8D%E5%8E%9F2-26,2022,焼肉 EAST,yakiniku_east,発表日：2022年8月23日
勢太,愛知県名古屋市北区清水3-11-19,食べログ 焼肉 EAST 百名店 2022,https://tabelog.com/aichi/A2301/A230110/23052179/,https://www.google.com/maps/search/?api=1&query=%E5%8B%A2%E5%A4%AA%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8C%97%E5%8C%BA%E6%B8%85%E6%B0%B43-11-19,2022,焼肉 EAST,yakiniku_east,発表日：2022年8月23日
