Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
韓国風ろばた高麗房,大分県別府市元町5-8,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/oita/A4402/A440202/44003850/,https://www.google.com/maps/search/?api=1&query=%E9%9F%93%E5%9B%BD%E9%A2%A8%E3%82%8D%E3%81%B0%E3%81%9F%E9%AB%98%E9%BA%97%E6%88%BF%20%E5%A4%A7%E5%88%86%E7%9C%8C%E5%88%A5%E5%BA%9C%E5%B8%82%E5%85%83%E7%94%BA5-8,33.2775883,131.5039739,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
スリランカくまもと,熊本県熊本市中央区下通1-4-3 熊本ビル 2F,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/kumamoto/A4301/A430101/43001132/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%AA%E3%83%A9%E3%83%B3%E3%82%AB%E3%81%8F%E3%81%BE%E3%82%82%E3%81%A8%20%E7%86%8A%E6%9C%AC%E7%9C%8C%E7%86%8A%E6%9C%AC%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%8B%E9%80%9A1-4-3%20%E7%86%8A%E6%9C%AC%E3%83%93%E3%83%AB%202F,32.8020476,130.7078889,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
芭李呑,福岡県福岡市博多区住吉5-14-15 サンエール住吉1F,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/fukuoka/A4001/A400103/40017763/,https://www.google.com/maps/search/?api=1&query=%E8%8A%AD%E6%9D%8E%E5%91%91%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E5%8D%9A%E5%A4%9A%E5%8C%BA%E4%BD%8F%E5%90%895-14-15%20%E3%82%B5%E3%83%B3%E3%82%A8%E3%83%BC%E3%83%AB%E4%BD%8F%E5%90%891F,33.5822241,130.4143999,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
峠,福岡県北九州市小倉北区赤坂3-10-5,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/fukuoka/A4004/A400401/40000399/,https://www.google.com/maps/search/?api=1&query=%E5%B3%A0%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89%E5%8C%97%E5%8C%BA%E8%B5%A4%E5%9D%823-10-5,33.8867476,130.9108338,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
ドゥワンチャン,福岡県糸島市二丈深江2129-18,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/fukuoka/A4009/A400901/40034145/,https://www.google.com/maps/search/?api=1&query=%E3%83%89%E3%82%A5%E3%83%AF%E3%83%B3%E3%83%81%E3%83%A3%E3%83%B3%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%B3%B8%E5%B3%B6%E5%B8%82%E4%BA%8C%E4%B8%88%E6%B7%B1%E6%B1%9F2129-18,33.5121502,130.1293516,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
清香園,愛媛県松山市三番町2-5-12,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/ehime/A3801/A380101/38006486/,https://www.google.com/maps/search/?api=1&query=%E6%B8%85%E9%A6%99%E5%9C%92%20%E6%84%9B%E5%AA%9B%E7%9C%8C%E6%9D%BE%E5%B1%B1%E5%B8%82%E4%B8%89%E7%95%AA%E7%94%BA2-5-12,33.8379080,132.7708472,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
市房食堂,熊本県球磨郡錦町一武2111,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/kumamoto/A4304/A430404/43003119/,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E6%88%BF%E9%A3%9F%E5%A0%82%20%E7%86%8A%E6%9C%AC%E7%9C%8C%E7%90%83%E7%A3%A8%E9%83%A1%E9%8C%A6%E7%94%BA%E4%B8%80%E6%AD%A62111,32.1992498,130.8437689,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
106 サウスインディアン 福岡天神店,福岡県福岡市中央区今泉1-17-14 IMAIZUMI二十四節季ビル 1F,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/fukuoka/A4001/A400103/40041110/,https://www.google.com/maps/search/?api=1&query=106%20%E3%82%B5%E3%82%A6%E3%82%B9%E3%82%A4%E3%83%B3%E3%83%87%E3%82%A3%E3%82%A2%E3%83%B3%20%E7%A6%8F%E5%B2%A1%E5%A4%A9%E7%A5%9E%E5%BA%97%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%BB%8A%E6%B3%891-17-14%20IMAIZUMI%E4%BA%8C%E5%8D%81%E5%9B%9B%E7%AF%80%E5%AD%A3%E3%83%93%E3%83%AB%201F,33.5861272,130.3986413,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
チャイハナ海花,大分県豊後高田市臼野3332-1,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/oita/A4403/A440301/44007113/,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%83%A3%E3%82%A4%E3%83%8F%E3%83%8A%E6%B5%B7%E8%8A%B1%20%E5%A4%A7%E5%88%86%E7%9C%8C%E8%B1%8A%E5%BE%8C%E9%AB%98%E7%94%B0%E5%B8%82%E8%87%BC%E9%87%8E3332-1,33.6362086,131.4852089,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
インドスパイス BAR 宇宙脳レストラン チチル&シシリ,福岡県福岡市中央区六本松2-2-8 1F,食べログ アジア・エスニック WEST 百名店 2022,https://tabelog.com/fukuoka/A4001/A400105/40034999/,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%83%B3%E3%83%89%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%20BAR%20%E5%AE%87%E5%AE%99%E8%84%B3%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%83%81%E3%83%81%E3%83%AB%26%E3%82%B7%E3%82%B7%E3%83%AA%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9D%BE2-2-8%201F,33.5790772,130.3797354,2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日
