Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
ガラムマサラ,東京都世田谷区経堂1-22-18 タイムポート経堂 2Ｆ,食べログ アジア・エスニック TOKYO 百名店 2023,https://tabelog.com/tokyo/A1318/A131813/13013124/,https://www.google.com/maps/search/?api=1&query=%E3%82%AC%E3%83%A9%E3%83%A0%E3%83%9E%E3%82%B5%E3%83%A9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E7%B5%8C%E5%A0%821-22-18%20%E3%82%BF%E3%82%A4%E3%83%A0%E3%83%9D%E3%83%BC%E3%83%88%E7%B5%8C%E5%A0%82%202%EF%BC%A6,2023,アジア・エスニック TOKYO,asia_ethnic_tokyo,発表日：2023年9月26日
タンドールバル カマル2号,東京都江東区亀戸6-24-8 ニューハウス亀戸 1F,食べログ アジア・エスニック TOKYO 百名店 2023,https://tabelog.com/tokyo/A1312/A131202/13231356/,https://www.google.com/maps/search/?api=1&query=%E3%82%BF%E3%83%B3%E3%83%89%E3%83%BC%E3%83%AB%E3%83%90%E3%83%AB%20%E3%82%AB%E3%83%9E%E3%83%AB2%E5%8F%B7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E4%BA%80%E6%88%B86-24-8%20%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9%E4%BA%80%E6%88%B8%201F,2023,アジア・エスニック TOKYO,asia_ethnic_tokyo,発表日：2023年9月26日
ハリマ・ケバブ・ビリヤニ,東京都台東区東上野3-36-7 1F,食べログ アジア・エスニック TOKYO 百名店 2023,https://tabelog.com/tokyo/A1311/A131101/13168753/,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%AA%E3%83%9E%E3%83%BB%E3%82%B1%E3%83%90%E3%83%96%E3%83%BB%E3%83%93%E3%83%AA%E3%83%A4%E3%83%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E6%9D%B1%E4%B8%8A%E9%87%8E3-36-7%201F,2023,アジア・エスニック TOKYO,asia_ethnic_tokyo,発表日：2023年9月26日
HASUO,東京都渋谷区広尾5-10-3 フロストバード広尾 1F,食べログ アジア・エスニック TOKYO 百名店 2023,https://tabelog.com/tokyo/A1307/A130703/13227361/,https://www.google.com/maps/search/?api=1&query=HASUO%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E5%BA%83%E5%B0%BE5-10-3%20%E3%83%95%E3%83%AD%E3%82%B9%E3%83%88%E3%83%90%E3%83%BC%E3%83%89%E5%BA%83%E5%B0%BE%201F,2023,アジア・エスニック TOKYO,asia_ethnic_tokyo,発表日：2023年9月26日
馬来風光美食,東京都杉並区天沼2-3-7 ＳＡＫＡＩビルディング　Ｂ１Ｆ,食べログ アジア・エスニック TOKYO 百名店 2023,https://tabelog.com/tokyo/A1319/A131906/13005578/,https://www.google.com/maps/search/?api=1&query=%E9%A6%AC%E6%9D%A5%E9%A2%A8%E5%85%89%E7%BE%8E%E9%A3%9F%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E5%A4%A9%E6%B2%BC2-3-7%20%EF%BC%B3%EF%BC%A1%EF%BC%AB%EF%BC%A1%EF%BC%A9%E3%83%93%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,2023,アジア・エスニック TOKYO,asia_ethnic_tokyo,発表日：2023年9月26日
グルガオン,東京都中央区銀座1-6-13 銀座１０６ビル　Ｂ１Ｆ,食べログ アジア・エスニック TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13002457/,https://www.google.com/maps/search/?api=1&query=%E3%82%B0%E3%83%AB%E3%82%AC%E3%82%AA%E3%83%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A71-6-13%20%E9%8A%80%E5%BA%A7%EF%BC%91%EF%BC%90%EF%BC%96%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,2023,アジア・エスニック TOKYO,asia_ethnic_tokyo,発表日：2023年9月26日
スパイスバル コザブロ,東京都文京区向丘2-34-8 1F,食べログ アジア・エスニック TOKYO 百名店 2023,https://tabelog.com/tokyo/A1323/A132301/13207647/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%E3%83%90%E3%83%AB%20%E3%82%B3%E3%82%B6%E3%83%96%E3%83%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E5%90%91%E4%B8%982-34-8%201F,2023,アジア・エスニック TOKYO,asia_ethnic_tokyo,発表日：2023年9月26日
SEABIRD COLONY 銀座本店,東京都中央区銀座5-4-15 西五ビル 3F,食べログ アジア・エスニック TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13257559/,https://www.google.com/maps/search/?api=1&query=SEABIRD%20COLONY%20%E9%8A%80%E5%BA%A7%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A75-4-15%20%E8%A5%BF%E4%BA%94%E3%83%93%E3%83%AB%203F,2023,アジア・エスニック TOKYO,asia_ethnic_tokyo,発表日：2023年9月26日
デリー 銀座店,東京都中央区銀座6-3-11 西銀座ビル 3F,食べログ アジア・エスニック TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13002616/,https://www.google.com/maps/search/?api=1&query=%E3%83%87%E3%83%AA%E3%83%BC%20%E9%8A%80%E5%BA%A7%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A76-3-11%20%E8%A5%BF%E9%8A%80%E5%BA%A7%E3%83%93%E3%83%AB%203F,2023,アジア・エスニック TOKYO,asia_ethnic_tokyo,発表日：2023年9月26日
大岩食堂,東京都杉並区西荻南3-24-1,食べログ アジア・エスニック TOKYO 百名店 2023,https://tabelog.com/tokyo/A1319/A131907/13171369/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E5%B2%A9%E9%A3%9F%E5%A0%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E8%A5%BF%E8%8D%BB%E5%8D%973-24-1,2023,アジア・エスニック TOKYO,asia_ethnic_tokyo,発表日：2023年9月26日
