Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
翆陽 エクシブ箱根離宮,神奈川県足柄下郡箱根町宮ノ下112-2 エクシブ箱根離宮,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/kanagawa/A1410/A141001/14039889/,https://www.google.com/maps/search/?api=1&query=%E7%BF%86%E9%99%BD%20%E3%82%A8%E3%82%AF%E3%82%B7%E3%83%96%E7%AE%B1%E6%A0%B9%E9%9B%A2%E5%AE%AE%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E7%AE%B1%E6%A0%B9%E7%94%BA%E5%AE%AE%E3%83%8E%E4%B8%8B112-2%20%E3%82%A8%E3%82%AF%E3%82%B7%E3%83%96%E7%AE%B1%E6%A0%B9%E9%9B%A2%E5%AE%AE,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
中山邸Labo,愛知県名古屋市千種区仲田2-12-25 金子ビル 1F,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/aichi/A2301/A230106/23078337/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%B1%B1%E9%82%B8Labo%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E4%BB%B2%E7%94%B02-12-25%20%E9%87%91%E5%AD%90%E3%83%93%E3%83%AB%201F,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
中国料理 村松,静岡県静岡市葵区太田町9-3,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/shizuoka/A2201/A220101/22039417/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20%E6%9D%91%E6%9D%BE%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA%E5%A4%AA%E7%94%B0%E7%94%BA9-3,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
小菜一碟,愛知県名古屋市東区相生町43,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/aichi/A2301/A230104/23072536/,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E8%8F%9C%E4%B8%80%E7%A2%9F%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E7%9B%B8%E7%94%9F%E7%94%BA43,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
シルクロードガーデン,千葉県浦安市舞浜1-13 東京ディズニー・シーホテルミラコスタ,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/chiba/A1202/A120203/12002798/,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%83%AB%E3%82%AF%E3%83%AD%E3%83%BC%E3%83%89%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%B5%A6%E5%AE%89%E5%B8%82%E8%88%9E%E6%B5%9C1-13%20%E6%9D%B1%E4%BA%AC%E3%83%87%E3%82%A3%E3%82%BA%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%B7%E3%83%BC%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9F%E3%83%A9%E3%82%B3%E3%82%B9%E3%82%BF,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
氷箱里,静岡県浜松市中央区板屋町628,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/shizuoka/A2202/A220201/22002105/,https://www.google.com/maps/search/?api=1&query=%E6%B0%B7%E7%AE%B1%E9%87%8C%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9D%BF%E5%B1%8B%E7%94%BA628,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
松石,宮城県仙台市太白区向山2-2-1 エスパシオ向山 1F,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/miyagi/A0401/A040105/4025539/,https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E7%9F%B3%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E5%A4%AA%E7%99%BD%E5%8C%BA%E5%90%91%E5%B1%B12-2-1%20%E3%82%A8%E3%82%B9%E3%83%91%E3%82%B7%E3%82%AA%E5%90%91%E5%B1%B1%201F,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
文菜華,千葉県柏市東上町2-2,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/chiba/A1203/A120301/12004381/,https://www.google.com/maps/search/?api=1&query=%E6%96%87%E8%8F%9C%E8%8F%AF%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%9F%8F%E5%B8%82%E6%9D%B1%E4%B8%8A%E7%94%BA2-2,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
小籠包 真,千葉県柏市中原1-7-2,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/chiba/A1203/A120301/12045417/,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E7%B1%A0%E5%8C%85%20%E7%9C%9F%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%9F%8F%E5%B8%82%E4%B8%AD%E5%8E%9F1-7-2,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
第一亭,神奈川県横浜市中区日ノ出町1-20,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/kanagawa/A1401/A140102/14004194/,https://www.google.com/maps/search/?api=1&query=%E7%AC%AC%E4%B8%80%E4%BA%AD%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%97%A5%E3%83%8E%E5%87%BA%E7%94%BA1-20,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
クロモリ,宮城県仙台市太白区向山2-2-24,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/miyagi/A0401/A040105/4022461/,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%83%AD%E3%83%A2%E3%83%AA%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E5%A4%AA%E7%99%BD%E5%8C%BA%E5%90%91%E5%B1%B12-2-24,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
中国料理 堀内,神奈川県横浜市青葉区青葉台1-29-36 若葉ハイツ　１Ｆ,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/kanagawa/A1401/A140202/14007887/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20%E5%A0%80%E5%86%85%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E9%9D%92%E8%91%89%E5%8F%B01-29-36%20%E8%8B%A5%E8%91%89%E3%83%8F%E3%82%A4%E3%83%84%E3%80%80%EF%BC%91%EF%BC%A6,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
名鉄菜館,静岡県御殿場市新橋732-1,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/shizuoka/A2204/A220402/22000041/,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E9%89%84%E8%8F%9C%E9%A4%A8%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E5%BE%A1%E6%AE%BF%E5%A0%B4%E5%B8%82%E6%96%B0%E6%A9%8B732-1,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
中国料理 三鶴,神奈川県川崎市川崎区小川町16-10,食べログ 中国料理 EAST 百名店 2023,https://tabelog.com/kanagawa/A1405/A140501/14016280/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20%E4%B8%89%E9%B6%B4%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E5%B7%9D%E5%B4%8E%E5%8C%BA%E5%B0%8F%E5%B7%9D%E7%94%BA16-10,2023,中国料理 EAST,chinese_east,発表日：2023年3月27日
