Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
Ji-Cube,東京都港区西麻布3-18-10,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1307/A130701/13259432/,https://www.google.com/maps/search/?api=1&query=Ji-Cube%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E9%BA%BB%E5%B8%833-18-10,35.6590918,139.7260749,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
古月 新宿,東京都新宿区新宿1-5-5 2F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1304/A130402/13030918/,https://www.google.com/maps/search/?api=1&query=%E5%8F%A4%E6%9C%88%20%E6%96%B0%E5%AE%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF1-5-5%202F,35.6880235,139.7108431,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
銀座 上瀧,東京都中央区銀座7-5-15 AG1ビル 3F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13267801/,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%20%E4%B8%8A%E7%80%A7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-5-15%20AG1%E3%83%93%E3%83%AB%203F,35.6698021,139.7610528,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
維新號 赤坂店,東京都千代田区紀尾井町1-11,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1308/A130801/13000408/,https://www.google.com/maps/search/?api=1&query=%E7%B6%AD%E6%96%B0%E8%99%9F%20%E8%B5%A4%E5%9D%82%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%B4%80%E5%B0%BE%E4%BA%95%E7%94%BA1-11,35.6800552,139.7363484,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
新富町 湯浅,東京都中央区新富2-7-4 growth ginza east 1F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1313/A131301/13231936/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E5%AF%8C%E7%94%BA%20%E6%B9%AF%E6%B5%85%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%96%B0%E5%AF%8C2-7-4%20growth%20ginza%20east%201F,35.6708797,139.7737201,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
南方中華料理 南三,東京都新宿区荒木町10-14 伍番館ビル 2F B,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1309/A130903/13221235/,https://www.google.com/maps/search/?api=1&query=%E5%8D%97%E6%96%B9%E4%B8%AD%E8%8F%AF%E6%96%99%E7%90%86%20%E5%8D%97%E4%B8%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%8D%92%E6%9C%A8%E7%94%BA10-14%20%E4%BC%8D%E7%95%AA%E9%A4%A8%E3%83%93%E3%83%AB%202F%20B,35.6895410,139.7226030,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
フルタ,東京都中央区銀座1-21-14,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1313/A131301/13176780/,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%83%AB%E3%82%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A71-21-14,35.6725919,139.7707323,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
私厨房 勇,東京都港区白金6-5-5 モリハウス 1F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1316/A131602/13168401/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E5%8E%A8%E6%88%BF%20%E5%8B%87%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E7%99%BD%E9%87%916-5-5%20%E3%83%A2%E3%83%AA%E3%83%8F%E3%82%A6%E3%82%B9%201F,35.6443394,139.7251566,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
4000 Chinese Restaurant,東京都港区南青山7-10-10 パークアクシス南青山7丁目 1F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1307/A130703/13229559/,https://www.google.com/maps/search/?api=1&query=4000%20Chinese%20Restaurant%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B17-10-10%20%E3%83%91%E3%83%BC%E3%82%AF%E3%82%A2%E3%82%AF%E3%82%B7%E3%82%B9%E5%8D%97%E9%9D%92%E5%B1%B17%E4%B8%81%E7%9B%AE%201F,35.6588700,139.7186910,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
series,東京都港区麻布台3-4-11 麻布エスビル 1F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1307/A130701/13246575/,https://www.google.com/maps/search/?api=1&query=series%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E9%BA%BB%E5%B8%83%E5%8F%B03-4-11%20%E9%BA%BB%E5%B8%83%E3%82%A8%E3%82%B9%E3%83%93%E3%83%AB%201F,35.6606078,139.7390035,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
筑紫樓 恵比寿店,東京都渋谷区恵比寿南1-10-2 恵比寿３２山京ビル　１Ｆ・２Ｆ,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1303/A130302/13003323/,https://www.google.com/maps/search/?api=1&query=%E7%AD%91%E7%B4%AB%E6%A8%93%20%E6%81%B5%E6%AF%94%E5%AF%BF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%81%B5%E6%AF%94%E5%AF%BF%E5%8D%971-10-2%20%E6%81%B5%E6%AF%94%E5%AF%BF%EF%BC%93%EF%BC%92%E5%B1%B1%E4%BA%AC%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6%E3%83%BB%EF%BC%92%EF%BC%A6,35.6457454,139.7086245,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
彩雲瑞,東京都世田谷区経堂2-15-11 第２松原マンション　１Ｆ,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1318/A131813/13045859/,https://www.google.com/maps/search/?api=1&query=%E5%BD%A9%E9%9B%B2%E7%91%9E%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E7%B5%8C%E5%A0%822-15-11%20%E7%AC%AC%EF%BC%92%E6%9D%BE%E5%8E%9F%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%EF%BC%91%EF%BC%A6,35.6512601,139.6340646,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
黒猫夜 銀座店,東京都中央区銀座7-8-15 第2新橋会館 8F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13162692/,https://www.google.com/maps/search/?api=1&query=%E9%BB%92%E7%8C%AB%E5%A4%9C%20%E9%8A%80%E5%BA%A7%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-8-15%20%E7%AC%AC2%E6%96%B0%E6%A9%8B%E4%BC%9A%E9%A4%A8%208F,35.6690982,139.7622020,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
赤坂璃宮 銀座店,東京都中央区銀座6-8-7 交詢ビル 5F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13013346/,https://www.google.com/maps/search/?api=1&query=%E8%B5%A4%E5%9D%82%E7%92%83%E5%AE%AE%20%E9%8A%80%E5%BA%A7%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A76-8-7%20%E4%BA%A4%E8%A9%A2%E3%83%93%E3%83%AB%205F,35.6700856,139.7627592,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
メゾン・ド・ユーロン,東京都港区赤坂4-13-18,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1308/A130801/13002871/,https://www.google.com/maps/search/?api=1&query=%E3%83%A1%E3%82%BE%E3%83%B3%E3%83%BB%E3%83%89%E3%83%BB%E3%83%A6%E3%83%BC%E3%83%AD%E3%83%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%824-13-18,35.6729496,139.7318089,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
黒猫夜 赤坂店,東京都港区赤坂3-9-8 篠原ビル　３Ｆ,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1308/A130801/13019152/,https://www.google.com/maps/search/?api=1&query=%E9%BB%92%E7%8C%AB%E5%A4%9C%20%E8%B5%A4%E5%9D%82%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%823-9-8%20%E7%AF%A0%E5%8E%9F%E3%83%93%E3%83%AB%E3%80%80%EF%BC%93%EF%BC%A6,35.6765791,139.7366841,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
春秋,東京都港区南青山7-14-5 針村ビル 1F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1307/A130703/13001307/,https://www.google.com/maps/search/?api=1&query=%E6%98%A5%E7%A7%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B17-14-5%20%E9%87%9D%E6%9D%91%E3%83%93%E3%83%AB%201F,35.6568536,139.7179419,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
旬華 なか村,東京都中央区東日本橋2-11-7 ラスパシオ東日本橋リバーサイド 1F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1302/A130204/13261122/,https://www.google.com/maps/search/?api=1&query=%E6%97%AC%E8%8F%AF%20%E3%81%AA%E3%81%8B%E6%9D%91%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9D%B1%E6%97%A5%E6%9C%AC%E6%A9%8B2-11-7%20%E3%83%A9%E3%82%B9%E3%83%91%E3%82%B7%E3%82%AA%E6%9D%B1%E6%97%A5%E6%9C%AC%E6%A9%8B%E3%83%AA%E3%83%90%E3%83%BC%E3%82%B5%E3%82%A4%E3%83%89%201F,35.6928458,139.7871545,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
O2,東京都江東区三好2-15-12 峯岸ビル1F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1313/A131303/13219958/,https://www.google.com/maps/search/?api=1&query=O2%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E4%B8%89%E5%A5%BD2-15-12%20%E5%B3%AF%E5%B2%B8%E3%83%93%E3%83%AB1F,35.6803082,139.8026955,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
四川家庭料理 珍々,東京都江戸川区西小岩4-9-20 島村ビル,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1312/A131204/13020918/,https://www.google.com/maps/search/?api=1&query=%E5%9B%9B%E5%B7%9D%E5%AE%B6%E5%BA%AD%E6%96%99%E7%90%86%20%E7%8F%8D%E3%80%85%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA%E8%A5%BF%E5%B0%8F%E5%B2%A94-9-20%20%E5%B3%B6%E6%9D%91%E3%83%93%E3%83%AB,35.7381436,139.8802291,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
中華寝台,東京都渋谷区道玄坂2-23-13 渋谷デリタワー 2Ｆ,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1303/A130301/13240037/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E5%AF%9D%E5%8F%B0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E9%81%93%E7%8E%84%E5%9D%822-23-13%20%E6%B8%8B%E8%B0%B7%E3%83%87%E3%83%AA%E3%82%BF%E3%83%AF%E3%83%BC%202%EF%BC%A6,35.6601179,139.6961412,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
レンゲ,東京都中央区銀座7-4-5 GINZA745ビル 9F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13183555/,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%83%B3%E3%82%B2%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-4-5%20GINZA745%E3%83%93%E3%83%AB%209F,35.6701260,139.7611130,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
蓮香,東京都港区白金4-1-7,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1316/A131602/13190771/,https://www.google.com/maps/search/?api=1&query=%E8%93%AE%E9%A6%99%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E7%99%BD%E9%87%914-1-7,35.6442516,139.7267408,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
福満苑 鼓楼,東京都豊島区要町1-14-9,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1322/A132202/13228727/,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E6%BA%80%E8%8B%91%20%E9%BC%93%E6%A5%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E8%A6%81%E7%94%BA1-14-9,35.7342610,139.6993651,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
敦煌,東京都新宿区舟町15 野方ビル　１Ｆ,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1309/A130903/13000935/,https://www.google.com/maps/search/?api=1&query=%E6%95%A6%E7%85%8C%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%88%9F%E7%94%BA15%20%E9%87%8E%E6%96%B9%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.6918436,139.7213819,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
好好,東京都品川区西五反田3-8-14,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1317/A131710/13007471/,https://www.google.com/maps/search/?api=1&query=%E5%A5%BD%E5%A5%BD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%93%81%E5%B7%9D%E5%8C%BA%E8%A5%BF%E4%BA%94%E5%8F%8D%E7%94%B03-8-14,35.6257023,139.7176838,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
蟹王府,東京都中央区日本橋室町2-1-1 三井二号館 1F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1302/A130202/13253305/,https://www.google.com/maps/search/?api=1&query=%E8%9F%B9%E7%8E%8B%E5%BA%9C%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B%E5%AE%A4%E7%94%BA2-1-1%20%E4%B8%89%E4%BA%95%E4%BA%8C%E5%8F%B7%E9%A4%A8%201F,35.6866500,139.7724386,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
中国飯店 三田店,東京都港区芝5-13-18 いちご三田ビル 1F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1314/A131402/13003506/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E9%A3%AF%E5%BA%97%20%E4%B8%89%E7%94%B0%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%8A%9D5-13-18%20%E3%81%84%E3%81%A1%E3%81%94%E4%B8%89%E7%94%B0%E3%83%93%E3%83%AB%201F,35.6496242,139.7449909,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
港式料理 鴻禧,東京都港区西新橋2-13-6 ミタニビル 1F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1308/A130802/13274319/,https://www.google.com/maps/search/?api=1&query=%E6%B8%AF%E5%BC%8F%E6%96%99%E7%90%86%20%E9%B4%BB%E7%A6%A7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E6%96%B0%E6%A9%8B2-13-6%20%E3%83%9F%E3%82%BF%E3%83%8B%E3%83%93%E3%83%AB%201F,35.6667125,139.7516525,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
シェフス,東京都新宿区新宿1-24-1 藤和ハイタウン　１Ｆ,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1304/A130402/13000884/,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%82%A7%E3%83%95%E3%82%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF1-24-1%20%E8%97%A4%E5%92%8C%E3%83%8F%E3%82%A4%E3%82%BF%E3%82%A6%E3%83%B3%E3%80%80%EF%BC%91%EF%BC%A6,35.6897416,139.7142075,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
茶禅華,東京都港区南麻布4-7-5,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1307/A130703/13205298/,https://www.google.com/maps/search/?api=1&query=%E8%8C%B6%E7%A6%85%E8%8F%AF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%BA%BB%E5%B8%834-7-5,35.6495829,139.7283719,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
中国飯店 市ヶ谷店,東京都千代田区九段北4-1-7 九段センタービル B1F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1309/A130904/13000553/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E9%A3%AF%E5%BA%97%20%E5%B8%82%E3%83%B6%E8%B0%B7%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E4%B9%9D%E6%AE%B5%E5%8C%974-1-7%20%E4%B9%9D%E6%AE%B5%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%93%E3%83%AB%20B1F,35.6930157,139.7394681,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
ジュウバー,東京都新宿区神楽坂2-12 神楽坂ビル 3F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1309/A130905/13207885/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%83%A5%E3%82%A6%E3%83%90%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%A5%9E%E6%A5%BD%E5%9D%822-12%20%E7%A5%9E%E6%A5%BD%E5%9D%82%E3%83%93%E3%83%AB%203F,35.7010199,139.7414715,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
神田 雲林,東京都千代田区神田須田町1-17 2F,食べログ 中国料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1310/A131002/13023052/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E7%94%B0%20%E9%9B%B2%E6%9E%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E9%A0%88%E7%94%B0%E7%94%BA1-17%202F,35.6966374,139.7686588,2023,中国料理 TOKYO,chinese_tokyo,発表日：2023年3月27日
