Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ラルジャン,東京都中央区銀座5-8-1 GINZA PLACE 7F,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13253764/,,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%AB%E3%82%B8%E3%83%A3%E3%83%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A75-8-1%20GINZA%20PLACE%207F,35.6708949,139.7649977,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
Lien,東京都世田谷区池尻3-5-22 グレースマンション 1F,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1317/A131705/13176808/,https://tabelog.com/tokyo/A1317/A131705/13176808/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=Lien%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E6%B1%A0%E5%B0%BB3-5-22%20%E3%82%B0%E3%83%AC%E3%83%BC%E3%82%B9%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%201F,35.6512717,139.6811563,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
オマージュ,東京都台東区浅草4-10-5,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1311/A131102/13008700/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AA%E3%83%9E%E3%83%BC%E3%82%B8%E3%83%A5%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E6%B5%85%E8%8D%894-10-5,35.7184676,139.7970227,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
コート ドール,東京都港区三田5-2-18 三田ハウス 1F,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1316/A131602/13001681/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B3%E3%83%BC%E3%83%88%20%E3%83%89%E3%83%BC%E3%83%AB%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E4%B8%89%E7%94%B05-2-18%20%E4%B8%89%E7%94%B0%E3%83%8F%E3%82%A6%E3%82%B9%201F,35.6473946,139.7375319,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
a table,東京都文京区湯島3-1-1 木村ビル 1F,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1310/A131004/13156948/,https://tabelog.com/tokyo/A1310/A131004/13156948/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=a%20table%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E6%B9%AF%E5%B3%B63-1-1%20%E6%9C%A8%E6%9D%91%E3%83%93%E3%83%AB%201F,35.7030609,139.7679798,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
abysse,東京都渋谷区恵比寿西1-30-12 EBISU-HILLS 1F,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1303/A130302/13232482/,,https://www.google.com/maps/search/?api=1&query=abysse%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%81%B5%E6%AF%94%E5%AF%BF%E8%A5%BF1-30-12%20EBISU-HILLS%201F,35.6484783,139.7056778,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
マダム・トキ,東京都渋谷区鉢山町14-7,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1303/A130303/13001707/,https://tabelog.com/tokyo/A1303/A130303/13001707/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%80%E3%83%A0%E3%83%BB%E3%83%88%E3%82%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E9%89%A2%E5%B1%B1%E7%94%BA14-7,35.6508398,139.6970606,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
ラチュレ,東京都渋谷区渋谷2-2-2 青山ルカビル B1F,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1303/A130301/13198692/,https://tabelog.com/tokyo/A1303/A130301/13198692/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%81%E3%83%A5%E3%83%AC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%B8%8B%E8%B0%B72-2-2%20%E9%9D%92%E5%B1%B1%E3%83%AB%E3%82%AB%E3%83%93%E3%83%AB%20B1F,35.6607669,139.7085298,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
銀座 大石,東京都中央区銀座2-10-11 マロニエ通り銀座館 2F,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13238352/,https://tabelog.com/tokyo/A1301/A130101/13238352/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%20%E5%A4%A7%E7%9F%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A72-10-11%20%E3%83%9E%E3%83%AD%E3%83%8B%E3%82%A8%E9%80%9A%E3%82%8A%E9%8A%80%E5%BA%A7%E9%A4%A8%202F,35.6720812,139.7683232,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
サンプリシテ,東京都渋谷区猿楽町3-9 アヴェニューサイド代官山1 2F,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1303/A130303/13216899/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%B3%E3%83%97%E3%83%AA%E3%82%B7%E3%83%86%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%8C%BF%E6%A5%BD%E7%94%BA3-9%20%E3%82%A2%E3%83%B4%E3%82%A7%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B5%E3%82%A4%E3%83%89%E4%BB%A3%E5%AE%98%E5%B1%B11%202F,35.6520674,139.7042895,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
ビストロ・シンバ,東京都中央区銀座1-27-8,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1313/A131301/13186713/,,https://www.google.com/maps/search/?api=1&query=%E3%83%93%E3%82%B9%E3%83%88%E3%83%AD%E3%83%BB%E3%82%B7%E3%83%B3%E3%83%90%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A71-27-8,35.6727217,139.7720514,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
レストラン コバヤシ,東京都江戸川区平井5-9-4,食べログ フレンチ TOKYO 百名店 2023,https://tabelog.com/tokyo/A1312/A131202/13002939/,https://tabelog.com/tokyo/A1312/A131202/13002939/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%82%B3%E3%83%90%E3%83%A4%E3%82%B7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA%E5%B9%B3%E4%BA%955-9-4,35.7061755,139.8407329,2023,フレンチ TOKYO,french_tokyo,発表日：2023年6月12日
