Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
イノウエ グリリア,神奈川県横浜市西区平沼1-13-26,食べログ イタリアン EAST 百名店 2023,https://tabelog.com/kanagawa/A1401/A140102/14010249/,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%83%8E%E3%82%A6%E3%82%A8%20%E3%82%B0%E3%83%AA%E3%83%AA%E3%82%A2%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%B9%B3%E6%B2%BC1-13-26,35.4584744,139.6196359,2023,イタリアン EAST,italian_east,発表日：2023年4月11日
カンブーザ,神奈川県横浜市神奈川区鶴屋町2-11-2,食べログ イタリアン EAST 百名店 2023,https://tabelog.com/kanagawa/A1401/A140101/14035347/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%B3%E3%83%96%E3%83%BC%E3%82%B6%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E7%A5%9E%E5%A5%88%E5%B7%9D%E5%8C%BA%E9%B6%B4%E5%B1%8B%E7%94%BA2-11-2,35.4691636,139.6231839,2023,イタリアン EAST,italian_east,発表日：2023年4月11日
GapricE,愛知県名古屋市千種区池下1-2-6 ジャルダン池下 1F,食べログ イタリアン EAST 百名店 2023,https://tabelog.com/aichi/A2301/A230106/23082728/,https://www.google.com/maps/search/?api=1&query=GapricE%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E6%B1%A0%E4%B8%8B1-2-6%20%E3%82%B8%E3%83%A3%E3%83%AB%E3%83%80%E3%83%B3%E6%B1%A0%E4%B8%8B%201F,35.1692005,136.9445695,2023,イタリアン EAST,italian_east,発表日：2023年4月11日
ラ・リリアーナ,愛知県名古屋市昭和区滝川町47-24 光洋マテリカビル　１Ｆ,食べログ イタリアン EAST 百名店 2023,https://tabelog.com/aichi/A2301/A230108/23000080/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BB%E3%83%AA%E3%83%AA%E3%82%A2%E3%83%BC%E3%83%8A%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%98%AD%E5%92%8C%E5%8C%BA%E6%BB%9D%E5%B7%9D%E7%94%BA47-24%20%E5%85%89%E6%B4%8B%E3%83%9E%E3%83%86%E3%83%AA%E3%82%AB%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.1428762,136.9611022,2023,イタリアン EAST,italian_east,発表日：2023年4月11日
レスタジョーニ ハングリータイガー,秋田県秋田市川尻大川町1-39 1F,食べログ イタリアン EAST 百名店 2023,https://tabelog.com/akita/A0501/A050101/5000478/,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%B9%E3%82%BF%E3%82%B8%E3%83%A7%E3%83%BC%E3%83%8B%20%E3%83%8F%E3%83%B3%E3%82%B0%E3%83%AA%E3%83%BC%E3%82%BF%E3%82%A4%E3%82%AC%E3%83%BC%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%A7%8B%E7%94%B0%E5%B8%82%E5%B7%9D%E5%B0%BB%E5%A4%A7%E5%B7%9D%E7%94%BA1-39%201F,39.7133780,140.0929289,2023,イタリアン EAST,italian_east,発表日：2023年4月11日
クラリタ ダ マリッティマ,神奈川県藤沢市片瀬海岸1-6-11 １Ｆ,食べログ イタリアン EAST 百名店 2023,https://tabelog.com/kanagawa/A1404/A140403/14015527/,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%83%A9%E3%83%AA%E3%82%BF%20%E3%83%80%20%E3%83%9E%E3%83%AA%E3%83%83%E3%83%86%E3%82%A3%E3%83%9E%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%97%A4%E6%B2%A2%E5%B8%82%E7%89%87%E7%80%AC%E6%B5%B7%E5%B2%B81-6-11%20%EF%BC%91%EF%BC%A6,35.3105456,139.4896991,2023,イタリアン EAST,italian_east,発表日：2023年4月11日
Vv.lab,千葉県千葉市花見川区幕張町5-417-18,食べログ イタリアン EAST 百名店 2023,https://tabelog.com/chiba/A1201/A120102/12026385/,https://www.google.com/maps/search/?api=1&query=Vv.lab%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%8D%83%E8%91%89%E5%B8%82%E8%8A%B1%E8%A6%8B%E5%B7%9D%E5%8C%BA%E5%B9%95%E5%BC%B5%E7%94%BA5-417-18,35.6538763,140.0516651,2023,イタリアン EAST,italian_east,発表日：2023年4月11日
ラ・ヴィータ・エ・ベッラ,岐阜県下呂市森1001-3,食べログ イタリアン EAST 百名店 2023,https://tabelog.com/gifu/A2104/A210403/21007751/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BB%E3%83%B4%E3%82%A3%E3%83%BC%E3%82%BF%E3%83%BB%E3%82%A8%E3%83%BB%E3%83%99%E3%83%83%E3%83%A9%20%E5%B2%90%E9%98%9C%E7%9C%8C%E4%B8%8B%E5%91%82%E5%B8%82%E6%A3%AE1001-3,35.8051348,137.2433519,2023,イタリアン EAST,italian_east,発表日：2023年4月11日
トラットリアビコローレヨコハマ,神奈川県横浜市西区平沼1-40-17 モンテベルデ横浜 101,食べログ イタリアン EAST 百名店 2023,https://tabelog.com/kanagawa/A1401/A140102/14051360/,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%A9%E3%83%83%E3%83%88%E3%83%AA%E3%82%A2%E3%83%93%E3%82%B3%E3%83%AD%E3%83%BC%E3%83%AC%E3%83%A8%E3%82%B3%E3%83%8F%E3%83%9E%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%B9%B3%E6%B2%BC1-40-17%20%E3%83%A2%E3%83%B3%E3%83%86%E3%83%99%E3%83%AB%E3%83%87%E6%A8%AA%E6%B5%9C%20101,35.4616880,139.6195914,2023,イタリアン EAST,italian_east,発表日：2023年4月11日
テアトロ ディ マッサ,北海道札幌市中央区南3条西8-7 大洋ビル 2F,食べログ イタリアン EAST 百名店 2023,https://tabelog.com/hokkaido/A0101/A010103/1045656/,https://www.google.com/maps/search/?api=1&query=%E3%83%86%E3%82%A2%E3%83%88%E3%83%AD%20%E3%83%87%E3%82%A3%20%E3%83%9E%E3%83%83%E3%82%B5%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%973%E6%9D%A1%E8%A5%BF8-7%20%E5%A4%A7%E6%B4%8B%E3%83%93%E3%83%AB%202F,43.0561364,141.3465507,2023,イタリアン EAST,italian_east,発表日：2023年4月11日
ゆっくりワイン食堂 ゴッチャポント,愛知県一宮市森本2-15-6,食べログ イタリアン EAST 百名店 2023,https://tabelog.com/aichi/A2302/A230201/23013536/,https://www.google.com/maps/search/?api=1&query=%E3%82%86%E3%81%A3%E3%81%8F%E3%82%8A%E3%83%AF%E3%82%A4%E3%83%B3%E9%A3%9F%E5%A0%82%20%E3%82%B4%E3%83%83%E3%83%81%E3%83%A3%E3%83%9D%E3%83%B3%E3%83%88%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E4%B8%80%E5%AE%AE%E5%B8%82%E6%A3%AE%E6%9C%AC2-15-6,35.2917261,136.8133467,2023,イタリアン EAST,italian_east,発表日：2023年4月11日
