Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
茜坂大沼,東京都港区赤坂3-12-2 赤坂慶和ビル 3F,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1308/A130801/13244397/,https://tabelog.com/tokyo/A1308/A130801/13244397/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E8%8C%9C%E5%9D%82%E5%A4%A7%E6%B2%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%823-12-2%20%E8%B5%A4%E5%9D%82%E6%85%B6%E5%92%8C%E3%83%93%E3%83%AB%203F,35.6740576,139.7378088,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
樋口,東京都渋谷区神宮前2-19-12,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1306/A130601/13001215/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%A8%8B%E5%8F%A3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D2-19-12,35.6734893,139.7101436,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
時喰み,東京都中央区銀座3-11-6 鈴木ビル 2F,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13233337/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%99%82%E5%96%B0%E3%81%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A73-11-6%20%E9%88%B4%E6%9C%A8%E3%83%93%E3%83%AB%202F,35.6708283,139.7688693,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
ぎんざ 一二岐,東京都中央区銀座2-14-6 第２松岡ビル　Ｂ１Ｆ,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1313/A131301/13115557/,https://tabelog.com/tokyo/A1313/A131301/13115557/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%8E%E3%82%93%E3%81%96%20%E4%B8%80%E4%BA%8C%E5%B2%90%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A72-14-6%20%E7%AC%AC%EF%BC%92%E6%9D%BE%E5%B2%A1%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,35.6713439,139.7703785,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
龍吟,東京都千代田区有楽町1-1-2 ミッドタウン日比谷 7F,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130102/13001457/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%BE%8D%E5%90%9F%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E6%9C%89%E6%A5%BD%E7%94%BA1-1-2%20%E3%83%9F%E3%83%83%E3%83%89%E3%82%BF%E3%82%A6%E3%83%B3%E6%97%A5%E6%AF%94%E8%B0%B7%207F,35.6742799,139.7592872,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
ふしきの,東京都新宿区神楽坂4-3-11 神楽坂つなしょうテラス 2F,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1309/A130905/13130697/,https://tabelog.com/tokyo/A1309/A130905/13130697/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%B5%E3%81%97%E3%81%8D%E3%81%AE%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%A5%9E%E6%A5%BD%E5%9D%824-3-11%20%E7%A5%9E%E6%A5%BD%E5%9D%82%E3%81%A4%E3%81%AA%E3%81%97%E3%82%87%E3%81%86%E3%83%86%E3%83%A9%E3%82%B9%202F,35.7019845,139.7400568,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
神楽坂 石かわ,東京都新宿区神楽坂5-37 高村ビル　１Ｆ,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1309/A130905/13004079/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E6%A5%BD%E5%9D%82%20%E7%9F%B3%E3%81%8B%E3%82%8F%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%A5%9E%E6%A5%BD%E5%9D%825-37%20%E9%AB%98%E6%9D%91%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.7012110,139.7394755,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
西麻布 大竹,東京都港区西麻布1-4-23 コア西麻布 1F,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1307/A130701/13215804/,https://tabelog.com/tokyo/A1307/A130701/13215804/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E8%A5%BF%E9%BA%BB%E5%B8%83%20%E5%A4%A7%E7%AB%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E9%BA%BB%E5%B8%831-4-23%20%E3%82%B3%E3%82%A2%E8%A5%BF%E9%BA%BB%E5%B8%83%201F,35.6614821,139.7239093,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
くろぎ,東京都港区芝公園1-7-10,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1314/A131401/13094789/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%8F%E3%82%8D%E3%81%8E%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%8A%9D%E5%85%AC%E5%9C%921-7-10,35.6574258,139.7526571,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
赤坂おぎ乃,東京都港区赤坂6-3-13,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1308/A130801/13245499/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%B5%A4%E5%9D%82%E3%81%8A%E3%81%8E%E4%B9%83%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%826-3-13,35.6708981,139.7352901,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
わたなべ,東京都港区白金1-29-9 ライオンズマンション白金東 102,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1316/A131602/13254996/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%8F%E3%81%9F%E3%81%AA%E3%81%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E7%99%BD%E9%87%911-29-9%20%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E7%99%BD%E9%87%91%E6%9D%B1%20102,35.6431831,139.7338868,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
宮坂,東京都港区南青山5-4-30 ヴィラソレイユE号,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1306/A130602/13264981/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%9D%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B15-4-30%20%E3%83%B4%E3%82%A3%E3%83%A9%E3%82%BD%E3%83%AC%E3%82%A4%E3%83%A6E%E5%8F%B7,35.6624648,139.7143873,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
六寛,東京都中央区,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1313/A131301/13178685/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%85%AD%E5%AF%9B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA,0.0000000,0.0000000,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
味享,東京都港区西新橋1-18-8 報徳ビル 1F,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130103/13228116/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%91%B3%E4%BA%AB%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E6%96%B0%E6%A9%8B1-18-8%20%E5%A0%B1%E5%BE%B3%E3%83%93%E3%83%AB%201F,35.6675621,139.7533479,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
いち太,東京都港区南青山3-4-6 AOYAMA346 101,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1306/A130603/13176396/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%84%E3%81%A1%E5%A4%AA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B13-4-6%20AOYAMA346%20101,35.6672395,139.7172679,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
喰善 あべ,東京都中央区銀座5-6-10 都ビル 4F,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13162190/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%96%B0%E5%96%84%20%E3%81%82%E3%81%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A75-6-10%20%E9%83%BD%E3%83%93%E3%83%AB%204F,35.6707280,139.7636645,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
銀座うち山,東京都中央区銀座2-12-3 ライトビル B1F,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13002322/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%E3%81%86%E3%81%A1%E5%B1%B1%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A72-12-3%20%E3%83%A9%E3%82%A4%E3%83%88%E3%83%93%E3%83%AB%20B1F,35.6721664,139.7700623,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
銀座 奥田,東京都中央区銀座5-4-8 カリオカビルB1Ｆ,食べログ 日本料理 TOKYO 百名店 2023,https://tabelog.com/tokyo/A1301/A130101/13129763/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%20%E5%A5%A5%E7%94%B0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A75-4-8%20%E3%82%AB%E3%83%AA%E3%82%AA%E3%82%AB%E3%83%93%E3%83%ABB1%EF%BC%A6,35.6714336,139.7630188,2023,日本料理 TOKYO,japanese_tokyo,発表日：2023年3月2日
