Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
Japanese Ramen Noodle Lab Q,北海道札幌市中央区北1条西2-1-3 りんどうビル B1F,食べログ ラーメン EAST 百名店 2023,https://tabelog.com/hokkaido/A0101/A010102/1057715/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=Japanese%20Ramen%20Noodle%20Lab%20Q%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%971%E6%9D%A1%E8%A5%BF2-1-3%20%E3%82%8A%E3%82%93%E3%81%A9%E3%81%86%E3%83%93%E3%83%AB%20B1F,43.0634765,141.3543001,2023,ラーメン EAST,ramen_east,発表日：2023年12月5日
らぁめん夢,神奈川県横浜市神奈川区二ツ谷町1-21,食べログ ラーメン EAST 百名店 2023,https://tabelog.com/kanagawa/A1401/A140212/14053385/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%81%81%E3%82%81%E3%82%93%E5%A4%A2%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E7%A5%9E%E5%A5%88%E5%B7%9D%E5%8C%BA%E4%BA%8C%E3%83%84%E8%B0%B7%E7%94%BA1-21,35.4761140,139.6307746,2023,ラーメン EAST,ramen_east,発表日：2023年12月5日
中華そば専門 とんちぼ,埼玉県日高市栗坪26-46,食べログ ラーメン EAST 百名店 2023,https://tabelog.com/saitama/A1106/A110603/11045493/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0%E5%B0%82%E9%96%80%20%E3%81%A8%E3%82%93%E3%81%A1%E3%81%BC%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E6%97%A5%E9%AB%98%E5%B8%82%E6%A0%97%E5%9D%AA26-46,35.8866110,139.3124048,2023,ラーメン EAST,ramen_east,発表日：2023年12月5日
とら食堂,福島県白河市双石滝ノ尻1,食べログ ラーメン EAST 百名店 2023,https://tabelog.com/fukushima/A0703/A070301/7000016/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%89%E9%A3%9F%E5%A0%82%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%E7%99%BD%E6%B2%B3%E5%B8%82%E5%8F%8C%E7%9F%B3%E6%BB%9D%E3%83%8E%E5%B0%BB1,37.1125898,140.2603621,2023,ラーメン EAST,ramen_east,発表日：2023年12月5日
ZUND-BAR,神奈川県厚木市七沢1954-7,食べログ ラーメン EAST 百名店 2023,https://tabelog.com/kanagawa/A1408/A140802/14000184/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=ZUND-BAR%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%8E%9A%E6%9C%A8%E5%B8%82%E4%B8%83%E6%B2%A21954-7,35.4516522,139.2924245,2023,ラーメン EAST,ramen_east,発表日：2023年12月5日
麺処 秋もと,神奈川県-横浜市青葉区市ヶ尾町1157-1 アネックスショッピングビル 1F,食べログ ラーメン EAST 百名店 2023,https://tabelog.com/kanagawa/A1401/A140201/14086053/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E5%87%A6%20%E7%A7%8B%E3%82%82%E3%81%A8%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C-%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E5%B8%82%E3%83%B6%E5%B0%BE%E7%94%BA1157-1%20%E3%82%A2%E3%83%8D%E3%83%83%E3%82%AF%E3%82%B9%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%83%93%E3%83%AB%201F,35.5524823,139.5417548,2023,ラーメン EAST,ramen_east,発表日：2023年12月5日
支那蕎麦屋 藤花,神奈川県横浜市都筑区池辺町4800-6,食べログ ラーメン EAST 百名店 2023,https://tabelog.com/kanagawa/A1401/A140207/14070248/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%94%AF%E9%82%A3%E8%95%8E%E9%BA%A6%E5%B1%8B%20%E8%97%A4%E8%8A%B1%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%83%BD%E7%AD%91%E5%8C%BA%E6%B1%A0%E8%BE%BA%E7%94%BA4800-6,35.5180675,139.5760572,2023,ラーメン EAST,ramen_east,発表日：2023年12月5日
狼煙 本店,埼玉県さいたま市北区東大成町1-544,食べログ ラーメン EAST 百名店 2023,https://tabelog.com/saitama/A1101/A110101/11004115/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E7%8B%BC%E7%85%99%20%E6%9C%AC%E5%BA%97%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9D%B1%E5%A4%A7%E6%88%90%E7%94%BA1-544,35.9240128,139.6221634,2023,ラーメン EAST,ramen_east,発表日：2023年12月5日
中華そば 四つ葉,埼玉県比企郡川島町伊草298-20,食べログ ラーメン EAST 百名店 2023,https://tabelog.com/saitama/A1105/A110502/11034264/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0%20%E5%9B%9B%E3%81%A4%E8%91%89%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E6%AF%94%E4%BC%81%E9%83%A1%E5%B7%9D%E5%B3%B6%E7%94%BA%E4%BC%8A%E8%8D%89298-20,35.9682778,139.4689540,2023,ラーメン EAST,ramen_east,発表日：2023年12月5日
さんくるげ,福島県田村市滝根町神俣梵天川52,食べログ ラーメン EAST 百名店 2023,https://tabelog.com/fukushima/A0702/A070203/7015807/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%95%E3%82%93%E3%81%8F%E3%82%8B%E3%81%92%20%E7%A6%8F%E5%B3%B6%E7%9C%8C%E7%94%B0%E6%9D%91%E5%B8%82%E6%BB%9D%E6%A0%B9%E7%94%BA%E7%A5%9E%E4%BF%A3%E6%A2%B5%E5%A4%A9%E5%B7%9D52,37.3243191,140.6580210,2023,ラーメン EAST,ramen_east,発表日：2023年12月5日
