Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
パティスリー ショコラトリー オーディネール,大阪府大阪市西区南堀江2-4-16 ファヴール南堀江 1F,食べログ スイーツ WEST 百名店 2023,https://tabelog.com/osaka/A2701/A270201/27076593/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%20%E3%82%B7%E3%83%A7%E3%82%B3%E3%83%A9%E3%83%88%E3%83%AA%E3%83%BC%20%E3%82%AA%E3%83%BC%E3%83%87%E3%82%A3%E3%83%8D%E3%83%BC%E3%83%AB%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%8D%97%E5%A0%80%E6%B1%9F2-4-16%20%E3%83%95%E3%82%A1%E3%83%B4%E3%83%BC%E3%83%AB%E5%8D%97%E5%A0%80%E6%B1%9F%201F,2023,スイーツ WEST,sweets_west,発表日：2023年8月15日
OHAYO biscuit,京都府京都市上京区油橋詰町96-2,食べログ スイーツ WEST 百名店 2023,https://tabelog.com/kyoto/A2601/A260202/26025296/,https://www.google.com/maps/search/?api=1&query=OHAYO%20biscuit%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8A%E4%BA%AC%E5%8C%BA%E6%B2%B9%E6%A9%8B%E8%A9%B0%E7%94%BA96-2,2023,スイーツ WEST,sweets_west,発表日：2023年8月15日
クリケット,京都府京都市北区平野八丁柳町68-1 サニーハイム金閣寺　１Ｆ,食べログ スイーツ WEST 百名店 2023,https://tabelog.com/kyoto/A2601/A260401/26000321/,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%83%AA%E3%82%B1%E3%83%83%E3%83%88%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA%E5%B9%B3%E9%87%8E%E5%85%AB%E4%B8%81%E6%9F%B3%E7%94%BA68-1%20%E3%82%B5%E3%83%8B%E3%83%BC%E3%83%8F%E3%82%A4%E3%83%A0%E9%87%91%E9%96%A3%E5%AF%BA%E3%80%80%EF%BC%91%EF%BC%A6,2023,スイーツ WEST,sweets_west,発表日：2023年8月15日
クレープリー・アルション,大阪府大阪市中央区難波1-4-18,食べログ スイーツ WEST 百名店 2023,https://tabelog.com/osaka/A2701/A270202/27003897/,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%97%E3%83%AA%E3%83%BC%E3%83%BB%E3%82%A2%E3%83%AB%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%9B%A3%E6%B3%A21-4-18,2023,スイーツ WEST,sweets_west,発表日：2023年8月15日
エクチュア  からほり「蔵」本店,大阪府大阪市中央区谷町6-17-43 練,食べログ スイーツ WEST 百名店 2023,https://tabelog.com/osaka/A2701/A270204/27000958/,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%82%AF%E3%83%81%E3%83%A5%E3%82%A2%20%20%E3%81%8B%E3%82%89%E3%81%BB%E3%82%8A%E3%80%8C%E8%94%B5%E3%80%8D%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B0%B7%E7%94%BA6-17-43%20%E7%B7%B4,2023,スイーツ WEST,sweets_west,発表日：2023年8月15日
パティスリークロシェ,大阪府大阪市福島区福島7-4-9 プレステル福島 1F,食べログ スイーツ WEST 百名店 2023,https://tabelog.com/osaka/A2701/A270108/27076035/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%E3%82%AF%E3%83%AD%E3%82%B7%E3%82%A7%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A6%8F%E5%B3%B6%E5%8C%BA%E7%A6%8F%E5%B3%B67-4-9%20%E3%83%97%E3%83%AC%E3%82%B9%E3%83%86%E3%83%AB%E7%A6%8F%E5%B3%B6%201F,2023,スイーツ WEST,sweets_west,発表日：2023年8月15日
コム・シノワ 高島屋大阪店,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ B1F,食べログ スイーツ WEST 百名店 2023,https://tabelog.com/osaka/A2701/A270202/27014893/,https://www.google.com/maps/search/?api=1&query=%E3%82%B3%E3%83%A0%E3%83%BB%E3%82%B7%E3%83%8E%E3%83%AF%20%E9%AB%98%E5%B3%B6%E5%B1%8B%E5%A4%A7%E9%98%AA%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%9B%A3%E6%B3%A25-1-5%20%E5%A4%A7%E9%98%AA%E3%82%BF%E3%82%AB%E3%82%B7%E3%83%9E%E3%83%A4%20B1F,2023,スイーツ WEST,sweets_west,発表日：2023年8月15日
サロン・ド・ロワイヤル 京都店,京都府京都市中京区木屋町通り御池上ル上樵木町502 1F,食べログ スイーツ WEST 百名店 2023,https://tabelog.com/kyoto/A2601/A260202/26021798/,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%AD%E3%83%B3%E3%83%BB%E3%83%89%E3%83%BB%E3%83%AD%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AB%20%E4%BA%AC%E9%83%BD%E5%BA%97%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E6%9C%A8%E5%B1%8B%E7%94%BA%E9%80%9A%E3%82%8A%E5%BE%A1%E6%B1%A0%E4%B8%8A%E3%83%AB%E4%B8%8A%E6%A8%B5%E6%9C%A8%E7%94%BA502%201F,2023,スイーツ WEST,sweets_west,発表日：2023年8月15日
なかたに亭,大阪府大阪市天王寺区上本町6-6-27 中川ビル 1F,食べログ スイーツ WEST 百名店 2023,https://tabelog.com/osaka/A2701/A270205/27000953/,https://www.google.com/maps/search/?api=1&query=%E3%81%AA%E3%81%8B%E3%81%9F%E3%81%AB%E4%BA%AD%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%A4%A9%E7%8E%8B%E5%AF%BA%E5%8C%BA%E4%B8%8A%E6%9C%AC%E7%94%BA6-6-27%20%E4%B8%AD%E5%B7%9D%E3%83%93%E3%83%AB%201F,2023,スイーツ WEST,sweets_west,発表日：2023年8月15日
パティスリー オー フィル ドゥ ジュール,福岡県福岡市中央区桜坂1-14-9,食べログ スイーツ WEST 百名店 2023,https://tabelog.com/fukuoka/A4001/A400105/40041873/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%20%E3%82%AA%E3%83%BC%20%E3%83%95%E3%82%A3%E3%83%AB%20%E3%83%89%E3%82%A5%20%E3%82%B8%E3%83%A5%E3%83%BC%E3%83%AB%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%A1%9C%E5%9D%821-14-9,2023,スイーツ WEST,sweets_west,発表日：2023年8月15日
