Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
松葉屋,石川県小松市大文字町69,食べログ 和菓子・甘味処 WEST 百名店 2023,https://tabelog.com/ishikawa/A1702/A170202/17005047/,https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E8%91%89%E5%B1%8B%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E5%B0%8F%E6%9D%BE%E5%B8%82%E5%A4%A7%E6%96%87%E5%AD%97%E7%94%BA69,2023,和菓子・甘味処 WEST,wagashi_west,発表日：2023年8月29日
洛叉庵,京都府京都市北区紫竹下芝本町22,食べログ 和菓子・甘味処 WEST 百名店 2023,https://tabelog.com/kyoto/A2601/A260503/26012788/,https://www.google.com/maps/search/?api=1&query=%E6%B4%9B%E5%8F%89%E5%BA%B5%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA%E7%B4%AB%E7%AB%B9%E4%B8%8B%E8%8A%9D%E6%9C%AC%E7%94%BA22,2023,和菓子・甘味処 WEST,wagashi_west,発表日：2023年8月29日
美玉屋,京都府京都市左京区下鴨高木町西入ル下鴨東本町18-1,食べログ 和菓子・甘味処 WEST 百名店 2023,https://tabelog.com/kyoto/A2601/A260503/26002571/,https://www.google.com/maps/search/?api=1&query=%E7%BE%8E%E7%8E%89%E5%B1%8B%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E4%B8%8B%E9%B4%A8%E9%AB%98%E6%9C%A8%E7%94%BA%E8%A5%BF%E5%85%A5%E3%83%AB%E4%B8%8B%E9%B4%A8%E6%9D%B1%E6%9C%AC%E7%94%BA18-1,2023,和菓子・甘味処 WEST,wagashi_west,発表日：2023年8月29日
松屋常盤,京都府京都市中京区堺町通丸太町下ル橘町83,食べログ 和菓子・甘味処 WEST 百名店 2023,https://tabelog.com/kyoto/A2601/A260202/26000620/,https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E5%B1%8B%E5%B8%B8%E7%9B%A4%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E5%A0%BA%E7%94%BA%E9%80%9A%E4%B8%B8%E5%A4%AA%E7%94%BA%E4%B8%8B%E3%83%AB%E6%A9%98%E7%94%BA83,2023,和菓子・甘味処 WEST,wagashi_west,発表日：2023年8月29日
餅匠しづく 新町店,大阪府大阪市西区新町1-17-17 新町ハウス 1F,食べログ 和菓子・甘味処 WEST 百名店 2023,https://tabelog.com/osaka/A2701/A270201/27024632/,https://www.google.com/maps/search/?api=1&query=%E9%A4%85%E5%8C%A0%E3%81%97%E3%81%A5%E3%81%8F%20%E6%96%B0%E7%94%BA%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%E6%96%B0%E7%94%BA1-17-17%20%E6%96%B0%E7%94%BA%E3%83%8F%E3%82%A6%E3%82%B9%201F,2023,和菓子・甘味処 WEST,wagashi_west,発表日：2023年8月29日
霧の森菓子工房 松山店,愛媛県松山市大街道3-3-1,食べログ 和菓子・甘味処 WEST 百名店 2023,https://tabelog.com/ehime/A3801/A380101/38000209/,https://www.google.com/maps/search/?api=1&query=%E9%9C%A7%E3%81%AE%E6%A3%AE%E8%8F%93%E5%AD%90%E5%B7%A5%E6%88%BF%20%E6%9D%BE%E5%B1%B1%E5%BA%97%20%E6%84%9B%E5%AA%9B%E7%9C%8C%E6%9D%BE%E5%B1%B1%E5%B8%82%E5%A4%A7%E8%A1%97%E9%81%933-3-1,2023,和菓子・甘味処 WEST,wagashi_west,発表日：2023年8月29日
御菓子司 聚洸,京都府京都市上京区筋違橋町548-4,食べログ 和菓子・甘味処 WEST 百名店 2023,https://tabelog.com/kyoto/A2601/A260503/26005468/,https://www.google.com/maps/search/?api=1&query=%E5%BE%A1%E8%8F%93%E5%AD%90%E5%8F%B8%20%E8%81%9A%E6%B4%B8%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8A%E4%BA%AC%E5%8C%BA%E7%AD%8B%E9%81%95%E6%A9%8B%E7%94%BA548-4,2023,和菓子・甘味処 WEST,wagashi_west,発表日：2023年8月29日
和菓子店 青洋,京都府京都市北区紫竹西野山町54-1,食べログ 和菓子・甘味処 WEST 百名店 2023,https://tabelog.com/kyoto/A2601/A260503/26022394/,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E8%8F%93%E5%AD%90%E5%BA%97%20%E9%9D%92%E6%B4%8B%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA%E7%B4%AB%E7%AB%B9%E8%A5%BF%E9%87%8E%E5%B1%B1%E7%94%BA54-1,2023,和菓子・甘味処 WEST,wagashi_west,発表日：2023年8月29日
緑寿庵清水,京都府京都市左京区吉田泉殿町38番地の2,食べログ 和菓子・甘味処 WEST 百名店 2023,https://tabelog.com/kyoto/A2601/A260302/26005325/,https://www.google.com/maps/search/?api=1&query=%E7%B7%91%E5%AF%BF%E5%BA%B5%E6%B8%85%E6%B0%B4%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E5%90%89%E7%94%B0%E6%B3%89%E6%AE%BF%E7%94%BA38%E7%95%AA%E5%9C%B0%E3%81%AE2,2023,和菓子・甘味処 WEST,wagashi_west,発表日：2023年8月29日
古の花,京都府京都市上京区御前通今小路上ル馬喰町898,食べログ 和菓子・甘味処 WEST 百名店 2023,https://tabelog.com/kyoto/A2601/A260501/26004886/,https://www.google.com/maps/search/?api=1&query=%E5%8F%A4%E3%81%AE%E8%8A%B1%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8A%E4%BA%AC%E5%8C%BA%E5%BE%A1%E5%89%8D%E9%80%9A%E4%BB%8A%E5%B0%8F%E8%B7%AF%E4%B8%8A%E3%83%AB%E9%A6%AC%E5%96%B0%E7%94%BA898,2023,和菓子・甘味処 WEST,wagashi_west,発表日：2023年8月29日
