Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
グート,長野県上伊那郡箕輪町中箕輪542-1 古民家 箕澤屋,食べログ アジア・エスニック EAST 百名店 2023,https://tabelog.com/nagano/A2006/A200601/20022280/,https://www.google.com/maps/search/?api=1&query=%E3%82%B0%E3%83%BC%E3%83%88%20%E9%95%B7%E9%87%8E%E7%9C%8C%E4%B8%8A%E4%BC%8A%E9%82%A3%E9%83%A1%E7%AE%95%E8%BC%AA%E7%94%BA%E4%B8%AD%E7%AE%95%E8%BC%AA542-1%20%E5%8F%A4%E6%B0%91%E5%AE%B6%20%E7%AE%95%E6%BE%A4%E5%B1%8B,35.9331844,137.9854764,2023,アジア・エスニック EAST,asia_ethnic_east,発表日：2023年9月26日
ピッサヌローク,愛知県名古屋市東区葵2-2-22 桜通サンダイマンション 1F,食べログ アジア・エスニック EAST 百名店 2023,https://tabelog.com/aichi/A2301/A230106/23076912/,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%83%83%E3%82%B5%E3%83%8C%E3%83%AD%E3%83%BC%E3%82%AF%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E8%91%B52-2-22%20%E6%A1%9C%E9%80%9A%E3%82%B5%E3%83%B3%E3%83%80%E3%82%A4%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%201F,35.1738607,136.9251778,2023,アジア・エスニック EAST,asia_ethnic_east,発表日：2023年9月26日
三日月バル,岐阜県岐阜市住田町2-20,食べログ アジア・エスニック EAST 百名店 2023,https://tabelog.com/gifu/A2101/A210101/21013254/,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E6%97%A5%E6%9C%88%E3%83%90%E3%83%AB%20%E5%B2%90%E9%98%9C%E7%9C%8C%E5%B2%90%E9%98%9C%E5%B8%82%E4%BD%8F%E7%94%B0%E7%94%BA2-20,35.4111753,136.7577943,2023,アジア・エスニック EAST,asia_ethnic_east,発表日：2023年9月26日
バンチャガル,愛知県名古屋市千種区星ヶ丘元町15-27,食べログ アジア・エスニック EAST 百名店 2023,https://tabelog.com/aichi/A2301/A230111/23009012/,https://www.google.com/maps/search/?api=1&query=%E3%83%90%E3%83%B3%E3%83%81%E3%83%A3%E3%82%AC%E3%83%AB%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8D%83%E7%A8%AE%E5%8C%BA%E6%98%9F%E3%83%B6%E4%B8%98%E5%85%83%E7%94%BA15-27,35.1619202,136.9873608,2023,アジア・エスニック EAST,asia_ethnic_east,発表日：2023年9月26日
ナマステ 蓼科店,長野県茅野市北山鹿山4026-2 東急リゾートタウン内,食べログ アジア・エスニック EAST 百名店 2023,https://tabelog.com/nagano/A2004/A200403/20000030/,https://www.google.com/maps/search/?api=1&query=%E3%83%8A%E3%83%9E%E3%82%B9%E3%83%86%20%E8%93%BC%E7%A7%91%E5%BA%97%20%E9%95%B7%E9%87%8E%E7%9C%8C%E8%8C%85%E9%87%8E%E5%B8%82%E5%8C%97%E5%B1%B1%E9%B9%BF%E5%B1%B14026-2%20%E6%9D%B1%E6%80%A5%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%E3%82%BF%E3%82%A6%E3%83%B3%E5%86%85,36.0692169,138.2544404,2023,アジア・エスニック EAST,asia_ethnic_east,発表日：2023年9月26日
しみず,愛知県名古屋市北区清水2丁目4-6 清水ビル１F,食べログ アジア・エスニック EAST 百名店 2023,https://tabelog.com/aichi/A2301/A230110/23037011/,https://www.google.com/maps/search/?api=1&query=%E3%81%97%E3%81%BF%E3%81%9A%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8C%97%E5%8C%BA%E6%B8%85%E6%B0%B42%E4%B8%81%E7%9B%AE4-6%20%E6%B8%85%E6%B0%B4%E3%83%93%E3%83%AB%EF%BC%91F,35.1869178,136.9136911,2023,アジア・エスニック EAST,asia_ethnic_east,発表日：2023年9月26日
エリックサウス KITTE名古屋店,愛知県名古屋市中村区名駅1-1-1 KITTE名古屋 B1F,食べログ アジア・エスニック EAST 百名店 2023,https://tabelog.com/aichi/A2301/A230101/23060430/,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%83%AA%E3%83%83%E3%82%AF%E3%82%B5%E3%82%A6%E3%82%B9%20KITTE%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%851-1-1%20KITTE%E5%90%8D%E5%8F%A4%E5%B1%8B%20B1F,35.1730894,136.8823852,2023,アジア・エスニック EAST,asia_ethnic_east,発表日：2023年9月26日
ラオパサ,愛知県名古屋市東区泉2-13-4 カスティロ泉１B,食べログ アジア・エスニック EAST 百名店 2023,https://tabelog.com/aichi/A2301/A230104/23004325/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%82%AA%E3%83%91%E3%82%B5%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E6%B3%892-13-4%20%E3%82%AB%E3%82%B9%E3%83%86%E3%82%A3%E3%83%AD%E6%B3%89%EF%BC%91B,35.1769494,136.9147853,2023,アジア・エスニック EAST,asia_ethnic_east,発表日：2023年9月26日
Alan.,愛知県名古屋市中区栄3-9-2 ジェムズ栄 3F,食べログ アジア・エスニック EAST 百名店 2023,https://tabelog.com/aichi/A2301/A230103/23072433/,https://www.google.com/maps/search/?api=1&query=Alan.%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%843-9-2%20%E3%82%B8%E3%82%A7%E3%83%A0%E3%82%BA%E6%A0%84%203F,35.1674406,136.9038161,2023,アジア・エスニック EAST,asia_ethnic_east,発表日：2023年9月26日
インターナショナルビレッジ,愛知県弥富市稲荷2-72-1,食べログ アジア・エスニック EAST 百名店 2023,https://tabelog.com/aichi/A2302/A230202/23068551/,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%83%93%E3%83%AC%E3%83%83%E3%82%B8%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%BC%A5%E5%AF%8C%E5%B8%82%E7%A8%B2%E8%8D%B72-72-1,35.0755576,136.7771602,2023,アジア・エスニック EAST,asia_ethnic_east,発表日：2023年9月26日
