Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
田無羅,福岡県福岡市中央区春吉3-22-29,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/fukuoka/A4001/A400103/40000441/,https://tabelog.com/fukuoka/A4001/A400103/40000441/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%94%B0%E7%84%A1%E7%BE%85%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%98%A5%E5%90%893-22-29,33.5891777,130.4055004,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
多国籍食堂 錆と煤,高知県南国市立田632-19,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/kochi/A3901/A390102/39006430/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%A4%9A%E5%9B%BD%E7%B1%8D%E9%A3%9F%E5%A0%82%20%E9%8C%86%E3%81%A8%E7%85%A4%20%E9%AB%98%E7%9F%A5%E7%9C%8C%E5%8D%97%E5%9B%BD%E5%B8%82%E7%AB%8B%E7%94%B0632-19,33.5708714,133.6689385,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
Norary-Crary,大分県別府市元町15-7 竹瓦温泉前,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/oita/A4402/A440202/44010337/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=Norary-Crary%20%E5%A4%A7%E5%88%86%E7%9C%8C%E5%88%A5%E5%BA%9C%E5%B8%82%E5%85%83%E7%94%BA15-7%20%E7%AB%B9%E7%93%A6%E6%B8%A9%E6%B3%89%E5%89%8D,33.2772704,131.5059207,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
モンゴル薬膳鍋 赤坂門店,福岡県福岡市中央区赤坂1-9-22 コンセントリクス天神ビル  1F,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/fukuoka/A4001/A400104/40053571/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%A2%E3%83%B3%E3%82%B4%E3%83%AB%E8%96%AC%E8%86%B3%E9%8D%8B%20%E8%B5%A4%E5%9D%82%E9%96%80%E5%BA%97%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B5%A4%E5%9D%821-9-22%20%E3%82%B3%E3%83%B3%E3%82%BB%E3%83%B3%E3%83%88%E3%83%AA%E3%82%AF%E3%82%B9%E5%A4%A9%E7%A5%9E%E3%83%93%E3%83%AB%20%201F,33.5877136,130.3904132,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
ドゥワンチャン,福岡県糸島市二丈深江2129-18,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/fukuoka/A4009/A400901/40034145/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%89%E3%82%A5%E3%83%AF%E3%83%B3%E3%83%81%E3%83%A3%E3%83%B3%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%B3%B8%E5%B3%B6%E5%B8%82%E4%BA%8C%E4%B8%88%E6%B7%B1%E6%B1%9F2129-18,33.5121502,130.1293516,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
ザエカ,福岡県福岡市中央区舞鶴1-3-4 曙コーポ　２Ｆ,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/fukuoka/A4001/A400104/40005367/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B6%E3%82%A8%E3%82%AB%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%88%9E%E9%B6%B41-3-4%20%E6%9B%99%E3%82%B3%E3%83%BC%E3%83%9D%E3%80%80%EF%BC%92%EF%BC%A6,33.5916337,130.3935248,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
スリランカくまもと,熊本県熊本市中央区下通1-4-3 熊本ビル 2F,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/kumamoto/A4301/A430101/43001132/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%AA%E3%83%A9%E3%83%B3%E3%82%AB%E3%81%8F%E3%81%BE%E3%82%82%E3%81%A8%20%E7%86%8A%E6%9C%AC%E7%9C%8C%E7%86%8A%E6%9C%AC%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%8B%E9%80%9A1-4-3%20%E7%86%8A%E6%9C%AC%E3%83%93%E3%83%AB%202F,32.8020476,130.7078889,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
景福宮,高知県南国市上末松316,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/kochi/A3901/A390102/39000543/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%99%AF%E7%A6%8F%E5%AE%AE%20%E9%AB%98%E7%9F%A5%E7%9C%8C%E5%8D%97%E5%9B%BD%E5%B8%82%E4%B8%8A%E6%9C%AB%E6%9D%BE316,33.5916859,133.6590347,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
TANE,大分県別府市駅前本町10-2,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/oita/A4402/A440202/44010543/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=TANE%20%E5%A4%A7%E5%88%86%E7%9C%8C%E5%88%A5%E5%BA%9C%E5%B8%82%E9%A7%85%E5%89%8D%E6%9C%AC%E7%94%BA10-2,33.2816907,131.5017601,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
峠,福岡県北九州市小倉北区赤坂3-10-5,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/fukuoka/A4004/A400401/40000399/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%B3%A0%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89%E5%8C%97%E5%8C%BA%E8%B5%A4%E5%9D%823-10-5,33.8867476,130.9108338,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
スリランカ かごしま,鹿児島県鹿児島市東千石町8-23 天神プラザビル2F-2B,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/kagoshima/A4601/A460101/46004255/,https://tabelog.com/kagoshima/A4601/A460101/46004255/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%AA%E3%83%A9%E3%83%B3%E3%82%AB%20%E3%81%8B%E3%81%94%E3%81%97%E3%81%BE%20%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82%E6%9D%B1%E5%8D%83%E7%9F%B3%E7%94%BA8-23%20%E5%A4%A9%E7%A5%9E%E3%83%97%E3%83%A9%E3%82%B6%E3%83%93%E3%83%AB2F-2B,31.5916625,130.5538203,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
市房食堂,熊本県球磨郡錦町一武2111,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/kumamoto/A4304/A430404/43003119/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%B8%82%E6%88%BF%E9%A3%9F%E5%A0%82%20%E7%86%8A%E6%9C%AC%E7%9C%8C%E7%90%83%E7%A3%A8%E9%83%A1%E9%8C%A6%E7%94%BA%E4%B8%80%E6%AD%A62111,32.1992498,130.8437689,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
メキシコ,沖縄県宜野湾市伊佐3-1-3 1Ｆ,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/okinawa/A4703/A470404/47000173/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%A1%E3%82%AD%E3%82%B7%E3%82%B3%20%E6%B2%96%E7%B8%84%E7%9C%8C%E5%AE%9C%E9%87%8E%E6%B9%BE%E5%B8%82%E4%BC%8A%E4%BD%903-1-3%201%EF%BC%A6,26.2890697,127.7562276,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
ベトナムバイク屋台コムゴン,沖縄県那覇市壺屋1-34-8,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/okinawa/A4701/A470101/47016985/,https://tabelog.com/okinawa/A4701/A470101/47016985/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%88%E3%83%8A%E3%83%A0%E3%83%90%E3%82%A4%E3%82%AF%E5%B1%8B%E5%8F%B0%E3%82%B3%E3%83%A0%E3%82%B4%E3%83%B3%20%E6%B2%96%E7%B8%84%E7%9C%8C%E9%82%A3%E8%A6%87%E5%B8%82%E5%A3%BA%E5%B1%8B1-34-8,26.2110413,127.6927174,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
トムヤムクン。,大分県別府市浜脇2-2-3 再開発ビル 1F,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/oita/A4402/A440202/44005660/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%A0%E3%83%A4%E3%83%A0%E3%82%AF%E3%83%B3%E3%80%82%20%E5%A4%A7%E5%88%86%E7%9C%8C%E5%88%A5%E5%BA%9C%E5%B8%82%E6%B5%9C%E8%84%872-2-3%20%E5%86%8D%E9%96%8B%E7%99%BA%E3%83%93%E3%83%AB%201F,33.2700923,131.5074519,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
チャイハナ海花,大分県豊後高田市臼野3332-1,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/oita/A4403/A440301/44007113/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%83%A3%E3%82%A4%E3%83%8F%E3%83%8A%E6%B5%B7%E8%8A%B1%20%E5%A4%A7%E5%88%86%E7%9C%8C%E8%B1%8A%E5%BE%8C%E9%AB%98%E7%94%B0%E5%B8%82%E8%87%BC%E9%87%8E3332-1,33.6362086,131.4852089,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
韓国風ろばた高麗房,大分県別府市元町5-8,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/oita/A4402/A440202/44003850/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%9F%93%E5%9B%BD%E9%A2%A8%E3%82%8D%E3%81%B0%E3%81%9F%E9%AB%98%E9%BA%97%E6%88%BF%20%E5%A4%A7%E5%88%86%E7%9C%8C%E5%88%A5%E5%BA%9C%E5%B8%82%E5%85%83%E7%94%BA5-8,33.2775883,131.5039739,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
東方遊酒菜ヌワラエリヤ,福岡県福岡市中央区赤坂1-1-5 鶴田けやきビル　２Ｆ,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/fukuoka/A4001/A400104/40000407/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E6%96%B9%E9%81%8A%E9%85%92%E8%8F%9C%E3%83%8C%E3%83%AF%E3%83%A9%E3%82%A8%E3%83%AA%E3%83%A4%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B5%A4%E5%9D%821-1-5%20%E9%B6%B4%E7%94%B0%E3%81%91%E3%82%84%E3%81%8D%E3%83%93%E3%83%AB%E3%80%80%EF%BC%92%EF%BC%A6,33.5852500,130.3909350,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
東インド ベンガル料理専門店インディアンスパイスファクトリー,福岡県春日市昇町4-24 稲生ビル1F,食べログ アジア・エスニック WEST 百名店 2023,https://tabelog.com/fukuoka/A4003/A400301/40050313/,https://tabelog.com/fukuoka/A4003/A400301/40050313/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E3%82%A4%E3%83%B3%E3%83%89%20%E3%83%99%E3%83%B3%E3%82%AC%E3%83%AB%E6%96%99%E7%90%86%E5%B0%82%E9%96%80%E5%BA%97%E3%82%A4%E3%83%B3%E3%83%87%E3%82%A3%E3%82%A2%E3%83%B3%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%E3%83%95%E3%82%A1%E3%82%AF%E3%83%88%E3%83%AA%E3%83%BC%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E6%98%A5%E6%97%A5%E5%B8%82%E6%98%87%E7%94%BA4-24%20%E7%A8%B2%E7%94%9F%E3%83%93%E3%83%AB1F,33.5264014,130.4488766,2023,アジア・エスニック WEST,asia_ethnic_west,発表日：2023年9月26日
