Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
INDU,神奈川県横浜市中区元町1-36-2 原ビル 1F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/kanagawa/A1401/A140105/14078045/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=INDU%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%85%83%E7%94%BA1-36-2%20%E5%8E%9F%E3%83%93%E3%83%AB%201F,35.4408550,139.6505033,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
ムムターズレストラン,千葉県白井市河原子228-11,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/chiba/A1203/A120303/12043760/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%A0%E3%83%A0%E3%82%BF%E3%83%BC%E3%82%BA%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E5%8D%83%E8%91%89%E7%9C%8C%E7%99%BD%E4%BA%95%E5%B8%82%E6%B2%B3%E5%8E%9F%E5%AD%90228-11,35.8152635,140.0594599,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
サティヤム,埼玉県さいたま市緑区道祖土1-27-10 サイドプラザ １F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/saitama/A1101/A110102/11023701/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%86%E3%82%A3%E3%83%A4%E3%83%A0%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E7%B7%91%E5%8C%BA%E9%81%93%E7%A5%96%E5%9C%9F1-27-10%20%E3%82%B5%E3%82%A4%E3%83%89%E3%83%97%E3%83%A9%E3%82%B6%20%EF%BC%91F,35.8790240,139.6684614,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
あちゃーる,宮城県仙台市泉区高森5-15-7,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/miyagi/A0401/A040104/4003415/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%81%A1%E3%82%83%E3%83%BC%E3%82%8B%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E6%B3%89%E5%8C%BA%E9%AB%98%E6%A3%AE5-15-7,38.3360020,140.8528095,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
ハラール ドーサ ビリヤニ,千葉県成田市ウィング土屋24 イオンモール成田 2F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/chiba/A1204/A120401/12046523/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%A9%E3%83%BC%E3%83%AB%20%E3%83%89%E3%83%BC%E3%82%B5%20%E3%83%93%E3%83%AA%E3%83%A4%E3%83%8B%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%88%90%E7%94%B0%E5%B8%82%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E5%9C%9F%E5%B1%8B24%20%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%AB%E6%88%90%E7%94%B0%202F,35.7956392,140.3174316,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
マドラスミールス,神奈川県川崎市中原区上丸子八幡町816 山本ビル1F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/kanagawa/A1405/A140504/14043719/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%89%E3%83%A9%E3%82%B9%E3%83%9F%E3%83%BC%E3%83%AB%E3%82%B9%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E4%B8%AD%E5%8E%9F%E5%8C%BA%E4%B8%8A%E4%B8%B8%E5%AD%90%E5%85%AB%E5%B9%A1%E7%94%BA816%20%E5%B1%B1%E6%9C%AC%E3%83%93%E3%83%AB1F,35.5802558,139.6648886,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
yaab thai,愛知県名古屋市中区栄3-13-6 LEXT HOUSE B1F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230103/23078088/,https://tabelog.com/aichi/A2301/A230103/23078088/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=yaab%20thai%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%843-13-6%20LEXT%20HOUSE%20B1F,35.1665556,136.9054045,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
南インド料理DAL,北海道帯広市西15条南35-1-2,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/hokkaido/A0111/A011101/1049380/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%8D%97%E3%82%A4%E3%83%B3%E3%83%89%E6%96%99%E7%90%86DAL%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%B8%AF%E5%BA%83%E5%B8%82%E8%A5%BF15%E6%9D%A1%E5%8D%9735-1-2,42.8903956,143.1836881,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
ラオパサ,愛知県名古屋市東区泉2-13-4 カスティロ泉１B,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230104/23004325/,https://tabelog.com/aichi/A2301/A230104/23004325/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%82%AA%E3%83%91%E3%82%B5%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E6%B3%892-13-4%20%E3%82%AB%E3%82%B9%E3%83%86%E3%82%A3%E3%83%AD%E6%B3%89%EF%BC%91B,35.1769494,136.9147853,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
タイ料理レストラン きんめだい,千葉県船橋市山野町68-5 パストラル弐番館 1F,食べログ アジア・エスニック EAST 百名店 2024,https://tabelog.com/chiba/A1202/A120201/12045774/,https://tabelog.com/chiba/A1202/A120201/12045774/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%BF%E3%82%A4%E6%96%99%E7%90%86%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%81%8D%E3%82%93%E3%82%81%E3%81%A0%E3%81%84%20%E5%8D%83%E8%91%89%E7%9C%8C%E8%88%B9%E6%A9%8B%E5%B8%82%E5%B1%B1%E9%87%8E%E7%94%BA68-5%20%E3%83%91%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AB%E5%BC%90%E7%95%AA%E9%A4%A8%201F,35.7060743,139.9610721,2024,アジア・エスニック EAST,asia_ethnic_east,発表日：2024年7月23日
