Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
豊栄,東京都文京区本駒込3-1-8 COCOPLUS本駒込 1F,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1323/A132301/13276558/,https://tabelog.com/tokyo/A1323/A132301/13276558/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E8%B1%8A%E6%A0%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E6%9C%AC%E9%A7%92%E8%BE%BC3-1-8%20COCOPLUS%E6%9C%AC%E9%A7%92%E8%BE%BC%201F,35.7258240,139.7536752,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
銀座嘉禅,東京都中央区銀座6-3-11 西銀座ビル 2F,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1301/A130101/13270780/,https://tabelog.com/tokyo/A1301/A130101/13270780/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%E5%98%89%E7%A6%85%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A76-3-11%20%E8%A5%BF%E9%8A%80%E5%BA%A7%E3%83%93%E3%83%AB%202F,35.6711887,139.7608842,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
52,東京都港区六本木4-6-4 第５一越ビル 2F,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1307/A130701/13150543/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=52%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A84-6-4%20%E7%AC%AC%EF%BC%95%E4%B8%80%E8%B6%8A%E3%83%93%E3%83%AB%202F,35.6644920,139.7325319,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
O2,東京都江東区三好2-15-12 峯岸ビル1F,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1313/A131303/13219958/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=O2%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E4%B8%89%E5%A5%BD2-15-12%20%E5%B3%AF%E5%B2%B8%E3%83%93%E3%83%AB1F,35.6803082,139.8026955,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
虎峰,東京都港区六本木3-8-7 PALビル 1F,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1307/A130701/13194122/,https://tabelog.com/tokyo/A1307/A130701/13194122/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E8%99%8E%E5%B3%B0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A83-8-7%20PAL%E3%83%93%E3%83%AB%201F,35.6633271,139.7344878,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
ジュウバー,東京都新宿区神楽坂2-12 神楽坂ビル 3F,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1309/A130905/13207885/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%83%A5%E3%82%A6%E3%83%90%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%A5%9E%E6%A5%BD%E5%9D%822-12%20%E7%A5%9E%E6%A5%BD%E5%9D%82%E3%83%93%E3%83%AB%203F,35.7010199,139.7414715,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
中華 兆徳,東京都文京区向丘1-10-5,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1323/A132301/13051394/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%20%E5%85%86%E5%BE%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E5%90%91%E4%B8%981-10-5,35.7229153,139.7540856,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
馥香 浅草橋本店,東京都台東区柳橋2-14-2 アリス・マナーガーデン浅草橋　１Ｆ,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1311/A131103/13010780/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%A6%A5%E9%A6%99%20%E6%B5%85%E8%8D%89%E6%A9%8B%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E6%9F%B3%E6%A9%8B2-14-2%20%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%83%9E%E3%83%8A%E3%83%BC%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3%E6%B5%85%E8%8D%89%E6%A9%8B%E3%80%80%EF%BC%91%EF%BC%A6,35.6992761,139.7877677,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
シェフス,東京都新宿区新宿1-24-1 藤和ハイタウン　１Ｆ,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1304/A130402/13000884/,https://tabelog.com/tokyo/A1304/A130402/13000884/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%82%A7%E3%83%95%E3%82%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF1-24-1%20%E8%97%A4%E5%92%8C%E3%83%8F%E3%82%A4%E3%82%BF%E3%82%A6%E3%83%B3%E3%80%80%EF%BC%91%EF%BC%A6,35.6897416,139.7142075,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
の弥七,東京都新宿区荒木町2-9 MIT四ッ谷三丁目ビル 1F,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1309/A130903/13209784/,https://tabelog.com/tokyo/A1309/A130903/13209784/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%AE%E5%BC%A5%E4%B8%83%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%8D%92%E6%9C%A8%E7%94%BA2-9%20MIT%E5%9B%9B%E3%83%83%E8%B0%B7%E4%B8%89%E4%B8%81%E7%9B%AE%E3%83%93%E3%83%AB%201F,35.6885952,139.7224228,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
港式料理 鴻禧,東京都港区西新橋2-13-6 ミタニビル 1F,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1308/A130802/13274319/,https://tabelog.com/tokyo/A1308/A130802/13274319/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E6%B8%AF%E5%BC%8F%E6%96%99%E7%90%86%20%E9%B4%BB%E7%A6%A7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E6%96%B0%E6%A9%8B2-13-6%20%E3%83%9F%E3%82%BF%E3%83%8B%E3%83%93%E3%83%AB%201F,35.6667125,139.7516525,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
飄香 広尾店,東京都渋谷区広尾5-19-1 HIROO VILLAGE 1-2F,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1307/A130703/13274033/,https://tabelog.com/tokyo/A1307/A130703/13274033/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%A3%84%E9%A6%99%20%E5%BA%83%E5%B0%BE%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E5%BA%83%E5%B0%BE5-19-1%20HIROO%20VILLAGE%201-2F,35.6490149,139.7195953,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
龍口酒家 本店,東京都-渋谷区幡ケ谷1-3-1 幡ヶ谷ゴールデンセンター　Ｂ１Ｆ,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1318/A131807/13004350/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%BE%8D%E5%8F%A3%E9%85%92%E5%AE%B6%20%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD-%E6%B8%8B%E8%B0%B7%E5%8C%BA%E5%B9%A1%E3%82%B1%E8%B0%B71-3-1%20%E5%B9%A1%E3%83%B6%E8%B0%B7%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,35.6768564,139.6764600,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
赤坂珉珉,東京都港区赤坂8-7-4,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1307/A130701/13001342/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%B5%A4%E5%9D%82%E7%8F%89%E7%8F%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%828-7-4,35.6707848,139.7296758,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
神田 雲林,東京都千代田区神田須田町1-17 2F,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1310/A131002/13023052/,https://tabelog.com/tokyo/A1310/A131002/13023052/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E7%94%B0%20%E9%9B%B2%E6%9E%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E9%A0%88%E7%94%B0%E7%94%BA1-17%202F,35.6966374,139.7686588,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
慈華,東京都港区南青山2-14-15 AOYAMA FUSION Bldg. 2F,食べログ 中国料理 TOKYO 百名店 2024,https://tabelog.com/tokyo/A1306/A130603/13242634/,https://tabelog.com/tokyo/A1306/A130603/13242634/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E6%85%88%E8%8F%AF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B12-14-15%20AOYAMA%20FUSION%20Bldg.%202F,35.6702595,139.7202185,2024,中国料理 TOKYO,chinese_tokyo,発表日：2024年6月11日
