Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
中国菜 KHAOS,福岡県福岡市早良区西新3-15-9 2F,食べログ 中国料理 WEST 百名店 2024,https://tabelog.com/fukuoka/A4001/A400203/40050509/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E8%8F%9C%20KHAOS%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E6%97%A9%E8%89%AF%E5%8C%BA%E8%A5%BF%E6%96%B03-15-9%202F,33.5879591,130.3568030,2024,中国料理 WEST,chinese_west,発表日：2024年6月11日
華祥,京都府京都市左京区田中里ノ内町41-1,食べログ 中国料理 WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260302/26003713/,https://www.google.com/maps/search/?api=1&query=%E8%8F%AF%E7%A5%A5%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B7%A6%E4%BA%AC%E5%8C%BA%E7%94%B0%E4%B8%AD%E9%87%8C%E3%83%8E%E5%86%85%E7%94%BA41-1,35.0336601,135.7807212,2024,中国料理 WEST,chinese_west,発表日：2024年6月11日
広東料理 鳳泉,京都府京都市中京区河原町二条上ル清水町359 ＡＢビル　１Ｆ,食べログ 中国料理 WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260202/26014396/,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E6%9D%B1%E6%96%99%E7%90%86%20%E9%B3%B3%E6%B3%89%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E6%B2%B3%E5%8E%9F%E7%94%BA%E4%BA%8C%E6%9D%A1%E4%B8%8A%E3%83%AB%E6%B8%85%E6%B0%B4%E7%94%BA359%20%EF%BC%A1%EF%BC%A2%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.0134532,135.7687967,2024,中国料理 WEST,chinese_west,発表日：2024年6月11日
杏杏,兵庫県神戸市中央区下山手通4-13-14,食べログ 中国料理 WEST 百名店 2024,https://tabelog.com/hyogo/A2801/A280102/28000625/,https://www.google.com/maps/search/?api=1&query=%E6%9D%8F%E6%9D%8F%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%8B%E5%B1%B1%E6%89%8B%E9%80%9A4-13-14,34.6929520,135.1859689,2024,中国料理 WEST,chinese_west,発表日：2024年6月11日
フーロン,大阪府大阪市北区曽根崎新地1-2-4 谷安セストビル　2F,食べログ 中国料理 WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27043596/,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%83%BC%E3%83%AD%E3%83%B3%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E%E6%96%B0%E5%9C%B01-2-4%20%E8%B0%B7%E5%AE%89%E3%82%BB%E3%82%B9%E3%83%88%E3%83%93%E3%83%AB%E3%80%802F,34.6970199,135.4983386,2024,中国料理 WEST,chinese_west,発表日：2024年6月11日
味包,兵庫県西宮市甲子園口3丁目16-16,食べログ 中国料理 WEST 百名店 2024,https://tabelog.com/hyogo/A2803/A280301/28031189/,https://www.google.com/maps/search/?api=1&query=%E5%91%B3%E5%8C%85%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E8%A5%BF%E5%AE%AE%E5%B8%82%E7%94%B2%E5%AD%90%E5%9C%92%E5%8F%A33%E4%B8%81%E7%9B%AE16-16,34.7365769,135.3735458,2024,中国料理 WEST,chinese_west,発表日：2024年6月11日
善道,大阪府大阪市北区堂島1-3-14,食べログ 中国料理 WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27065615/,https://www.google.com/maps/search/?api=1&query=%E5%96%84%E9%81%93%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A0%82%E5%B3%B61-3-14,34.6965156,135.4971656,2024,中国料理 WEST,chinese_west,発表日：2024年6月11日
京中華 牧定,京都府京都市中京区高倉二条下る瓦町565-5,食べログ 中国料理 WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260202/26038357/,https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E4%B8%AD%E8%8F%AF%20%E7%89%A7%E5%AE%9A%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E9%AB%98%E5%80%89%E4%BA%8C%E6%9D%A1%E4%B8%8B%E3%82%8B%E7%93%A6%E7%94%BA565-5,35.0123081,135.7621868,2024,中国料理 WEST,chinese_west,発表日：2024年6月11日
齋華,京都府京都市東山区泉涌寺山内町35-3,食べログ 中国料理 WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260304/26023771/,https://www.google.com/maps/search/?api=1&query=%E9%BD%8B%E8%8F%AF%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E6%B3%89%E6%B6%8C%E5%AF%BA%E5%B1%B1%E5%86%85%E7%94%BA35-3,34.9795328,135.7775565,2024,中国料理 WEST,chinese_west,発表日：2024年6月11日
福龍園,大阪府大阪市北区天満4-16-8 ハイツ天満宮　１Ｆ,食べログ 中国料理 WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270103/27002221/,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E9%BE%8D%E5%9C%92%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A4%A9%E6%BA%804-16-8%20%E3%83%8F%E3%82%A4%E3%83%84%E5%A4%A9%E6%BA%80%E5%AE%AE%E3%80%80%EF%BC%91%EF%BC%A6,34.6958349,135.5141543,2024,中国料理 WEST,chinese_west,発表日：2024年6月11日
