Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
香蘭 宇都宮駅西口店,栃木県宇都宮市駅前通り1-5-9,食べログ 餃子 百名店 2024,https://tabelog.com/tochigi/A0901/A090101/9020129/,https://www.google.com/maps/search/?api=1&query=%E9%A6%99%E8%98%AD%20%E5%AE%87%E9%83%BD%E5%AE%AE%E9%A7%85%E8%A5%BF%E5%8F%A3%E5%BA%97%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E9%A7%85%E5%89%8D%E9%80%9A%E3%82%8A1-5-9,36.5594307,139.8970830,2024,餃子,gyoza,発表日：2024年6月25日
横浜とんとん,神奈川県横浜市保土ケ谷区星川1-15-27,食べログ 餃子 百名店 2024,https://tabelog.com/kanagawa/A1401/A140301/14003956/,https://www.google.com/maps/search/?api=1&query=%E6%A8%AA%E6%B5%9C%E3%81%A8%E3%82%93%E3%81%A8%E3%82%93%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%BF%9D%E5%9C%9F%E3%82%B1%E8%B0%B7%E5%8C%BA%E6%98%9F%E5%B7%9D1-15-27,35.4552253,139.5927644,2024,餃子,gyoza,発表日：2024年6月25日
喜慕里,静岡県浜松市中央区増楽町563-3,食べログ 餃子 百名店 2024,https://tabelog.com/shizuoka/A2202/A220201/22002540/,https://www.google.com/maps/search/?api=1&query=%E5%96%9C%E6%85%95%E9%87%8C%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E6%B5%9C%E6%9D%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%A2%97%E6%A5%BD%E7%94%BA563-3,34.6885601,137.6889585,2024,餃子,gyoza,発表日：2024年6月25日
餃天堂 シンボルロード店,栃木県宇都宮市池上町1-11,食べログ 餃子 百名店 2024,https://tabelog.com/tochigi/A0901/A090101/9020423/,https://www.google.com/maps/search/?api=1&query=%E9%A4%83%E5%A4%A9%E5%A0%82%20%E3%82%B7%E3%83%B3%E3%83%9C%E3%83%AB%E3%83%AD%E3%83%BC%E3%83%89%E5%BA%97%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E6%B1%A0%E4%B8%8A%E7%94%BA1-11,36.5609694,139.8831763,2024,餃子,gyoza,発表日：2024年6月25日
餃子とスパークリング バブルス,愛知県名古屋市中区栄2-1-12 ダイアパレス伏見 1F,食べログ 餃子 百名店 2024,https://tabelog.com/aichi/A2301/A230102/23068000/,https://www.google.com/maps/search/?api=1&query=%E9%A4%83%E5%AD%90%E3%81%A8%E3%82%B9%E3%83%91%E3%83%BC%E3%82%AF%E3%83%AA%E3%83%B3%E3%82%B0%20%E3%83%90%E3%83%96%E3%83%AB%E3%82%B9%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%842-1-12%20%E3%83%80%E3%82%A4%E3%82%A2%E3%83%91%E3%83%AC%E3%82%B9%E4%BC%8F%E8%A6%8B%201F,35.1678609,136.8983748,2024,餃子,gyoza,発表日：2024年6月25日
野方餃子 本店,東京都中野区野方6-18-8 杉山ビル 1Ｆ,食べログ 餃子 百名店 2024,https://tabelog.com/tokyo/A1321/A132104/13154377/,https://www.google.com/maps/search/?api=1&query=%E9%87%8E%E6%96%B9%E9%A4%83%E5%AD%90%20%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E9%87%8E%E5%8C%BA%E9%87%8E%E6%96%B96-18-8%20%E6%9D%89%E5%B1%B1%E3%83%93%E3%83%AB%201%EF%BC%A6,35.7230512,139.6522015,2024,餃子,gyoza,発表日：2024年6月25日
北新地 ふか,大阪府大阪市北区堂島浜1-3-22 ビル 堂島タウン B1F,食べログ 餃子 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27135796/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%96%B0%E5%9C%B0%20%E3%81%B5%E3%81%8B%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A0%82%E5%B3%B6%E6%B5%9C1-3-22%20%E3%83%93%E3%83%AB%20%E5%A0%82%E5%B3%B6%E3%82%BF%E3%82%A6%E3%83%B3%20B1F,34.6957347,135.4975189,2024,餃子,gyoza,発表日：2024年6月25日
丸正餃子店 第2阪奈店,大阪府大東市扇町5-2,食べログ 餃子 百名店 2024,https://tabelog.com/osaka/A2707/A270704/27013042/,https://www.google.com/maps/search/?api=1&query=%E4%B8%B8%E6%AD%A3%E9%A4%83%E5%AD%90%E5%BA%97%20%E7%AC%AC2%E9%98%AA%E5%A5%88%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E6%9D%B1%E5%B8%82%E6%89%87%E7%94%BA5-2,34.7032628,135.6189495,2024,餃子,gyoza,発表日：2024年6月25日
餃子専門店 祥雲,兵庫県神戸市中央区加納町4-8-19 北上ホテル１Ｆ,食べログ 餃子 百名店 2024,https://tabelog.com/hyogo/A2801/A280101/28006275/,https://www.google.com/maps/search/?api=1&query=%E9%A4%83%E5%AD%90%E5%B0%82%E9%96%80%E5%BA%97%20%E7%A5%A5%E9%9B%B2%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8A%A0%E7%B4%8D%E7%94%BA4-8-19%20%E5%8C%97%E4%B8%8A%E3%83%9B%E3%83%86%E3%83%AB%EF%BC%91%EF%BC%A6,34.6963893,135.1928140,2024,餃子,gyoza,発表日：2024年6月25日
黒兵衛,宮崎県延岡市新町2-3,食べログ 餃子 百名店 2024,https://tabelog.com/miyazaki/A4505/A450501/45001424/,https://www.google.com/maps/search/?api=1&query=%E9%BB%92%E5%85%B5%E8%A1%9B%20%E5%AE%AE%E5%B4%8E%E7%9C%8C%E5%BB%B6%E5%B2%A1%E5%B8%82%E6%96%B0%E7%94%BA2-3,32.5806205,131.6696324,2024,餃子,gyoza,発表日：2024年6月25日
