Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ログキット 佐世保本店,長崎県佐世保市矢岳町1-1 ２Ｆ,食べログ ハンバーガー 百名店 2024,https://tabelog.com/nagasaki/A4202/A420201/42000138/,https://www.google.com/maps/search/?api=1&query=%E3%83%AD%E3%82%B0%E3%82%AD%E3%83%83%E3%83%88%20%E4%BD%90%E4%B8%96%E4%BF%9D%E6%9C%AC%E5%BA%97%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82%E7%9F%A2%E5%B2%B3%E7%94%BA1-1%20%EF%BC%92%EF%BC%A6,33.1732198,129.7131611,2024,ハンバーガー,hamburger,発表日：2024年3月12日
リーフ  バーガー,熊本県熊本市南区近見6-21-35,食べログ ハンバーガー 百名店 2024,https://tabelog.com/kumamoto/A4301/A430101/43007888/,https://www.google.com/maps/search/?api=1&query=%E3%83%AA%E3%83%BC%E3%83%95%20%20%E3%83%90%E3%83%BC%E3%82%AC%E3%83%BC%20%E7%86%8A%E6%9C%AC%E7%9C%8C%E7%86%8A%E6%9C%AC%E5%B8%82%E5%8D%97%E5%8C%BA%E8%BF%91%E8%A6%8B6-21-35,32.7626549,130.6939072,2024,ハンバーガー,hamburger,発表日：2024年3月12日
1/3 HAMBURGER FACTORY,石川県金沢市畝田東4-1125,食べログ ハンバーガー 百名店 2024,https://tabelog.com/ishikawa/A1701/A170101/17013126/,https://www.google.com/maps/search/?api=1&query=1/3%20HAMBURGER%20FACTORY%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%E7%95%9D%E7%94%B0%E6%9D%B14-1125,36.5991836,136.6122368,2024,ハンバーガー,hamburger,発表日：2024年3月12日
パントリー コヨーテ,千葉県千葉市中央区中央3-11-11 ニュー豊田ビル 1F,食べログ ハンバーガー 百名店 2024,https://tabelog.com/chiba/A1201/A120101/12020222/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC%20%E3%82%B3%E3%83%A8%E3%83%BC%E3%83%86%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%AD%E5%A4%AE3-11-11%20%E3%83%8B%E3%83%A5%E3%83%BC%E8%B1%8A%E7%94%B0%E3%83%93%E3%83%AB%201F,35.6079526,140.1246755,2024,ハンバーガー,hamburger,発表日：2024年3月12日
ラッキーピエロ ベイエリア本店,北海道函館市末広町23-18,食べログ ハンバーガー 百名店 2024,https://tabelog.com/hokkaido/A0105/A010501/1000019/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%83%E3%82%AD%E3%83%BC%E3%83%94%E3%82%A8%E3%83%AD%20%E3%83%99%E3%82%A4%E3%82%A8%E3%83%AA%E3%82%A2%E6%9C%AC%E5%BA%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%87%BD%E9%A4%A8%E5%B8%82%E6%9C%AB%E5%BA%83%E7%94%BA23-18,41.7657640,140.7149416,2024,ハンバーガー,hamburger,発表日：2024年3月12日
Jack37Burger,東京都中央区日本橋小伝馬町16-16,食べログ ハンバーガー 百名店 2024,https://tabelog.com/tokyo/A1302/A130204/13186781/,https://www.google.com/maps/search/?api=1&query=Jack37Burger%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B%E5%B0%8F%E4%BC%9D%E9%A6%AC%E7%94%BA16-16,35.6921633,139.7799156,2024,ハンバーガー,hamburger,発表日：2024年3月12日
COOKER'S GRILL,神奈川県藤沢市辻堂2-9-35 太田ビル 1F,食べログ ハンバーガー 百名店 2024,https://tabelog.com/kanagawa/A1404/A140404/14066337/,https://www.google.com/maps/search/?api=1&query=COOKER%27S%20GRILL%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%97%A4%E6%B2%A2%E5%B8%82%E8%BE%BB%E5%A0%822-9-35%20%E5%A4%AA%E7%94%B0%E3%83%93%E3%83%AB%201F,35.3361064,139.4466923,2024,ハンバーガー,hamburger,発表日：2024年3月12日
バーガーマニア 白金店,東京都港区白金6-5-7,食べログ ハンバーガー 百名店 2024,https://tabelog.com/tokyo/A1316/A131602/13047335/,https://www.google.com/maps/search/?api=1&query=%E3%83%90%E3%83%BC%E3%82%AC%E3%83%BC%E3%83%9E%E3%83%8B%E3%82%A2%20%E7%99%BD%E9%87%91%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E7%99%BD%E9%87%916-5-7,35.6443766,139.7254323,2024,ハンバーガー,hamburger,発表日：2024年3月12日
Burger Stand Tender,新潟県新潟市中央区東中通1番町86-12 福住ビルⅡF1,食べログ ハンバーガー 百名店 2024,https://tabelog.com/niigata/A1501/A150101/15018604/,https://www.google.com/maps/search/?api=1&query=Burger%20Stand%20Tender%20%E6%96%B0%E6%BD%9F%E7%9C%8C%E6%96%B0%E6%BD%9F%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9D%B1%E4%B8%AD%E9%80%9A1%E7%95%AA%E7%94%BA86-12%20%E7%A6%8F%E4%BD%8F%E3%83%93%E3%83%AB%E2%85%A1F1,37.9172272,139.0375022,2024,ハンバーガー,hamburger,発表日：2024年3月12日
Gui's Burger by Humans of Wagyu,兵庫県芦屋市大桝町7-4,食べログ ハンバーガー 百名店 2024,https://tabelog.com/hyogo/A2803/A280302/28065298/,https://www.google.com/maps/search/?api=1&query=Gui%27s%20Burger%20by%20Humans%20of%20Wagyu%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E8%8A%A6%E5%B1%8B%E5%B8%82%E5%A4%A7%E6%A1%9D%E7%94%BA7-4,34.7290601,135.3060411,2024,ハンバーガー,hamburger,発表日：2024年3月12日
