Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
酒肴飯ブリオ,大阪府大阪市福島区福島7-11-51 福ろうじ商店街 南側51号,食べログ 居酒屋 WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270108/27130963/,https://www.google.com/maps/search/?api=1&query=%E9%85%92%E8%82%B4%E9%A3%AF%E3%83%96%E3%83%AA%E3%82%AA%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A6%8F%E5%B3%B6%E5%8C%BA%E7%A6%8F%E5%B3%B67-11-51%20%E7%A6%8F%E3%82%8D%E3%81%86%E3%81%98%E5%95%86%E5%BA%97%E8%A1%97%20%E5%8D%97%E5%81%B451%E5%8F%B7,2024,居酒屋 WEST,izakaya_west,発表日：2024年10月8日
長久酒場,和歌山県西牟婁郡白浜町3079-6,食べログ 居酒屋 WEST 百名店 2024,https://tabelog.com/wakayama/A3004/A300401/30000368/,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E4%B9%85%E9%85%92%E5%A0%B4%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E7%9C%8C%E8%A5%BF%E7%89%9F%E5%A9%81%E9%83%A1%E7%99%BD%E6%B5%9C%E7%94%BA3079-6,2024,居酒屋 WEST,izakaya_west,発表日：2024年10月8日
おのころ五合,福岡県福岡市中央区港1-4-24 24グレイスT&T 1F,食べログ 居酒屋 WEST 百名店 2024,https://tabelog.com/fukuoka/A4001/A400104/40035218/,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E3%81%AE%E3%81%93%E3%82%8D%E4%BA%94%E5%90%88%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%B8%AF1-4-24%2024%E3%82%B0%E3%83%AC%E3%82%A4%E3%82%B9T%26T%201F,2024,居酒屋 WEST,izakaya_west,発表日：2024年10月8日
お料理 うち山,福岡県福岡市中央区赤坂1-1-17 1F,食べログ 居酒屋 WEST 百名店 2024,https://tabelog.com/fukuoka/A4001/A400104/40056079/,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E6%96%99%E7%90%86%20%E3%81%86%E3%81%A1%E5%B1%B1%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B5%A4%E5%9D%821-1-17%201F,2024,居酒屋 WEST,izakaya_west,発表日：2024年10月8日
やすきよ,大阪府大阪市東成区東小橋1-2-19,食べログ 居酒屋 WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270204/27032026/,https://www.google.com/maps/search/?api=1&query=%E3%82%84%E3%81%99%E3%81%8D%E3%82%88%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%9D%B1%E6%88%90%E5%8C%BA%E6%9D%B1%E5%B0%8F%E6%A9%8B1-2-19,2024,居酒屋 WEST,izakaya_west,発表日：2024年10月8日
日本酒餐昧うつつよ,大阪府大阪市中央区本町3丁目2-1 2F,食べログ 居酒屋 WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270106/27057950/,https://www.google.com/maps/search/?api=1&query=%E6%97%A5%E6%9C%AC%E9%85%92%E9%A4%90%E6%98%A7%E3%81%86%E3%81%A4%E3%81%A4%E3%82%88%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9C%AC%E7%94%BA3%E4%B8%81%E7%9B%AE2-1%202F,2024,居酒屋 WEST,izakaya_west,発表日：2024年10月8日
向井酒の店,三重県伊勢市宮後2-5-26,食べログ 居酒屋 WEST 百名店 2024,https://tabelog.com/mie/A2403/A240301/24005695/,https://www.google.com/maps/search/?api=1&query=%E5%90%91%E4%BA%95%E9%85%92%E3%81%AE%E5%BA%97%20%E4%B8%89%E9%87%8D%E7%9C%8C%E4%BC%8A%E5%8B%A2%E5%B8%82%E5%AE%AE%E5%BE%8C2-5-26,2024,居酒屋 WEST,izakaya_west,発表日：2024年10月8日
ひいらぎ亭,京都府京都市東山区知恩院前石橋町306-6,食べログ 居酒屋 WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260201/26031016/,https://www.google.com/maps/search/?api=1&query=%E3%81%B2%E3%81%84%E3%82%89%E3%81%8E%E4%BA%AD%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E6%9D%B1%E5%B1%B1%E5%8C%BA%E7%9F%A5%E6%81%A9%E9%99%A2%E5%89%8D%E7%9F%B3%E6%A9%8B%E7%94%BA306-6,2024,居酒屋 WEST,izakaya_west,発表日：2024年10月8日
魚虎,福岡県北九州市八幡西区熊手1-2-5,食べログ 居酒屋 WEST 百名店 2024,https://tabelog.com/fukuoka/A4004/A400404/40021924/,https://www.google.com/maps/search/?api=1&query=%E9%AD%9A%E8%99%8E%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%85%AB%E5%B9%A1%E8%A5%BF%E5%8C%BA%E7%86%8A%E6%89%8B1-2-5,2024,居酒屋 WEST,izakaya_west,発表日：2024年10月8日
いたる 本店,石川県金沢市柿木畠3-8,食べログ 居酒屋 WEST 百名店 2024,https://tabelog.com/ishikawa/A1701/A170101/17000009/,https://www.google.com/maps/search/?api=1&query=%E3%81%84%E3%81%9F%E3%82%8B%20%E6%9C%AC%E5%BA%97%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%E6%9F%BF%E6%9C%A8%E7%95%A03-8,2024,居酒屋 WEST,izakaya_west,発表日：2024年10月8日
