Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
カープ 東京支店,東京都千代田区神田鍛冶町3-5 保坂神田ビル,食べログ お好み焼き 百名店 2024,https://tabelog.com/tokyo/A1310/A131002/13004170/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%BC%E3%83%97%20%E6%9D%B1%E4%BA%AC%E6%94%AF%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E9%8D%9B%E5%86%B6%E7%94%BA3-5%20%E4%BF%9D%E5%9D%82%E7%A5%9E%E7%94%B0%E3%83%93%E3%83%AB,35.6937303,139.7703229,2024,お好み焼き,okonomiyaki,発表日：2024年5月28日
福太郎 なんばダイニングメゾン店,大阪府大阪市中央区難波5-1-18 なんばダイニングメゾン 8F,食べログ お好み焼き 百名店 2024,https://tabelog.com/osaka/A2701/A270202/27046834/,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%A4%AA%E9%83%8E%20%E3%81%AA%E3%82%93%E3%81%B0%E3%83%80%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0%E3%83%A1%E3%82%BE%E3%83%B3%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%9B%A3%E6%B3%A25-1-18%20%E3%81%AA%E3%82%93%E3%81%B0%E3%83%80%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0%E3%83%A1%E3%82%BE%E3%83%B3%208F,34.6645919,135.5017650,2024,お好み焼き,okonomiyaki,発表日：2024年5月28日
タマちゃん,岡山県備前市日生町寒河1118,食べログ お好み焼き 百名店 2024,https://tabelog.com/okayama/A3305/A330501/33000431/,,https://www.google.com/maps/search/?api=1&query=%E3%82%BF%E3%83%9E%E3%81%A1%E3%82%83%E3%82%93%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%82%99%E5%89%8D%E5%B8%82%E6%97%A5%E7%94%9F%E7%94%BA%E5%AF%92%E6%B2%B31118,34.7473055,134.2972559,2024,お好み焼き,okonomiyaki,発表日：2024年5月28日
さち,広島県府中市府中町750,食べログ お好み焼き 百名店 2024,https://tabelog.com/hiroshima/A3405/A340504/34000910/,,https://www.google.com/maps/search/?api=1&query=%E3%81%95%E3%81%A1%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%9C%E4%B8%AD%E5%B8%82%E5%BA%9C%E4%B8%AD%E7%94%BA750,34.5750161,133.2292741,2024,お好み焼き,okonomiyaki,発表日：2024年5月28日
八昌 西新店,福岡県福岡市早良区西新4-6-6 ロマネスク西新第５　１Ｆ,食べログ お好み焼き 百名店 2024,https://tabelog.com/fukuoka/A4001/A400203/40000467/,https://tabelog.com/fukuoka/A4001/A400203/40000467/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E6%98%8C%20%E8%A5%BF%E6%96%B0%E5%BA%97%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E6%97%A9%E8%89%AF%E5%8C%BA%E8%A5%BF%E6%96%B04-6-6%20%E3%83%AD%E3%83%9E%E3%83%8D%E3%82%B9%E3%82%AF%E8%A5%BF%E6%96%B0%E7%AC%AC%EF%BC%95%E3%80%80%EF%BC%91%EF%BC%A6,33.5824023,130.3606516,2024,お好み焼き,okonomiyaki,発表日：2024年5月28日
薬研堀 八昌,広島県広島市中区薬研堀10-6,食べログ お好み焼き 百名店 2024,https://tabelog.com/hiroshima/A3401/A340110/34000100/,,https://www.google.com/maps/search/?api=1&query=%E8%96%AC%E7%A0%94%E5%A0%80%20%E5%85%AB%E6%98%8C%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%8C%BA%E8%96%AC%E7%A0%94%E5%A0%8010-6,34.3894274,132.4652324,2024,お好み焼き,okonomiyaki,発表日：2024年5月28日
お好み焼き 大樹,広島県広島市安芸区船越南3-28-28,食べログ お好み焼き 百名店 2024,https://tabelog.com/hiroshima/A3401/A340404/34002051/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%81%8D%20%E5%A4%A7%E6%A8%B9%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E5%AE%89%E8%8A%B8%E5%8C%BA%E8%88%B9%E8%B6%8A%E5%8D%973-28-28,34.3702616,132.5266979,2024,お好み焼き,okonomiyaki,発表日：2024年5月28日
元祖八昌,広島県広島市中区竹屋町5-21,食べログ お好み焼き 百名店 2024,https://tabelog.com/hiroshima/A3401/A340101/34000044/,,https://www.google.com/maps/search/?api=1&query=%E5%85%83%E7%A5%96%E5%85%AB%E6%98%8C%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%8C%BA%E7%AB%B9%E5%B1%8B%E7%94%BA5-21,34.3833168,132.4611790,2024,お好み焼き,okonomiyaki,発表日：2024年5月28日
お好み焼 ゆかり 曽根崎本店,大阪府大阪市北区曽根崎2-14-13,食べログ お好み焼き 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27001885/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%20%E3%82%86%E3%81%8B%E3%82%8A%20%E6%9B%BD%E6%A0%B9%E5%B4%8E%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BD%E6%A0%B9%E5%B4%8E2-14-13,34.7009215,135.5004809,2024,お好み焼き,okonomiyaki,発表日：2024年5月28日
お好み焼き 八昌,広島県広島市中区幟町14-17,食べログ お好み焼き 百名店 2024,https://tabelog.com/hiroshima/A3401/A340108/34019405/,,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%81%8D%20%E5%85%AB%E6%98%8C%20%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%BA%83%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B9%9F%E7%94%BA14-17,34.3938086,132.4664463,2024,お好み焼き,okonomiyaki,発表日：2024年5月28日
