Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
北山龍,北海道札幌市北区麻生町2-4-8,食べログ ラーメン HOKKAIDO 百名店 2024,https://tabelog.com/hokkaido/A0101/A010201/1000468/,,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E5%B1%B1%E9%BE%8D%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8C%97%E5%8C%BA%E9%BA%BB%E7%94%9F%E7%94%BA2-4-8,43.1095288,141.3392179,2024,ラーメン HOKKAIDO,ramen_hokkaido,発表日：2024年12月3日
"雨は、やさしく NO,2",北海道札幌市東区北七条東3-1-1,食べログ ラーメン HOKKAIDO 百名店 2024,https://tabelog.com/hokkaido/A0101/A010202/1055806/,,https://www.google.com/maps/search/?api=1&query=%E9%9B%A8%E3%81%AF%E3%80%81%E3%82%84%E3%81%95%E3%81%97%E3%81%8F%20NO%2C2%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E6%9D%B1%E5%8C%BA%E5%8C%97%E4%B8%83%E6%9D%A1%E6%9D%B13-1-1,43.0714032,141.3593625,2024,ラーメン HOKKAIDO,ramen_hokkaido,発表日：2024年12月3日
らーめん工房 魚一,北海道釧路市幸町13-1 釧路丹頂市場内,食べログ ラーメン HOKKAIDO 百名店 2024,https://tabelog.com/hokkaido/A0112/A011201/1007709/,,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%E5%B7%A5%E6%88%BF%20%E9%AD%9A%E4%B8%80%20%E5%8C%97%E6%B5%B7%E9%81%93%E9%87%A7%E8%B7%AF%E5%B8%82%E5%B9%B8%E7%94%BA13-1%20%E9%87%A7%E8%B7%AF%E4%B8%B9%E9%A0%82%E5%B8%82%E5%A0%B4%E5%86%85,42.9886846,144.3793086,2024,ラーメン HOKKAIDO,ramen_hokkaido,発表日：2024年12月3日
はこだて塩らーめん　しなの,北海道函館市若松町20-10,食べログ ラーメン HOKKAIDO 百名店 2024,https://tabelog.com/hokkaido/A0105/A010501/1020986/,,https://www.google.com/maps/search/?api=1&query=%E3%81%AF%E3%81%93%E3%81%A0%E3%81%A6%E5%A1%A9%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%E3%80%80%E3%81%97%E3%81%AA%E3%81%AE%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%87%BD%E9%A4%A8%E5%B8%82%E8%8B%A5%E6%9D%BE%E7%94%BA20-10,41.7734792,140.7287289,2024,ラーメン HOKKAIDO,ramen_hokkaido,発表日：2024年12月3日
らーめん 信玄 南６条店,北海道札幌市中央区南六条西8,食べログ ラーメン HOKKAIDO 百名店 2024,https://tabelog.com/hokkaido/A0101/A010103/1002793/,,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%20%E4%BF%A1%E7%8E%84%20%E5%8D%97%EF%BC%96%E6%9D%A1%E5%BA%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E5%85%AD%E6%9D%A1%E8%A5%BF8,43.0522862,141.3475513,2024,ラーメン HOKKAIDO,ramen_hokkaido,発表日：2024年12月3日
RAMEN RS 改,北海道札幌市清田区平岡1条4-2-11,食べログ ラーメン HOKKAIDO 百名店 2024,https://tabelog.com/hokkaido/A0101/A010304/1056051/,,https://www.google.com/maps/search/?api=1&query=RAMEN%20RS%20%E6%94%B9%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E6%B8%85%E7%94%B0%E5%8C%BA%E5%B9%B3%E5%B2%A11%E6%9D%A14-2-11,42.9943407,141.4502516,2024,ラーメン HOKKAIDO,ramen_hokkaido,発表日：2024年12月3日
狼スープ,北海道札幌市中央区南十一条西1-5-1,食べログ ラーメン HOKKAIDO 百名店 2024,https://tabelog.com/hokkaido/A0101/A010104/1000799/,,https://www.google.com/maps/search/?api=1&query=%E7%8B%BC%E3%82%B9%E3%83%BC%E3%83%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E5%8D%81%E4%B8%80%E6%9D%A1%E8%A5%BF1-5-1,43.0465230,141.3573332,2024,ラーメン HOKKAIDO,ramen_hokkaido,発表日：2024年12月3日
NOUILLES JAPONAISE とくいち,北海道札幌市中央区北11条西22-1-26 卸売センター 万歳市場 1F,食べログ ラーメン HOKKAIDO 百名店 2024,https://tabelog.com/hokkaido/A0101/A010105/1073732/,,https://www.google.com/maps/search/?api=1&query=NOUILLES%20JAPONAISE%20%E3%81%A8%E3%81%8F%E3%81%84%E3%81%A1%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%9711%E6%9D%A1%E8%A5%BF22-1-26%20%E5%8D%B8%E5%A3%B2%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E4%B8%87%E6%AD%B3%E5%B8%82%E5%A0%B4%201F,43.0704934,141.3202312,2024,ラーメン HOKKAIDO,ramen_hokkaido,発表日：2024年12月3日
麺や 麗,北海道千歳市高台4丁目2-10,食べログ ラーメン HOKKAIDO 百名店 2024,https://tabelog.com/hokkaido/A0107/A010701/1026411/,,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%E3%82%84%20%E9%BA%97%20%E5%8C%97%E6%B5%B7%E9%81%93%E5%8D%83%E6%AD%B3%E5%B8%82%E9%AB%98%E5%8F%B04%E4%B8%81%E7%9B%AE2-10,42.8369067,141.6524824,2024,ラーメン HOKKAIDO,ramen_hokkaido,発表日：2024年12月3日
らーめん優月,北海道札幌市東区北12条東13丁目2-15 秀和ビル3,食べログ ラーメン HOKKAIDO 百名店 2024,https://tabelog.com/hokkaido/A0101/A010202/1049135/,,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%E5%84%AA%E6%9C%88%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E6%9D%B1%E5%8C%BA%E5%8C%9712%E6%9D%A1%E6%9D%B113%E4%B8%81%E7%9B%AE2-15%20%E7%A7%80%E5%92%8C%E3%83%93%E3%83%AB3,43.0791377,141.3728626,2024,ラーメン HOKKAIDO,ramen_hokkaido,発表日：2024年12月3日
