Name,Address,Description,Website,Google Maps URL,Year,Genre,Genre Slug,Release Date
中華そば うえまち,大阪府大阪市中央区上町A番22号,食べログ ラーメン OSAKA 百名店 2024,https://tabelog.com/osaka/A2701/A270204/27069769/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0%20%E3%81%86%E3%81%88%E3%81%BE%E3%81%A1%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%8A%E7%94%BAA%E7%95%AA22%E5%8F%B7,2024,ラーメン OSAKA,ramen_osaka,発表日：2024年12月3日
大阪麺哲,大阪府大阪市北区曾根崎2-10-27,食べログ ラーメン OSAKA 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27080479/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E9%BA%BA%E5%93%B2%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%9B%BE%E6%A0%B9%E5%B4%8E2-10-27,2024,ラーメン OSAKA,ramen_osaka,発表日：2024年12月3日
かしや,大阪府大阪市西成区玉出中2-4-21,食べログ ラーメン OSAKA 百名店 2024,https://tabelog.com/osaka/A2701/A270406/27052519/,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%97%E3%82%84%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E6%88%90%E5%8C%BA%E7%8E%89%E5%87%BA%E4%B8%AD2-4-21,2024,ラーメン OSAKA,ramen_osaka,発表日：2024年12月3日
人類みな麺類,大阪府大阪市淀川区西中島1-12-15,食べログ ラーメン OSAKA 百名店 2024,https://tabelog.com/osaka/A2701/A270301/27064584/,https://www.google.com/maps/search/?api=1&query=%E4%BA%BA%E9%A1%9E%E3%81%BF%E3%81%AA%E9%BA%BA%E9%A1%9E%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B7%80%E5%B7%9D%E5%8C%BA%E8%A5%BF%E4%B8%AD%E5%B3%B61-12-15,2024,ラーメン OSAKA,ramen_osaka,発表日：2024年12月3日
みつ星製麺所 福島本店,大阪府大阪市福島区福島7-17-21 ベルメゾン福島1F,食べログ ラーメン OSAKA 百名店 2024,https://tabelog.com/osaka/A2701/A270108/27057392/,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%81%A4%E6%98%9F%E8%A3%BD%E9%BA%BA%E6%89%80%20%E7%A6%8F%E5%B3%B6%E6%9C%AC%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A6%8F%E5%B3%B6%E5%8C%BA%E7%A6%8F%E5%B3%B67-17-21%20%E3%83%99%E3%83%AB%E3%83%A1%E3%82%BE%E3%83%B3%E7%A6%8F%E5%B3%B61F,2024,ラーメン OSAKA,ramen_osaka,発表日：2024年12月3日
縁乃助商店,大阪府大阪市東淀川区淡路4-9-5,食べログ ラーメン OSAKA 百名店 2024,https://tabelog.com/osaka/A2701/A270307/27075534/,https://www.google.com/maps/search/?api=1&query=%E7%B8%81%E4%B9%83%E5%8A%A9%E5%95%86%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%9D%B1%E6%B7%80%E5%B7%9D%E5%8C%BA%E6%B7%A1%E8%B7%AF4-9-5,2024,ラーメン OSAKA,ramen_osaka,発表日：2024年12月3日
彩哲,大阪府吹田市朝日町5-24,食べログ ラーメン OSAKA 百名店 2024,https://tabelog.com/osaka/A2706/A270602/27114537/,https://www.google.com/maps/search/?api=1&query=%E5%BD%A9%E5%93%B2%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%90%B9%E7%94%B0%E5%B8%82%E6%9C%9D%E6%97%A5%E7%94%BA5-24,2024,ラーメン OSAKA,ramen_osaka,発表日：2024年12月3日
とんぴととりの光龍益,大阪府大阪市都島区中野町5-9-5,食べログ ラーメン OSAKA 百名店 2024,https://tabelog.com/osaka/A2701/A270304/27015801/,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%B4%E3%81%A8%E3%81%A8%E3%82%8A%E3%81%AE%E5%85%89%E9%BE%8D%E7%9B%8A%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E9%83%BD%E5%B3%B6%E5%8C%BA%E4%B8%AD%E9%87%8E%E7%94%BA5-9-5,2024,ラーメン OSAKA,ramen_osaka,発表日：2024年12月3日
Ramen 辻,大阪府大阪市中央区鎗屋町1-1-10 山大ビル1F,食べログ ラーメン OSAKA 百名店 2024,https://tabelog.com/osaka/A2701/A270104/27092793/,https://www.google.com/maps/search/?api=1&query=Ramen%20%E8%BE%BB%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8E%97%E5%B1%8B%E7%94%BA1-1-10%20%E5%B1%B1%E5%A4%A7%E3%83%93%E3%83%AB1F,2024,ラーメン OSAKA,ramen_osaka,発表日：2024年12月3日
らーめん 小僧,大阪府大阪市福島区福島3-8-10,食べログ ラーメン OSAKA 百名店 2024,https://tabelog.com/osaka/A2701/A270108/27077479/,https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%20%E5%B0%8F%E5%83%A7%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A6%8F%E5%B3%B6%E5%8C%BA%E7%A6%8F%E5%B3%B63-8-10,2024,ラーメン OSAKA,ramen_osaka,発表日：2024年12月3日
