Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
七里庵,愛知県名古屋市西区枇杷島3-19-11,食べログ そば EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230113/23005253/,https://www.google.com/maps/search/?api=1&query=%E4%B8%83%E9%87%8C%E5%BA%B5%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E8%A5%BF%E5%8C%BA%E6%9E%87%E6%9D%B7%E5%B3%B63-19-11,35.1916808,136.8729145,2024,そば EAST,soba_east,発表日：2024年4月9日
総本家更科堀井 本店,東京都港区元麻布3-11-4,食べログ そば EAST 百名店 2024,https://tabelog.com/tokyo/A1307/A130702/13001226/,https://www.google.com/maps/search/?api=1&query=%E7%B7%8F%E6%9C%AC%E5%AE%B6%E6%9B%B4%E7%A7%91%E5%A0%80%E4%BA%95%20%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%83%E9%BA%BB%E5%B8%833-11-4,35.6568105,139.7328900,2024,そば EAST,soba_east,発表日：2024年4月9日
西荻窪 鞍馬,東京都杉並区西荻南3-10-1,食べログ そば EAST 百名店 2024,https://tabelog.com/tokyo/A1319/A131907/13000716/,https://www.google.com/maps/search/?api=1&query=%E8%A5%BF%E8%8D%BB%E7%AA%AA%20%E9%9E%8D%E9%A6%AC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E8%A5%BF%E8%8D%BB%E5%8D%973-10-1,35.7030140,139.5997085,2024,そば EAST,soba_east,発表日：2024年4月9日
慈久庵,茨城県常陸太田市天下野町2162,食べログ そば EAST 百名店 2024,https://tabelog.com/ibaraki/A0805/A080502/8000227/,https://www.google.com/maps/search/?api=1&query=%E6%85%88%E4%B9%85%E5%BA%B5%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E5%B8%B8%E9%99%B8%E5%A4%AA%E7%94%B0%E5%B8%82%E5%A4%A9%E4%B8%8B%E9%87%8E%E7%94%BA2162,36.6823334,140.4706056,2024,そば EAST,soba_east,発表日：2024年4月9日
野麦,長野県松本市中央2-9-11,食べログ そば EAST 百名店 2024,https://tabelog.com/nagano/A2002/A200201/20000101/,https://www.google.com/maps/search/?api=1&query=%E9%87%8E%E9%BA%A6%20%E9%95%B7%E9%87%8E%E7%9C%8C%E6%9D%BE%E6%9C%AC%E5%B8%82%E4%B8%AD%E5%A4%AE2-9-11,36.2335606,137.9706211,2024,そば EAST,soba_east,発表日：2024年4月9日
手打ちそば 舞鶴,群馬県高崎市通町90-12,食べログ そば EAST 百名店 2024,https://tabelog.com/gunma/A1001/A100102/10010351/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E3%81%9D%E3%81%B0%20%E8%88%9E%E9%B6%B4%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%E9%AB%98%E5%B4%8E%E5%B8%82%E9%80%9A%E7%94%BA90-12,36.3246600,139.0093654,2024,そば EAST,soba_east,発表日：2024年4月9日
玉笑,東京都渋谷区神宮前5-23-3,食べログ そば EAST 百名店 2024,https://tabelog.com/tokyo/A1306/A130601/13129390/,https://www.google.com/maps/search/?api=1&query=%E7%8E%89%E7%AC%91%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-23-3,35.6644489,139.7046843,2024,そば EAST,soba_east,発表日：2024年4月9日
伊達 翁,北海道伊達市弄月町239-3,食べログ そば EAST 百名店 2024,https://tabelog.com/hokkaido/A0108/A010801/1003486/,https://www.google.com/maps/search/?api=1&query=%E4%BC%8A%E9%81%94%20%E7%BF%81%20%E5%8C%97%E6%B5%B7%E9%81%93%E4%BC%8A%E9%81%94%E5%B8%82%E5%BC%84%E6%9C%88%E7%94%BA239-3,42.4577603,140.8866963,2024,そば EAST,soba_east,発表日：2024年4月9日
うずら家,長野県長野市戸隠3229,食べログ そば EAST 百名店 2024,https://tabelog.com/nagano/A2001/A200101/20000191/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%9A%E3%82%89%E5%AE%B6%20%E9%95%B7%E9%87%8E%E7%9C%8C%E9%95%B7%E9%87%8E%E5%B8%82%E6%88%B8%E9%9A%A03229,36.7414421,138.0854380,2024,そば EAST,soba_east,発表日：2024年4月9日
神田まつや 本店,東京都千代田区神田須田町1-13,食べログ そば EAST 百名店 2024,https://tabelog.com/tokyo/A1310/A131002/13000340/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E7%94%B0%E3%81%BE%E3%81%A4%E3%82%84%20%E6%9C%AC%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E9%A0%88%E7%94%B0%E7%94%BA1-13,35.6961234,139.7687974,2024,そば EAST,soba_east,発表日：2024年4月9日
蕎麦倶楽部　佐々木,長野県松本市大手4丁目8-3,食べログ そば EAST 百名店 2024,https://tabelog.com/nagano/A2002/A200201/20002376/,https://www.google.com/maps/search/?api=1&query=%E8%95%8E%E9%BA%A6%E5%80%B6%E6%A5%BD%E9%83%A8%E3%80%80%E4%BD%90%E3%80%85%E6%9C%A8%20%E9%95%B7%E9%87%8E%E7%9C%8C%E6%9D%BE%E6%9C%AC%E5%B8%82%E5%A4%A7%E6%89%8B4%E4%B8%81%E7%9B%AE8-3,36.2357030,137.9719752,2024,そば EAST,soba_east,発表日：2024年4月9日
紫仙庵,東京都目黒区下目黒6-6-3,食べログ そば EAST 百名店 2024,https://tabelog.com/tokyo/A1317/A131710/13038860/,https://www.google.com/maps/search/?api=1&query=%E7%B4%AB%E4%BB%99%E5%BA%B5%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E4%B8%8B%E7%9B%AE%E9%BB%926-6-3,35.6270716,139.7012339,2024,そば EAST,soba_east,発表日：2024年4月9日
