Name,Address,Description,Website,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
きょうや,福井県福井市和田中2-936-2,食べログ そば WEST 百名店 2024,https://tabelog.com/fukui/A1801/A180101/18002814/,https://www.google.com/maps/search/?api=1&query=%E3%81%8D%E3%82%87%E3%81%86%E3%82%84%20%E7%A6%8F%E4%BA%95%E7%9C%8C%E7%A6%8F%E4%BA%95%E5%B8%82%E5%92%8C%E7%94%B0%E4%B8%AD2-936-2,36.0471508,136.2491009,2024,そば WEST,soba_west,発表日：2024年4月9日
蕎麦の実 よしむら,京都府京都市下京区五条通烏丸東入ル松屋町420,食べログ そば WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260201/26002621/,https://www.google.com/maps/search/?api=1&query=%E8%95%8E%E9%BA%A6%E3%81%AE%E5%AE%9F%20%E3%82%88%E3%81%97%E3%82%80%E3%82%89%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8B%E4%BA%AC%E5%8C%BA%E4%BA%94%E6%9D%A1%E9%80%9A%E7%83%8F%E4%B8%B8%E6%9D%B1%E5%85%A5%E3%83%AB%E6%9D%BE%E5%B1%8B%E7%94%BA420,34.9964627,135.7602294,2024,そば WEST,soba_west,発表日：2024年4月9日
そば切り 岳空,大阪府大阪市中央区谷町7-1-54,食べログ そば WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270204/27096691/,https://www.google.com/maps/search/?api=1&query=%E3%81%9D%E3%81%B0%E5%88%87%E3%82%8A%20%E5%B2%B3%E7%A9%BA%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B0%B7%E7%94%BA7-1-54,34.6733455,135.5179882,2024,そば WEST,soba_west,発表日：2024年4月9日
十割手打 そば処 百百百百,滋賀県彦根市鳥居本町1804,食べログ そば WEST 百名店 2024,https://tabelog.com/shiga/A2503/A250303/25009845/,https://www.google.com/maps/search/?api=1&query=%E5%8D%81%E5%89%B2%E6%89%8B%E6%89%93%20%E3%81%9D%E3%81%B0%E5%87%A6%20%E7%99%BE%E7%99%BE%E7%99%BE%E7%99%BE%20%E6%BB%8B%E8%B3%80%E7%9C%8C%E5%BD%A6%E6%A0%B9%E5%B8%82%E9%B3%A5%E5%B1%85%E6%9C%AC%E7%94%BA1804,35.2789818,136.2828623,2024,そば WEST,soba_west,発表日：2024年4月9日
手打ち蕎麦・鮨 いまふく,京都府京都市伏見区深草町通町26,食べログ そば WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260601/26024211/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E3%81%A1%E8%95%8E%E9%BA%A6%E3%83%BB%E9%AE%A8%20%E3%81%84%E3%81%BE%E3%81%B5%E3%81%8F%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%BC%8F%E8%A6%8B%E5%8C%BA%E6%B7%B1%E8%8D%89%E7%94%BA%E9%80%9A%E7%94%BA26,34.9602524,135.7684323,2024,そば WEST,soba_west,発表日：2024年4月9日
そば切り 鴨嘴,大阪府大阪市東住吉区北田辺1-4-9,食べログ そば WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270203/27103579/,https://www.google.com/maps/search/?api=1&query=%E3%81%9D%E3%81%B0%E5%88%87%E3%82%8A%20%E9%B4%A8%E5%98%B4%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%9D%B1%E4%BD%8F%E5%90%89%E5%8C%BA%E5%8C%97%E7%94%B0%E8%BE%BA1-4-9,34.6366582,135.5249685,2024,そば WEST,soba_west,発表日：2024年4月9日
まき埜,大阪府大阪市福島区福島6-11-13 シャトー西梅田 1F,食べログ そば WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270108/27002682/,https://www.google.com/maps/search/?api=1&query=%E3%81%BE%E3%81%8D%E5%9F%9C%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A6%8F%E5%B3%B6%E5%8C%BA%E7%A6%8F%E5%B3%B66-11-13%20%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%E8%A5%BF%E6%A2%85%E7%94%B0%201F,34.7001918,135.4894159,2024,そば WEST,soba_west,発表日：2024年4月9日
手打蕎麦 こより,石川県金沢市長田2-20-13,食べログ そば WEST 百名店 2024,https://tabelog.com/ishikawa/A1701/A170101/17012178/,https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E6%89%93%E8%95%8E%E9%BA%A6%20%E3%81%93%E3%82%88%E3%82%8A%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%E9%95%B7%E7%94%B02-20-13,36.5763072,136.6405818,2024,そば WEST,soba_west,発表日：2024年4月9日
ろあん 大阪堂島店,大阪府大阪市北区堂島1-3-33 新地萬年ビル B1F,食べログ そば WEST 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27089279/,https://www.google.com/maps/search/?api=1&query=%E3%82%8D%E3%81%82%E3%82%93%20%E5%A4%A7%E9%98%AA%E5%A0%82%E5%B3%B6%E5%BA%97%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A0%82%E5%B3%B61-3-33%20%E6%96%B0%E5%9C%B0%E8%90%AC%E5%B9%B4%E3%83%93%E3%83%AB%20B1F,34.6967685,135.4982832,2024,そば WEST,soba_west,発表日：2024年4月9日
五,京都府京都市北区紫野雲林院町28 紫野和久傳 大徳寺店 2F,食べログ そば WEST 百名店 2024,https://tabelog.com/kyoto/A2601/A260503/26024473/,https://www.google.com/maps/search/?api=1&query=%E4%BA%94%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA%E7%B4%AB%E9%87%8E%E9%9B%B2%E6%9E%97%E9%99%A2%E7%94%BA28%20%E7%B4%AB%E9%87%8E%E5%92%8C%E4%B9%85%E5%82%B3%20%E5%A4%A7%E5%BE%B3%E5%AF%BA%E5%BA%97%202F,35.0408488,135.7476006,2024,そば WEST,soba_west,発表日：2024年4月9日
