Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
El Raco Den Takeuchi,兵庫県神戸市中央区下山手通2-13-13,食べログ スペイン料理 百名店 2024,https://tabelog.com/hyogo/A2801/A280101/28008301/,https://tabelog.com/hyogo/A2801/A280101/28008301/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=El%20Raco%20Den%20Takeuchi%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%8B%E5%B1%B1%E6%89%8B%E9%80%9A2-13-13,34.6935855,135.1887528,2024,スペイン料理,spanish,発表日：2024年8月27日
ルナパルパドス 今田,兵庫県丹波篠山市今田町上立杭5-18,食べログ スペイン料理 百名店 2024,https://tabelog.com/hyogo/A2807/A280702/28046972/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%E3%83%8A%E3%83%91%E3%83%AB%E3%83%91%E3%83%89%E3%82%B9%20%E4%BB%8A%E7%94%B0%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E4%B8%B9%E6%B3%A2%E7%AF%A0%E5%B1%B1%E5%B8%82%E4%BB%8A%E7%94%B0%E7%94%BA%E4%B8%8A%E7%AB%8B%E6%9D%AD5-18,34.9928912,135.1283517,2024,スペイン料理,spanish,発表日：2024年8月27日
バルパンチョ,神奈川県藤沢市辻堂2-16-8,食べログ スペイン料理 百名店 2024,https://tabelog.com/kanagawa/A1404/A140404/14052885/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%83%90%E3%83%AB%E3%83%91%E3%83%B3%E3%83%81%E3%83%A7%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%97%A4%E6%B2%A2%E5%B8%82%E8%BE%BB%E5%A0%822-16-8,35.3354531,139.4457359,2024,スペイン料理,spanish,発表日：2024年8月27日
ENEKO Tokyo,東京都港区西麻布3-16-28 TOKI-ON 西麻布,食べログ スペイン料理 百名店 2024,https://tabelog.com/tokyo/A1307/A130701/13212953/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=ENEKO%20Tokyo%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%A5%BF%E9%BA%BB%E5%B8%833-16-28%20TOKI-ON%20%E8%A5%BF%E9%BA%BB%E5%B8%83,35.6583912,139.7257391,2024,スペイン料理,spanish,発表日：2024年8月27日
カラ カルメン,愛知県名古屋市中村区則武1-4-1,食べログ スペイン料理 百名店 2024,https://tabelog.com/aichi/A2301/A230101/23004817/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%A9%20%E3%82%AB%E3%83%AB%E3%83%A1%E3%83%B3%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%89%87%E6%AD%A61-4-1,35.1728570,136.8790562,2024,スペイン料理,spanish,発表日：2024年8月27日
エル・ペスカドール,東京都目黒区自由が丘1-13-4,食べログ スペイン料理 百名店 2024,https://tabelog.com/tokyo/A1317/A131703/13003271/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%83%AB%E3%83%BB%E3%83%9A%E3%82%B9%E3%82%AB%E3%83%89%E3%83%BC%E3%83%AB%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E8%87%AA%E7%94%B1%E3%81%8C%E4%B8%981-13-4,35.6080439,139.6704500,2024,スペイン料理,spanish,発表日：2024年8月27日
BARMOS,兵庫県神戸市灘区桜口町3-2-2 ヴェルドール六甲道 101,食べログ スペイン料理 百名店 2024,https://tabelog.com/hyogo/A2801/A280108/28051246/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=BARMOS%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%A5%9E%E6%88%B8%E5%B8%82%E7%81%98%E5%8C%BA%E6%A1%9C%E5%8F%A3%E7%94%BA3-2-2%20%E3%83%B4%E3%82%A7%E3%83%AB%E3%83%89%E3%83%BC%E3%83%AB%E5%85%AD%E7%94%B2%E9%81%93%20101,34.7132331,135.2407187,2024,スペイン料理,spanish,発表日：2024年8月27日
MASIA,東京都中央区銀座2-4-6 銀座ベルビア館 8F,食べログ スペイン料理 百名店 2024,https://tabelog.com/tokyo/A1301/A130101/13276770/,https://tabelog.com/tokyo/A1301/A130101/13276770/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=MASIA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A72-4-6%20%E9%8A%80%E5%BA%A7%E3%83%99%E3%83%AB%E3%83%93%E3%82%A2%E9%A4%A8%208F,35.6740153,139.7664563,2024,スペイン料理,spanish,発表日：2024年8月27日
オステリア エ バール ジェノ,大阪府吹田市豊津町5-5,食べログ スペイン料理 百名店 2024,https://tabelog.com/osaka/A2706/A270602/27001101/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%AA%E3%82%B9%E3%83%86%E3%83%AA%E3%82%A2%20%E3%82%A8%20%E3%83%90%E3%83%BC%E3%83%AB%20%E3%82%B8%E3%82%A7%E3%83%8E%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%90%B9%E7%94%B0%E5%B8%82%E8%B1%8A%E6%B4%A5%E7%94%BA5-5,34.7609266,135.4944789,2024,スペイン料理,spanish,発表日：2024年8月27日
Donostia Comeru。,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 B2F,食べログ スペイン料理 百名店 2024,https://tabelog.com/osaka/A2701/A270101/27125693/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=Donostia%20Comeru%E3%80%82%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%A2%85%E7%94%B01-13-13%20%E9%98%AA%E7%A5%9E%E7%99%BE%E8%B2%A8%E5%BA%97%E6%A2%85%E7%94%B0%E6%9C%AC%E5%BA%97%20B2F,34.7013808,135.4982801,2024,スペイン料理,spanish,発表日：2024年8月27日
エルトレロ,愛知県名古屋市昭和区御器所3-1-43 藤田ビル 1F,食べログ スペイン料理 百名店 2024,https://tabelog.com/aichi/A2301/A230108/23000353/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%83%AB%E3%83%88%E3%83%AC%E3%83%AD%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%98%AD%E5%92%8C%E5%8C%BA%E5%BE%A1%E5%99%A8%E6%89%803-1-43%20%E8%97%A4%E7%94%B0%E3%83%93%E3%83%AB%201F,35.1495894,136.9234546,2024,スペイン料理,spanish,発表日：2024年8月27日
