Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
西洋料理 島,東京都中央区日本橋3-5-12 日本橋ＭＭビル　Ｂ１Ｆ,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/tokyo/A1302/A130202/13000495/,,https://www.google.com/maps/search/?api=1&query=%E8%A5%BF%E6%B4%8B%E6%96%99%E7%90%86%20%E5%B3%B6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B3-5-12%20%E6%97%A5%E6%9C%AC%E6%A9%8B%EF%BC%AD%EF%BC%AD%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,35.6790558,139.7729046,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
Peter Luger Steak House Tokyo,東京都渋谷区恵比寿4-19-19,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/tokyo/A1303/A130302/13258435/,,https://www.google.com/maps/search/?api=1&query=Peter%20Luger%20Steak%20House%20Tokyo%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%81%B5%E6%AF%94%E5%AF%BF4-19-19,35.6438822,139.7139624,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
鉄板焼 漆,北海道札幌市中央区南五条西3-3 中銀三番館ビル 2F,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/hokkaido/A0101/A010103/1070319/,https://tabelog.com/hokkaido/A0101/A010103/1070319/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%89%84%E6%9D%BF%E7%84%BC%20%E6%BC%86%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E4%BA%94%E6%9D%A1%E8%A5%BF3-3%20%E4%B8%AD%E9%8A%80%E4%B8%89%E7%95%AA%E9%A4%A8%E3%83%93%E3%83%AB%202F,43.0540887,141.3544313,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
ラトリエK,愛知県名古屋市東区東桜2-12-22 水谷ビル 2F,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230104/23063123/,https://tabelog.com/aichi/A2301/A230104/23063123/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%88%E3%83%AA%E3%82%A8K%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E6%9D%B1%E6%A1%9C2-12-22%20%E6%B0%B4%E8%B0%B7%E3%83%93%E3%83%AB%202F,35.1711655,136.9160048,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
ローズルーム名古屋,愛知県名古屋市中区栄2-7-13 ヴィア白川　２Ｆ,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230102/23006175/,,https://www.google.com/maps/search/?api=1&query=%E3%83%AD%E3%83%BC%E3%82%BA%E3%83%AB%E3%83%BC%E3%83%A0%E5%90%8D%E5%8F%A4%E5%B1%8B%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%842-7-13%20%E3%83%B4%E3%82%A3%E3%82%A2%E7%99%BD%E5%B7%9D%E3%80%80%EF%BC%92%EF%BC%A6,35.1668972,136.9006483,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
鉄板,北海道虻田郡倶知安町字岩尾別328-47 パークハイアットニセコHANAZONO,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/hokkaido/A0106/A010603/1065926/,,https://www.google.com/maps/search/?api=1&query=%E9%89%84%E6%9D%BF%20%E5%8C%97%E6%B5%B7%E9%81%93%E8%99%BB%E7%94%B0%E9%83%A1%E5%80%B6%E7%9F%A5%E5%AE%89%E7%94%BA%E5%AD%97%E5%B2%A9%E5%B0%BE%E5%88%A5328-47%20%E3%83%91%E3%83%BC%E3%82%AF%E3%83%8F%E3%82%A4%E3%82%A2%E3%83%83%E3%83%88%E3%83%8B%E3%82%BB%E3%82%B3HANAZONO,42.8933280,140.6976807,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
紅花別館,東京都中央区日本橋1-2-15,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/tokyo/A1302/A130202/13000487/,,https://www.google.com/maps/search/?api=1&query=%E7%B4%85%E8%8A%B1%E5%88%A5%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%97%A5%E6%9C%AC%E6%A9%8B1-2-15,35.6832666,139.7733211,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
嘉門,東京都千代田区内幸町1-1-1 帝国ホテル東京 本館 17F,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/tokyo/A1301/A130102/13002295/,https://tabelog.com/tokyo/A1301/A130102/13002295/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%98%89%E9%96%80%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E5%86%85%E5%B9%B8%E7%94%BA1-1-1%20%E5%B8%9D%E5%9B%BD%E3%83%9B%E3%83%86%E3%83%AB%E6%9D%B1%E4%BA%AC%20%E6%9C%AC%E9%A4%A8%2017F,35.6724135,139.7583493,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
尾乃道,愛知県名古屋市東区泉1-17-29,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/aichi/A2301/A230103/23071120/,,https://www.google.com/maps/search/?api=1&query=%E5%B0%BE%E4%B9%83%E9%81%93%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E6%B3%891-17-29,35.1750041,136.9106844,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
定谷,東京都台東区根岸4-3-2,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/tokyo/A1311/A131104/13031814/,,https://www.google.com/maps/search/?api=1&query=%E5%AE%9A%E8%B0%B7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E6%A0%B9%E5%B2%B84-3-2,35.7248869,139.7837757,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
神戸牛炉釜ステーキ GINZA KOKO炉,東京都中央区銀座1-8-7 VORT銀座 B1F,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/tokyo/A1301/A130101/13224979/,https://tabelog.com/tokyo/A1301/A130101/13224979/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E6%88%B8%E7%89%9B%E7%82%89%E9%87%9C%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD%20GINZA%20KOKO%E7%82%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A71-8-7%20VORT%E9%8A%80%E5%BA%A7%20B1F,35.6740891,139.7686060,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
ロウリーズ・ザ・プライムリブ 赤坂店,東京都港区赤坂1-8-1 赤坂インターシティ AIR 3F,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/tokyo/A1308/A130802/13210946/,https://tabelog.com/tokyo/A1308/A130802/13210946/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%AD%E3%82%A6%E3%83%AA%E3%83%BC%E3%82%BA%E3%83%BB%E3%82%B6%E3%83%BB%E3%83%97%E3%83%A9%E3%82%A4%E3%83%A0%E3%83%AA%E3%83%96%20%E8%B5%A4%E5%9D%82%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%821-8-1%20%E8%B5%A4%E5%9D%82%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%82%B7%E3%83%86%E3%82%A3%20AIR%203F,35.6699459,139.7426463,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
神戸牛炉釜炭焼ステーキ IDEA 銀座,東京都中央区銀座7-8-15 第2新橋会館 7F,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/tokyo/A1301/A130101/13161192/,https://tabelog.com/tokyo/A1301/A130101/13161192/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E6%88%B8%E7%89%9B%E7%82%89%E9%87%9C%E7%82%AD%E7%84%BC%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD%20IDEA%20%E9%8A%80%E5%BA%A7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-8-15%20%E7%AC%AC2%E6%96%B0%E6%A9%8B%E4%BC%9A%E9%A4%A8%207F,35.6690805,139.7622024,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
オーク ドア,東京都港区六本木6-10-3 六本木ヒルズ グランド ハイアット 東京 6F,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/tokyo/A1307/A130701/13000004/,https://tabelog.com/tokyo/A1307/A130701/13000004/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%82%AA%E3%83%BC%E3%82%AF%20%E3%83%89%E3%82%A2%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A86-10-3%20%E5%85%AD%E6%9C%AC%E6%9C%A8%E3%83%92%E3%83%AB%E3%82%BA%20%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%20%E3%83%8F%E3%82%A4%E3%82%A2%E3%83%83%E3%83%88%20%E6%9D%B1%E4%BA%AC%206F,35.6600922,139.7285595,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
鉄板焼きINAGAKI亭,神奈川県茅ヶ崎市浜竹4-1-73 アメニティ-湘南1F,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/kanagawa/A1404/A140404/14061711/,https://tabelog.com/kanagawa/A1404/A140404/14061711/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%89%84%E6%9D%BF%E7%84%BC%E3%81%8DINAGAKI%E4%BA%AD%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%8C%85%E3%83%B6%E5%B4%8E%E5%B8%82%E6%B5%9C%E7%AB%B94-1-73%20%E3%82%A2%E3%83%A1%E3%83%8B%E3%83%86%E3%82%A3-%E6%B9%98%E5%8D%971F,35.3315549,139.4386502,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
ブルボン,岐阜県高山市本町4-5,食べログ ステーキ・鉄板焼き EAST 百名店 2024,https://tabelog.com/gifu/A2104/A210401/21000079/,,https://www.google.com/maps/search/?api=1&query=%E3%83%96%E3%83%AB%E3%83%9C%E3%83%B3%20%E5%B2%90%E9%98%9C%E7%9C%8C%E9%AB%98%E5%B1%B1%E5%B8%82%E6%9C%AC%E7%94%BA4-5,36.1452221,137.2570808,2024,ステーキ・鉄板焼き EAST,steak_east,発表日：2024年4月23日
